datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:58:00Z,2.0,309.0,18.0,18.0,149.0,15.0,52.0
2021-12-29T01:58:00Z,5.0,312.0,8.0,8.0,324.0,12.0,58.0
2021-12-29T02:58:00Z,5.0,308.0,5.99,5.99,304.0,10.0,62.0
2021-12-29T03:58:00Z,3.0,12.0,5.99,5.99,334.0,11.0,61.0
2021-12-29T04:58:00Z,3.0,331.0,9.0,9.0,261.0,10.0,64.0
2021-12-29T05:58:00Z,3.0,294.0,8.0,8.0,298.0,9.0,66.0
2021-12-29T06:58:00Z,5.0,326.0,9.0,9.0,319.0,13.0,58.0
2021-12-29T07:58:00Z,5.0,320.0,8.0,8.0,290.0,12.0,62.0
2021-12-29T08:58:00Z,4.0,298.0,8.0,8.0,307.0,10.0,68.0
2021-12-29T09:58:00Z,2.0,312.0,5.0,5.0,315.0,7.0,73.0
2021-12-29T10:58:00Z,2.0,352.0,7.0,7.0,44.0,9.0,70.0
2021-12-29T11:58:00Z,3.0,53.0,7.0,7.0,296.0,9.0,70.0
2021-12-29T12:58:00Z,2.0,341.0,7.0,7.0,296.0,9.0,72.0
2021-12-29T13:58:00Z,1.0,49.0,5.0,5.0,286.0,10.0,72.0
2021-12-29T14:58:00Z,3.0,315.0,8.0,8.0,300.0,15.0,67.0
2021-12-29T15:58:00Z,2.0,211.0,5.99,5.99,272.0,26.0,47.0
2021-12-29T16:58:00Z,10.0,148.0,14.01,14.01,140.0,31.0,35.0
2021-12-29T17:58:00Z,10.0,129.0,19.0,19.0,143.0,30.0,33.0
2021-12-29T18:58:00Z,5.99,140.0,21.0,21.0,259.0,35.0,25.0
2021-12-29T19:58:00Z,7.0,310.0,20.0,20.0,247.0,33.0,23.0
2021-12-29T20:58:00Z,8.0,346.0,18.0,18.0,320.0,29.0,25.0
2021-12-29T21:58:00Z,8.0,187.0,19.0,19.0,321.0,34.0,22.0
2021-12-29T22:58:00Z,5.99,187.0,24.0,24.0,162.0,28.0,28.0
2021-12-29T23:58:00Z,2.0,300.0,9.0,9.0,123.0,22.0,38.0
2021-12-30T00:58:00Z,5.99,133.0,10.0,10.0,143.0,17.0,52.0
2021-12-30T01:58:00Z,3.0,327.0,7.0,7.0,135.0,12.0,60.0
2021-12-30T02:58:00Z,3.0,315.0,8.0,8.0,278.0,10.0,61.0
2021-12-30T03:58:00Z,3.0,260.0,14.01,14.01,283.0,18.0,41.0
2021-12-30T04:58:00Z,5.0,333.0,12.0,12.0,306.0,22.0,36.0
2021-12-30T05:58:00Z,5.0,323.0,13.0,13.0,309.0,18.0,40.0
2021-12-30T06:58:00Z,3.0,338.0,11.0,11.0,52.0,18.0,46.0
2021-12-30T07:58:00Z,2.0,9.0,5.99,5.99,312.0,18.0,50.0
2021-12-30T08:58:00Z,5.99,63.0,16.0,16.0,139.0,22.0,50.0
2021-12-30T09:58:00Z,4.0,38.0,11.0,11.0,13.0,22.0,54.0
2021-12-30T10:58:00Z,4.0,73.0,9.0,9.0,170.0,23.0,57.0
2021-12-30T11:58:00Z,3.0,136.0,12.0,12.0,348.0,22.0,57.0
2021-12-30T12:58:00Z,3.0,78.0,9.0,9.0,135.0,23.0,59.0
2021-12-30T13:58:00Z,13.0,302.0,28.0,28.0,258.0,27.0,39.0
2021-12-30T14:58:00Z,17.0,285.0,37.0,37.0,263.0,29.0,31.0
2021-12-30T15:58:00Z,17.0,292.0,33.0,33.0,279.0,30.0,34.0
2021-12-30T16:58:00Z,32.0,308.0,53.0,53.0,314.0,32.0,30.0
2021-12-30T17:58:00Z,34.99,304.0,62.0,62.0,307.0,33.0,24.0
2021-12-30T18:58:00Z,34.99,314.0,67.0,67.0,287.0,35.0,21.0
2021-12-30T19:58:00Z,27.0,326.0,49.0,49.0,320.0,36.0,23.0
2021-12-30T20:58:00Z,20.0,305.0,55.0,55.0,307.0,37.0,22.0
2021-12-30T21:58:00Z,26.0,306.0,43.01,43.01,297.0,36.0,22.0
2021-12-30T22:58:00Z,19.0,305.0,41.0,41.0,281.0,32.0,28.0
2021-12-30T23:58:00Z,20.0,300.0,36.0,36.0,288.0,31.0,27.0
2021-12-31T00:58:00Z,12.0,305.0,31.0,31.0,299.0,29.0,37.0
2021-12-31T01:58:00Z,10.0,317.0,20.0,20.0,315.0,28.0,39.0
2021-12-31T02:58:00Z,10.0,313.0,19.0,19.0,320.0,30.0,36.0
2021-12-31T03:58:00Z,20.0,305.0,41.0,41.0,255.0,32.0,30.0
2021-12-31T04:58:00Z,19.0,311.0,33.0,33.0,306.0,31.0,36.0
2021-12-31T05:58:00Z,10.0,317.0,29.0,29.0,299.0,30.0,36.0
2021-12-31T06:58:00Z,14.01,313.0,23.0,23.0,320.0,33.0,29.0
