datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:57:00Z,2.0,168.0,5.0,5.0,322.0,20.0,46.0
2021-12-29T01:57:00Z,2.0,179.0,5.0,5.0,89.0,17.0,50.0
2021-12-29T02:57:00Z,3.0,156.0,5.0,5.0,134.0,16.0,51.0
2021-12-29T03:57:00Z,1.0,355.0,4.0,4.0,101.0,18.0,44.0
2021-12-29T04:57:00Z,3.0,121.0,5.0,5.0,246.0,16.0,48.0
2021-12-29T05:57:00Z,3.0,308.0,8.0,8.0,260.0,17.0,49.0
2021-12-29T06:57:00Z,5.0,219.0,8.0,8.0,193.0,17.0,53.0
2021-12-29T07:57:00Z,5.0,292.0,13.0,13.0,253.0,20.0,52.0
2021-12-29T08:57:00Z,5.99,28.0,18.0,18.0,242.0,19.0,48.0
2021-12-29T09:57:00Z,5.0,243.0,9.0,9.0,2.0,17.0,59.0
2021-12-29T10:57:00Z,7.0,248.0,11.0,11.0,245.0,20.0,54.0
2021-12-29T11:57:00Z,5.0,284.0,12.0,12.0,230.0,15.0,53.0
2021-12-29T12:57:00Z,11.0,227.0,16.0,16.0,214.0,23.0,50.0
2021-12-29T13:57:00Z,5.0,33.0,13.0,13.0,232.0,12.0,58.0
2021-12-29T14:57:00Z,4.0,43.0,11.0,11.0,244.0,15.0,53.0
2021-12-29T15:57:00Z,10.0,233.0,16.0,16.0,233.0,27.0,46.0
2021-12-29T16:57:00Z,4.0,75.0,12.0,12.0,40.0,22.0,44.0
2021-12-29T17:57:00Z,3.0,55.0,9.0,9.0,28.0,24.0,41.0
2021-12-29T18:57:00Z,4.0,25.0,9.0,9.0,40.0,27.0,37.0
2021-12-29T19:57:00Z,4.0,46.0,10.0,10.0,45.0,29.0,35.0
2021-12-29T20:57:00Z,5.99,59.0,10.0,10.0,85.0,29.0,34.0
2021-12-29T21:57:00Z,4.0,44.0,8.0,8.0,45.0,26.0,40.0
2021-12-29T22:57:00Z,2.0,275.0,7.0,7.0,50.0,24.0,41.0
2021-12-29T23:57:00Z,2.0,335.0,4.0,4.0,308.0,22.0,45.0
2021-12-30T00:57:00Z,1.0,286.0,4.0,4.0,318.0,19.0,49.0
2021-12-30T01:57:00Z,2.0,308.0,5.0,5.0,272.0,19.0,49.0
2021-12-30T02:57:00Z,2.0,61.0,5.0,5.0,76.0,18.0,50.0
2021-12-30T03:57:00Z,8.0,229.0,14.01,14.01,218.0,25.0,35.0
2021-12-30T04:57:00Z,11.0,230.0,19.0,19.0,243.0,27.0,32.0
2021-12-30T05:57:00Z,10.0,247.0,24.0,24.0,237.0,27.0,33.0
2021-12-30T06:57:00Z,13.0,226.0,23.0,23.0,247.0,27.0,35.0
2021-12-30T07:57:00Z,10.0,205.0,21.0,21.0,241.0,26.0,37.0
2021-12-30T08:57:00Z,10.0,197.0,20.0,20.0,175.0,26.0,41.0
2021-12-30T09:57:00Z,10.0,210.0,20.0,20.0,268.0,26.0,41.0
2021-12-30T10:57:00Z,8.0,205.0,17.0,17.0,142.0,26.0,41.0
2021-12-30T11:57:00Z,8.0,190.0,18.0,18.0,173.0,26.0,45.0
2021-12-30T12:57:00Z,5.99,194.0,19.0,19.0,169.0,26.0,45.0
2021-12-30T13:57:00Z,0.0,,4.0,4.0,195.0,28.0,43.0
2021-12-30T14:57:00Z,10.0,233.0,17.0,17.0,257.0,31.0,38.0
2021-12-30T15:57:00Z,13.0,243.0,23.0,23.0,242.0,35.0,30.0
2021-12-30T16:57:00Z,31.0,235.0,59.0,59.0,241.0,37.0,24.0
2021-12-30T17:57:00Z,25.0,244.0,58.0,58.0,258.0,37.0,25.0
2021-12-30T18:57:00Z,25.0,246.0,56.0,56.0,211.0,38.0,21.0
2021-12-30T19:57:00Z,25.0,241.0,56.0,56.0,259.0,40.0,21.0
2021-12-30T20:57:00Z,33.0,241.0,56.0,56.0,222.0,40.0,22.0
2021-12-30T21:57:00Z,34.01,238.0,57.0,57.0,243.0,40.0,20.0
2021-12-30T22:57:00Z,28.0,238.0,56.0,56.0,240.0,39.0,22.0
2021-12-30T23:57:00Z,0.0,,41.0,41.0,239.0,37.0,25.0
2021-12-31T00:57:00Z,0.0,,0.0,0.0,253.0,35.0,28.0
2021-12-31T01:57:00Z,0.0,,0.0,0.0,225.0,35.0,30.0
