datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:29:00Z,7.0,314.0,13.0,13.0,278.0,21.0,49.0
2021-12-29T01:29:00Z,5.0,112.0,8.0,8.0,142.0,19.0,51.0
2021-12-29T02:29:00Z,1.0,276.0,5.0,5.0,123.0,15.0,63.0
2021-12-29T03:29:00Z,2.0,101.0,5.99,5.99,301.0,13.0,69.0
2021-12-29T04:29:00Z,3.0,307.0,5.0,5.0,306.0,12.0,71.0
2021-12-29T05:29:00Z,1.0,74.0,3.0,3.0,331.0,10.0,77.0
2021-12-29T06:29:00Z,2.0,30.0,5.0,5.0,315.0,9.0,79.0
2021-12-29T07:29:00Z,1.0,188.0,5.0,5.0,304.0,8.0,81.0
2021-12-29T08:29:00Z,4.0,337.0,5.99,5.99,18.0,10.0,80.0
2021-12-29T09:29:00Z,2.0,322.0,7.0,7.0,327.0,11.0,76.0
2021-12-29T10:29:00Z,1.0,93.0,4.0,4.0,126.0,11.0,79.0
2021-12-29T11:29:00Z,2.0,293.0,5.99,5.99,286.0,12.0,78.0
2021-12-29T12:29:00Z,3.0,328.0,5.0,5.0,277.0,13.0,78.0
2021-12-29T13:29:00Z,2.0,262.0,4.0,4.0,267.0,14.0,77.0
2021-12-29T14:29:00Z,2.0,306.0,4.0,4.0,313.0,15.0,75.0
2021-12-29T15:29:00Z,3.0,103.0,5.0,5.0,300.0,17.0,73.0
2021-12-29T16:29:00Z,2.0,162.0,9.0,9.0,113.0,26.0,56.0
2021-12-29T17:29:00Z,11.0,290.0,21.0,21.0,328.0,29.0,39.0
2021-12-29T18:29:00Z,12.0,287.0,21.0,21.0,312.0,29.0,38.0
2021-12-29T19:29:00Z,14.01,293.0,26.0,26.0,327.0,30.0,31.0
2021-12-29T20:29:00Z,10.0,282.0,23.0,23.0,290.0,28.0,34.0
2021-12-29T21:29:00Z,14.01,299.0,23.0,23.0,284.0,32.0,33.0
2021-12-29T22:29:00Z,7.0,271.0,16.0,16.0,312.0,28.0,35.0
2021-12-29T23:29:00Z,7.0,224.0,14.99,14.99,239.0,27.0,34.0
2021-12-30T00:29:00Z,1.0,55.0,11.0,11.0,195.0,24.0,40.0
2021-12-30T01:29:00Z,3.0,69.0,8.0,8.0,30.0,21.0,46.0
2021-12-30T02:29:00Z,9.0,286.0,22.0,22.0,301.0,25.0,35.0
2021-12-30T03:29:00Z,5.99,312.0,22.0,22.0,300.0,24.0,37.0
2021-12-30T04:29:00Z,8.0,281.0,16.0,16.0,294.0,25.0,36.0
2021-12-30T05:29:00Z,5.0,251.0,18.0,18.0,302.0,24.0,39.0
2021-12-30T06:29:00Z,3.0,74.0,18.0,18.0,204.0,23.0,40.0
2021-12-30T07:29:00Z,1.0,145.0,11.0,11.0,291.0,22.0,46.0
2021-12-30T08:29:00Z,2.0,114.0,7.0,7.0,108.0,23.0,46.0
2021-12-30T09:29:00Z,5.0,91.0,7.0,7.0,85.0,23.0,51.0
2021-12-30T10:29:00Z,3.0,104.0,7.0,7.0,112.0,23.0,54.0
2021-12-30T11:29:00Z,7.0,333.0,14.01,14.01,310.0,25.0,52.0
2021-12-30T12:29:00Z,4.0,346.0,21.0,21.0,304.0,24.0,58.0
2021-12-30T13:29:00Z,4.0,112.0,13.0,13.0,113.0,24.0,58.0
2021-12-30T14:29:00Z,10.0,314.0,29.0,29.0,319.0,25.0,55.0
2021-12-30T15:29:00Z,14.99,309.0,24.0,24.0,306.0,25.0,60.0
2021-12-30T16:29:00Z,11.0,287.0,28.0,28.0,290.0,26.0,57.0
2021-12-30T17:29:00Z,16.0,292.0,23.0,23.0,278.0,28.0,50.0
2021-12-30T18:29:00Z,16.0,299.0,30.0,30.0,292.0,30.0,46.0
2021-12-30T19:29:00Z,18.0,298.0,36.0,36.0,313.0,31.0,42.0
2021-12-30T20:29:00Z,17.0,292.0,31.0,31.0,305.0,32.0,37.0
2021-12-30T21:29:00Z,19.0,303.0,31.0,31.0,313.0,32.0,31.0
2021-12-30T22:29:00Z,14.99,307.0,37.0,37.0,307.0,31.0,31.0
2021-12-30T23:29:00Z,18.0,303.0,30.0,30.0,301.0,31.0,33.0
2021-12-31T00:29:00Z,14.01,308.0,30.0,30.0,301.0,29.0,48.0
2021-12-31T01:29:00Z,5.99,279.0,24.0,24.0,278.0,27.0,60.0
2021-12-31T02:29:00Z,1.0,93.0,8.0,8.0,248.0,27.0,57.0
2021-12-31T03:29:00Z,5.99,302.0,10.0,10.0,317.0,28.0,48.0
2021-12-31T04:29:00Z,9.0,309.0,20.0,20.0,312.0,30.0,44.0
