datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:10:00Z,2.0,343.0,7.0,7.0,99.0,18.0,47.0
2021-12-29T01:10:00Z,3.0,356.0,5.0,5.0,22.0,18.0,47.0
2021-12-29T02:10:00Z,4.0,268.0,5.99,5.99,293.0,17.0,50.0
2021-12-29T03:10:00Z,4.0,296.0,5.99,5.99,272.0,17.0,49.0
2021-12-29T04:10:00Z,4.0,227.0,5.99,5.99,182.0,18.0,49.0
2021-12-29T05:10:00Z,3.0,97.0,7.0,7.0,93.0,15.0,53.0
2021-12-29T06:10:00Z,4.0,271.0,7.0,7.0,265.0,13.0,55.0
2021-12-29T07:10:00Z,7.0,219.0,13.0,13.0,209.0,22.0,44.0
2021-12-29T08:10:00Z,5.99,220.0,12.0,12.0,211.0,19.0,52.0
2021-12-29T09:10:00Z,2.0,277.0,13.0,13.0,234.0,13.0,57.0
2021-12-29T10:10:00Z,4.0,284.0,7.0,7.0,280.0,16.0,57.0
2021-12-29T11:10:00Z,2.0,262.0,9.0,9.0,54.0,15.0,59.0
2021-12-29T12:10:00Z,3.0,345.0,5.99,5.99,36.0,18.0,54.0
2021-12-29T13:10:00Z,1.0,308.0,5.99,5.99,272.0,18.0,54.0
2021-12-29T14:10:00Z,3.0,8.0,8.0,8.0,276.0,16.0,57.0
2021-12-29T15:10:00Z,4.0,264.0,5.99,5.99,273.0,19.0,55.0
2021-12-29T16:10:00Z,4.0,49.0,7.0,7.0,314.0,26.0,44.0
2021-12-29T17:10:00Z,3.0,44.0,12.0,12.0,54.0,19.0,53.0
2021-12-29T18:10:00Z,2.0,78.0,9.0,9.0,70.0,20.0,52.0
2021-12-29T19:10:00Z,5.0,91.0,9.0,9.0,88.0,22.0,47.0
2021-12-29T20:10:00Z,5.0,125.0,9.0,9.0,107.0,27.0,39.0
2021-12-29T21:10:00Z,5.0,103.0,10.0,10.0,118.0,27.0,39.0
2021-12-29T22:10:00Z,5.0,77.0,11.0,11.0,82.0,25.0,40.0
2021-12-29T23:10:00Z,3.0,92.0,8.0,8.0,70.0,23.0,43.0
2021-12-30T00:10:00Z,3.0,95.0,4.0,4.0,113.0,19.0,49.0
2021-12-30T01:10:00Z,1.0,5.0,5.0,5.0,82.0,18.0,50.0
2021-12-30T02:10:00Z,2.0,275.0,5.0,5.0,184.0,16.0,54.0
2021-12-30T03:10:00Z,5.0,258.0,5.99,5.99,242.0,16.0,55.0
2021-12-30T04:10:00Z,7.0,259.0,14.99,14.99,247.0,24.0,34.0
2021-12-30T05:10:00Z,5.99,270.0,13.0,13.0,249.0,23.0,37.0
2021-12-30T06:10:00Z,4.0,226.0,8.0,8.0,290.0,24.0,34.0
2021-12-30T07:10:00Z,9.0,210.0,14.99,14.99,203.0,24.0,34.0
2021-12-30T08:10:00Z,7.0,202.0,13.0,13.0,192.0,23.0,37.0
2021-12-30T09:10:00Z,5.99,198.0,12.0,12.0,217.0,24.0,41.0
2021-12-30T10:10:00Z,7.0,204.0,12.0,12.0,213.0,24.0,48.0
