datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:24:00Z,2.0,317.0,10.0,10.0,320.0,11.0,58.0
2021-12-29T01:24:00Z,3.0,348.0,7.0,7.0,298.0,11.0,58.0
2021-12-29T02:24:00Z,3.0,343.0,5.0,5.0,349.0,10.0,60.0
2021-12-29T03:24:00Z,2.0,9.0,5.0,5.0,344.0,11.0,63.0
2021-12-29T04:24:00Z,2.0,334.0,5.99,5.99,11.0,12.0,60.0
2021-12-29T05:24:00Z,2.0,350.0,4.0,4.0,355.0,11.0,61.0
2021-12-29T06:24:00Z,2.0,342.0,5.99,5.99,219.0,12.0,63.0
2021-12-29T07:24:00Z,2.0,10.0,4.0,4.0,3.0,10.0,65.0
2021-12-29T08:24:00Z,2.0,303.0,8.0,8.0,342.0,12.0,61.0
2021-12-29T09:24:00Z,2.0,299.0,5.99,5.99,267.0,13.0,59.0
2021-12-29T10:24:00Z,3.0,346.0,11.0,11.0,312.0,11.0,68.0
2021-12-29T11:24:00Z,2.0,325.0,5.0,5.0,6.0,13.0,62.0
2021-12-29T12:24:00Z,3.0,322.0,4.0,4.0,349.0,12.0,72.0
2021-12-29T13:24:00Z,2.0,342.0,4.0,4.0,14.0,13.0,69.0
2021-12-29T14:24:00Z,1.0,318.0,4.0,4.0,299.0,12.0,77.0
2021-12-29T15:24:00Z,4.0,268.0,7.0,7.0,233.0,16.0,68.0
2021-12-29T16:24:00Z,4.0,178.0,9.0,9.0,134.0,22.0,50.0
2021-12-29T17:24:00Z,9.0,247.0,17.0,17.0,291.0,21.0,42.0
2021-12-29T18:24:00Z,8.0,231.0,16.0,16.0,191.0,25.0,38.0
2021-12-29T19:24:00Z,8.0,225.0,20.0,20.0,193.0,24.0,38.0
2021-12-29T20:24:00Z,11.0,256.0,25.0,25.0,203.0,27.0,32.0
2021-12-29T21:24:00Z,10.0,234.0,20.0,20.0,237.0,27.0,35.0
2021-12-29T22:24:00Z,11.0,266.0,22.0,22.0,271.0,25.0,34.0
2021-12-29T23:24:00Z,9.0,272.0,21.0,21.0,274.0,20.0,44.0
2021-12-30T00:24:00Z,2.0,296.0,13.0,13.0,285.0,15.0,49.0
2021-12-30T01:24:00Z,4.0,331.0,10.0,10.0,287.0,14.0,49.0
2021-12-30T02:24:00Z,7.0,259.0,14.99,14.99,270.0,16.0,44.0
2021-12-30T03:24:00Z,9.0,258.0,22.0,22.0,282.0,17.0,43.0
2021-12-30T04:24:00Z,2.0,263.0,23.0,23.0,270.0,15.0,48.0
2021-12-30T05:24:00Z,5.0,249.0,14.01,14.01,254.0,16.0,48.0
2021-12-30T06:24:00Z,2.0,125.0,12.0,12.0,260.0,13.0,55.0
2021-12-30T07:24:00Z,2.0,33.0,4.0,4.0,52.0,14.0,54.0
2021-12-30T08:24:00Z,1.0,20.0,4.0,4.0,126.0,15.0,55.0
2021-12-30T09:24:00Z,4.0,144.0,5.99,5.99,151.0,16.0,57.0
2021-12-30T10:24:00Z,2.0,79.0,5.99,5.99,98.0,16.0,66.0
2021-12-30T11:24:00Z,3.0,121.0,17.0,17.0,301.0,17.0,65.0
2021-12-30T12:24:00Z,5.99,205.0,14.99,14.99,254.0,17.0,60.0
2021-12-30T13:24:00Z,9.0,236.0,26.0,26.0,236.0,19.0,52.0
2021-12-30T14:24:00Z,20.0,260.0,39.0,39.0,253.0,20.0,45.0
2021-12-30T15:24:00Z,11.0,297.0,36.0,36.0,243.0,22.0,42.0
2021-12-30T16:24:00Z,19.0,287.0,49.0,49.0,299.0,21.0,53.0
2021-12-30T17:24:00Z,14.99,286.0,45.0,45.0,285.0,25.0,43.0
2021-12-30T18:24:00Z,16.0,291.0,42.0,42.0,293.0,27.0,38.0
2021-12-30T19:24:00Z,17.0,291.0,39.0,39.0,316.0,28.0,32.0
2021-12-30T20:24:00Z,14.99,286.0,47.0,47.0,283.0,27.0,37.0
2021-12-30T21:24:00Z,10.0,307.0,32.0,32.0,281.0,28.0,43.0
2021-12-30T22:24:00Z,9.0,309.0,22.0,22.0,280.0,29.0,37.0
2021-12-30T23:24:00Z,7.0,300.0,34.01,34.01,271.0,23.0,43.0
2021-12-31T00:24:00Z,8.0,313.0,21.0,21.0,287.0,21.0,53.0
2021-12-31T01:24:00Z,7.0,321.0,16.0,16.0,298.0,21.0,58.0
2021-12-31T02:24:00Z,5.99,276.0,14.99,14.99,280.0,22.0,55.0
2021-12-31T03:24:00Z,11.0,259.0,31.0,31.0,255.0,22.0,56.0
2021-12-31T04:24:00Z,10.0,267.0,27.0,27.0,243.0,23.0,52.0
2021-12-31T05:24:00Z,3.0,254.0,18.0,18.0,297.0,22.0,61.0
2021-12-31T06:24:00Z,10.0,260.0,19.0,19.0,258.0,24.0,51.0
2021-12-31T07:24:00Z,7.0,253.0,14.01,14.01,276.0,24.0,56.0
2021-12-31T08:24:00Z,7.0,250.0,16.0,16.0,216.0,24.0,52.0
2021-12-31T09:24:00Z,9.0,211.0,17.0,17.0,225.0,24.0,54.0
2021-12-31T10:24:00Z,5.0,192.0,12.0,12.0,211.0,23.0,60.0
2021-12-31T11:24:00Z,4.0,182.0,9.0,9.0,167.0,22.0,62.0
2021-12-31T12:24:00Z,2.0,138.0,7.0,7.0,142.0,21.0,67.0
2021-12-31T13:24:00Z,1.0,146.0,7.0,7.0,178.0,21.0,76.0
2021-12-31T14:24:00Z,2.0,210.0,5.99,5.99,154.0,20.0,76.0
2021-12-31T15:24:00Z,5.0,161.0,9.0,9.0,192.0,20.0,79.0
2021-12-31T16:24:00Z,2.0,134.0,10.0,10.0,128.0,18.0,86.0
2021-12-31T17:24:00Z,5.0,170.0,7.0,7.0,146.0,19.0,85.0
2021-12-31T18:24:00Z,5.0,187.0,7.0,7.0,186.0,18.0,84.0
2021-12-31T19:24:00Z,5.99,195.0,9.0,9.0,188.0,18.0,83.0
2021-12-31T20:24:00Z,4.0,187.0,9.0,9.0,178.0,17.0,84.0
2021-12-31T21:24:00Z,5.99,165.0,13.0,13.0,143.0,16.0,85.0
2021-12-31T22:24:00Z,4.0,173.0,12.0,12.0,172.0,16.0,86.0
2021-12-31T23:24:00Z,5.0,170.0,7.0,7.0,145.0,15.0,88.0
2022-01-01T00:24:00Z,4.0,101.0,10.0,10.0,169.0,14.0,87.0
2022-01-01T01:24:00Z,2.0,95.0,7.0,7.0,79.0,13.0,85.0
2022-01-01T02:24:00Z,3.0,116.0,5.99,5.99,143.0,11.0,84.0
2022-01-01T03:24:00Z,3.0,126.0,5.99,5.99,174.0,9.0,83.0
2022-01-01T04:24:00Z,2.0,189.0,4.0,4.0,148.0,8.0,84.0
2022-01-01T05:24:00Z,0.0,,3.0,3.0,162.0,8.0,83.0
2022-01-01T06:24:00Z,1.0,268.0,2.0,2.0,260.0,8.0,84.0
2022-01-01T07:24:00Z,0.0,,2.0,2.0,276.0,8.0,84.0
2022-01-01T08:24:00Z,0.0,,2.0,2.0,278.0,7.0,83.0
2022-01-01T09:24:00Z,0.0,,0.0,0.0,314.0,7.0,82.0
2022-01-01T10:24:00Z,0.0,,0.0,0.0,327.0,6.0,82.0
2022-01-01T11:24:00Z,0.0,,1.0,1.0,129.0,6.0,82.0
2022-01-01T12:24:00Z,0.0,,1.0,1.0,329.0,6.0,82.0
2022-01-01T13:24:00Z,0.0,,0.0,0.0,28.0,6.0,82.0
2022-01-01T14:24:00Z,0.0,,1.0,1.0,317.0,5.0,82.0
2022-01-01T15:24:00Z,4.0,344.0,7.0,7.0,15.0,6.0,78.0
2022-01-01T16:24:00Z,2.0,4.0,7.0,7.0,330.0,8.0,77.0
2022-01-01T17:24:00Z,4.0,356.0,8.0,8.0,50.0,10.0,74.0
2022-01-01T18:24:00Z,5.0,357.0,11.0,11.0,29.0,11.0,68.0
2022-01-01T19:24:00Z,4.0,334.0,12.0,12.0,2.0,12.0,65.0
