datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:55:00Z,1.0,296.0,4.0,4.0,297.0,24.0,39.0
2021-12-29T01:55:00Z,2.0,296.0,5.99,5.99,293.0,21.0,41.0
2021-12-29T02:55:00Z,2.0,296.0,5.99,5.99,297.0,19.0,45.0
2021-12-29T03:55:00Z,2.0,296.0,4.0,4.0,296.0,16.0,50.0
2021-12-29T04:55:00Z,0.0,,3.0,3.0,296.0,14.0,54.0
2021-12-29T05:55:00Z,1.0,296.0,3.0,3.0,296.0,12.0,57.0
2021-12-29T06:55:00Z,1.0,296.0,3.0,3.0,296.0,10.0,63.0
2021-12-29T07:55:00Z,0.0,,3.0,3.0,296.0,8.0,67.0
2021-12-29T08:55:00Z,0.0,,4.0,4.0,296.0,8.0,68.0
2021-12-29T09:55:00Z,2.0,296.0,4.0,4.0,296.0,10.0,67.0
2021-12-29T10:55:00Z,1.0,296.0,4.0,4.0,296.0,7.0,72.0
2021-12-29T11:55:00Z,2.0,296.0,4.0,4.0,295.0,8.0,73.0
2021-12-29T12:55:00Z,1.0,296.0,5.0,5.0,293.0,4.0,78.0
2021-12-29T13:55:00Z,2.0,296.0,4.0,4.0,295.0,4.0,79.0
2021-12-29T14:55:00Z,2.0,296.0,4.0,4.0,295.0,5.0,82.0
2021-12-29T15:55:00Z,2.0,296.0,3.0,3.0,296.0,7.0,77.0
2021-12-29T16:55:00Z,1.0,296.0,3.0,3.0,296.0,19.0,56.0
2021-12-29T17:55:00Z,2.0,296.0,4.0,4.0,296.0,32.0,40.0
2021-12-29T18:55:00Z,5.0,294.0,8.0,8.0,292.0,41.0,28.0
2021-12-29T19:55:00Z,4.0,296.0,11.0,11.0,298.0,38.0,24.0
2021-12-29T20:55:00Z,5.0,297.0,12.0,12.0,304.0,43.0,21.0
2021-12-29T21:55:00Z,5.0,297.0,14.99,14.99,304.0,42.0,19.0
2021-12-29T22:55:00Z,5.0,297.0,12.0,12.0,301.0,39.0,20.0
2021-12-29T23:55:00Z,4.0,297.0,14.01,14.01,312.0,35.0,21.0
2021-12-30T00:55:00Z,5.99,296.0,18.0,18.0,312.0,34.0,24.0
2021-12-30T01:55:00Z,4.0,295.0,16.0,16.0,300.0,31.0,27.0
2021-12-30T02:55:00Z,3.0,294.0,14.99,14.99,292.0,26.0,29.0
2021-12-30T03:55:00Z,3.0,294.0,12.0,12.0,300.0,31.0,27.0
2021-12-30T04:55:00Z,3.0,295.0,5.99,5.99,295.0,27.0,33.0
2021-12-30T05:55:00Z,4.0,295.0,10.0,10.0,294.0,29.0,36.0
2021-12-30T06:55:00Z,5.0,296.0,16.0,16.0,298.0,30.0,33.0
2021-12-30T07:55:00Z,5.0,296.0,10.0,10.0,298.0,28.0,37.0
2021-12-30T08:55:00Z,5.0,297.0,14.99,14.99,295.0,28.0,38.0
2021-12-30T09:55:00Z,5.99,297.0,12.0,12.0,296.0,28.0,39.0
2021-12-30T10:55:00Z,3.0,296.0,9.0,9.0,297.0,27.0,40.0
2021-12-30T11:55:00Z,4.0,296.0,10.0,10.0,295.0,29.0,42.0
2021-12-30T12:55:00Z,3.0,296.0,9.0,9.0,296.0,29.0,41.0
2021-12-30T13:55:00Z,4.0,296.0,9.0,9.0,295.0,31.0,39.0
2021-12-30T14:55:00Z,5.0,296.0,11.0,11.0,295.0,33.0,36.0
2021-12-30T15:55:00Z,5.0,297.0,14.99,14.99,299.0,36.0,32.0
2021-12-30T16:55:00Z,5.0,296.0,14.01,14.01,298.0,39.0,24.0
2021-12-30T17:55:00Z,9.0,302.0,31.0,31.0,331.0,41.0,19.0
2021-12-30T18:55:00Z,8.0,300.0,22.0,22.0,25.0,44.0,16.0
2021-12-30T19:55:00Z,10.0,303.0,36.0,36.0,125.0,44.0,17.0
2021-12-30T20:55:00Z,9.0,298.0,24.0,24.0,40.0,45.0,17.0
2021-12-30T21:55:00Z,7.0,301.0,24.0,24.0,206.0,45.0,18.0
2021-12-30T22:55:00Z,4.0,299.0,14.99,14.99,309.0,42.0,21.0
2021-12-30T23:55:00Z,3.0,298.0,11.0,11.0,304.0,38.0,25.0
2021-12-31T00:55:00Z,5.99,298.0,12.0,12.0,297.0,37.0,28.0
2021-12-31T01:55:00Z,4.0,297.0,12.0,12.0,298.0,36.0,32.0
2021-12-31T02:55:00Z,5.0,297.0,14.01,14.01,298.0,36.0,34.0
2021-12-31T03:55:00Z,5.0,297.0,12.0,12.0,301.0,36.0,36.0
2021-12-31T04:55:00Z,4.0,296.0,14.99,14.99,291.0,35.0,38.0
2021-12-31T05:55:00Z,5.99,296.0,14.99,14.99,295.0,34.0,44.0
2021-12-31T06:55:00Z,5.99,296.0,12.0,12.0,293.0,34.0,46.0
2021-12-31T07:55:00Z,5.0,296.0,17.0,17.0,293.0,34.0,49.0
2021-12-31T08:55:00Z,5.99,297.0,12.0,12.0,303.0,34.0,49.0
2021-12-31T09:55:00Z,5.0,297.0,11.0,11.0,301.0,34.0,48.0
2021-12-31T10:55:00Z,4.0,296.0,12.0,12.0,297.0,32.0,50.0
2021-12-31T11:55:00Z,3.0,296.0,5.99,5.99,298.0,32.0,53.0
2021-12-31T12:55:00Z,2.0,296.0,10.0,10.0,302.0,32.0,51.0
2021-12-31T13:55:00Z,1.0,295.0,5.0,5.0,296.0,25.0,64.0
2021-12-31T14:55:00Z,2.0,295.0,3.0,3.0,295.0,24.0,67.0
2021-12-31T15:55:00Z,3.0,295.0,4.0,4.0,295.0,28.0,60.0
2021-12-31T16:55:00Z,2.0,295.0,5.0,5.0,292.0,34.0,50.0
2021-12-31T17:55:00Z,2.0,295.0,9.0,9.0,289.0,35.0,50.0
2021-12-31T18:55:00Z,4.0,293.0,9.0,9.0,290.0,37.0,44.0
2021-12-31T19:55:00Z,5.0,297.0,14.01,14.01,317.0,40.0,41.0
2021-12-31T20:55:00Z,4.0,293.0,12.0,12.0,296.0,35.0,40.0
2021-12-31T21:55:00Z,4.0,291.0,12.0,12.0,281.0,32.0,48.0
2021-12-31T22:55:00Z,5.0,289.0,13.0,13.0,280.0,30.0,56.0
2021-12-31T23:55:00Z,4.0,290.0,11.0,11.0,285.0,26.0,87.0
2022-01-01T00:55:00Z,4.0,290.0,8.0,8.0,287.0,25.0,91.0
2022-01-01T01:55:00Z,5.0,289.0,10.0,10.0,286.0,23.0,92.0
2022-01-01T02:55:00Z,4.0,289.0,12.0,12.0,282.0,19.0,91.0
2022-01-01T03:55:00Z,3.0,290.0,8.0,8.0,285.0,17.0,90.0
2022-01-01T04:55:00Z,1.0,291.0,5.99,5.99,288.0,16.0,90.0
2022-01-01T05:55:00Z,0.0,,3.0,3.0,291.0,16.0,90.0
2022-01-01T06:55:00Z,0.0,,1.0,1.0,291.0,15.0,89.0
2022-01-01T07:55:00Z,0.0,,1.0,1.0,291.0,15.0,90.0
2022-01-01T08:55:00Z,0.0,,1.0,1.0,291.0,15.0,89.0
2022-01-01T09:55:00Z,1.0,291.0,2.0,2.0,291.0,14.0,89.0
2022-01-01T10:55:00Z,1.0,291.0,4.0,4.0,289.0,12.0,87.0
2022-01-01T11:55:00Z,1.0,291.0,3.0,3.0,291.0,10.0,86.0
