datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2025-12-09T00:01:00Z,0.0,242.0,3.0,3.0,183.0,39.0,93.0
2025-12-09T01:01:00Z,3.0,155.0,9.0,9.0,73.0,42.0,80.0
2025-12-09T02:01:00Z,1.0,174.0,12.0,12.0,182.0,44.0,77.0
2025-12-09T03:01:00Z,1.0,100.0,7.0,7.0,189.0,43.0,84.0
2025-12-09T04:01:00Z,1.0,190.0,8.0,8.0,194.0,42.0,88.0
2025-12-09T05:01:00Z,1.0,165.0,7.0,7.0,156.0,44.0,82.0
2025-12-09T06:01:00Z,1.0,266.0,5.99,5.99,209.0,42.0,91.0
2025-12-09T07:01:00Z,3.0,184.0,8.0,8.0,206.0,42.0,98.0
2025-12-09T08:01:00Z,2.0,186.0,14.99,14.99,167.0,44.0,93.0
2025-12-09T09:01:00Z,4.0,177.0,16.0,16.0,161.0,45.0,89.0
2025-12-09T10:01:00Z,2.0,198.0,17.0,17.0,143.0,45.0,89.0
2025-12-09T11:01:00Z,2.0,113.0,16.0,16.0,103.0,44.0,92.0
2025-12-09T12:01:00Z,0.0,274.0,5.99,5.99,135.0,43.0,97.0
2025-12-09T13:01:00Z,1.0,149.0,8.0,8.0,260.0,43.0,100.0
2025-12-09T14:01:00Z,1.0,243.0,8.0,8.0,159.0,43.0,100.0
2025-12-09T15:01:00Z,0.0,301.0,9.0,9.0,334.0,43.0,100.0
2025-12-09T16:01:00Z,1.0,301.0,8.0,8.0,40.0,40.0,90.0
2025-12-09T17:01:00Z,1.0,64.0,9.0,9.0,210.0,39.0,94.0
2025-12-09T18:01:00Z,0.0,305.0,10.0,10.0,63.0,40.0,87.0
2025-12-09T19:01:00Z,3.0,168.0,12.0,12.0,187.0,43.0,69.0
2025-12-09T20:01:00Z,1.0,26.0,5.99,5.99,161.0,44.0,61.0
2025-12-09T21:01:00Z,1.0,274.0,5.0,5.0,252.0,44.0,66.0
