datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2025-12-09T00:08:00Z,1.0,146.0,4.0,4.0,199.0,36.0,100.0
2025-12-09T01:08:00Z,3.0,207.0,9.0,9.0,155.0,37.0,98.0
2025-12-09T02:08:00Z,2.0,124.0,5.99,5.99,234.0,35.0,100.0
2025-12-09T03:08:00Z,3.0,272.0,7.0,7.0,288.0,36.0,100.0
2025-12-09T04:08:00Z,1.0,192.0,9.0,9.0,301.0,35.0,100.0
2025-12-09T05:08:00Z,1.0,189.0,8.0,8.0,171.0,37.0,100.0
2025-12-09T06:08:00Z,4.0,137.0,9.0,9.0,152.0,38.0,100.0
2025-12-09T07:08:00Z,3.0,128.0,13.0,13.0,130.0,38.0,99.0
2025-12-09T08:08:00Z,3.0,122.0,11.0,11.0,151.0,39.0,100.0
2025-12-09T09:08:00Z,1.0,74.0,9.0,9.0,136.0,38.0,100.0
2025-12-09T10:08:00Z,2.0,149.0,12.0,12.0,169.0,39.0,100.0
2025-12-09T11:08:00Z,2.0,131.0,5.99,5.99,159.0,38.0,100.0
2025-12-09T12:08:00Z,3.0,351.0,11.0,11.0,312.0,38.0,100.0
2025-12-09T13:08:00Z,0.0,355.0,12.0,12.0,159.0,37.0,100.0
2025-12-09T14:08:00Z,17.0,316.0,38.0,38.0,320.0,44.0,73.0
2025-12-09T15:08:00Z,2.0,289.0,37.0,37.0,334.0,41.0,74.0
2025-12-09T16:08:00Z,5.0,293.0,17.0,17.0,322.0,43.0,57.0
2025-12-09T17:08:00Z,7.0,316.0,23.0,23.0,319.0,43.0,50.0
2025-12-09T18:08:00Z,3.0,333.0,18.0,18.0,323.0,43.0,56.0
2025-12-09T19:08:00Z,8.0,314.0,23.0,23.0,328.0,44.0,46.0
2025-12-09T20:08:00Z,1.0,247.0,16.0,16.0,338.0,42.0,63.0
2025-12-09T21:08:00Z,4.0,291.0,13.0,13.0,314.0,44.0,48.0
2025-12-09T22:08:00Z,0.0,95.0,7.0,7.0,193.0,39.0,76.0
2025-12-09T23:08:00Z,0.0,84.0,3.0,3.0,38.0,36.0,85.0
2025-12-10T00:08:00Z,0.0,114.0,7.0,7.0,338.0,34.0,84.0
2025-12-10T01:08:00Z,1.0,103.0,3.0,3.0,127.0,31.0,92.0
2025-12-10T02:08:00Z,1.0,128.0,3.0,3.0,142.0,30.0,93.0
2025-12-10T03:08:00Z,2.0,144.0,5.0,5.0,161.0,30.0,94.0
2025-12-10T04:08:00Z,1.0,128.0,5.0,5.0,147.0,31.0,88.0
2025-12-10T05:08:00Z,1.0,137.0,3.0,3.0,167.0,30.0,93.0
2025-12-10T06:08:00Z,0.0,123.0,3.0,3.0,166.0,30.0,94.0
2025-12-10T07:08:00Z,0.0,153.0,4.0,4.0,217.0,30.0,94.0
2025-12-10T08:08:00Z,2.0,134.0,5.0,5.0,135.0,31.0,95.0
2025-12-10T09:08:00Z,4.0,167.0,13.0,13.0,151.0,35.0,81.0
