datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2025-12-09T00:28:00Z,4.0,229.0,8.0,8.0,216.0,38.0,82.0
2025-12-09T01:28:00Z,4.0,231.0,8.0,8.0,212.0,37.0,83.0
2025-12-09T02:28:00Z,4.0,216.0,8.0,8.0,218.0,38.0,89.0
2025-12-09T03:28:00Z,4.0,223.0,8.0,8.0,237.0,38.0,87.0
2025-12-09T04:28:00Z,5.0,233.0,10.0,10.0,228.0,40.0,83.0
2025-12-09T05:28:00Z,3.0,235.0,5.99,5.99,251.0,39.0,85.0
2025-12-09T06:28:00Z,4.0,223.0,7.0,7.0,230.0,40.0,87.0
2025-12-09T07:28:00Z,5.0,212.0,10.0,10.0,217.0,40.0,89.0
2025-12-09T08:28:00Z,7.0,198.0,12.0,12.0,199.0,40.0,89.0
2025-12-09T09:28:00Z,5.0,207.0,14.01,14.01,199.0,41.0,90.0
2025-12-09T10:28:00Z,7.0,203.0,11.0,11.0,201.0,40.0,96.0
2025-12-09T11:28:00Z,3.0,185.0,13.0,13.0,164.0,40.0,97.0
2025-12-09T12:28:00Z,3.0,183.0,10.0,10.0,195.0,40.0,97.0
2025-12-09T13:28:00Z,1.0,90.0,14.01,14.01,228.0,40.0,93.0
2025-12-09T14:28:00Z,3.0,19.0,10.0,10.0,31.0,40.0,91.0
2025-12-09T15:28:00Z,3.0,348.0,14.99,14.99,214.0,38.0,81.0
2025-12-09T16:28:00Z,1.0,230.0,7.0,7.0,41.0,38.0,76.0
2025-12-09T17:28:00Z,5.99,198.0,11.0,11.0,196.0,38.0,73.0
2025-12-09T18:28:00Z,1.0,74.0,10.0,10.0,195.0,39.0,67.0
2025-12-09T19:28:00Z,2.0,221.0,5.99,5.99,3.0,41.0,62.0
2025-12-09T20:28:00Z,5.0,241.0,10.0,10.0,237.0,40.0,59.0
2025-12-09T21:28:00Z,5.0,236.0,11.0,11.0,207.0,40.0,58.0
2025-12-09T22:28:00Z,1.0,159.0,7.0,7.0,220.0,39.0,60.0
2025-12-09T23:28:00Z,0.0,329.0,5.99,5.99,68.0,37.0,65.0
2025-12-10T00:28:00Z,2.0,262.0,4.0,4.0,290.0,34.0,78.0
2025-12-10T01:28:00Z,1.0,231.0,3.0,3.0,270.0,34.0,76.0
2025-12-10T02:28:00Z,2.0,217.0,4.0,4.0,254.0,35.0,77.0
