datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2025-12-09T00:59:00Z,1.0,107.0,5.99,5.99,51.0,37.0,99.0
2025-12-09T01:59:00Z,1.0,70.0,3.0,3.0,355.0,36.0,100.0
2025-12-09T02:59:00Z,1.0,350.0,2.0,2.0,49.0,36.0,100.0
2025-12-09T03:59:00Z,2.0,104.0,5.0,5.0,67.0,36.0,100.0
2025-12-09T04:59:00Z,3.0,100.0,5.99,5.99,127.0,37.0,100.0
2025-12-09T05:59:00Z,1.0,62.0,5.0,5.0,93.0,37.0,100.0
2025-12-09T06:59:00Z,1.0,243.0,8.0,8.0,80.0,36.0,100.0
2025-12-09T07:59:00Z,5.0,16.0,7.0,7.0,211.0,37.0,100.0
2025-12-09T08:59:00Z,2.0,41.0,5.99,5.99,47.0,39.0,100.0
2025-12-09T09:59:00Z,2.0,95.0,7.0,7.0,39.0,40.0,100.0
2025-12-09T10:59:00Z,1.0,310.0,7.0,7.0,214.0,41.0,100.0
2025-12-09T11:59:00Z,1.0,325.0,5.0,5.0,345.0,42.0,100.0
2025-12-09T12:59:00Z,2.0,338.0,8.0,8.0,5.0,42.0,98.0
2025-12-09T13:59:00Z,2.0,272.0,11.0,11.0,13.0,44.0,91.0
2025-12-09T14:59:00Z,5.0,244.0,22.0,22.0,255.0,43.0,74.0
2025-12-09T15:59:00Z,3.0,337.0,17.0,17.0,192.0,43.0,63.0
2025-12-09T16:59:00Z,2.0,24.0,13.0,13.0,63.0,41.0,74.0
2025-12-09T17:59:00Z,4.0,211.0,5.99,5.99,218.0,47.0,60.0
2025-12-09T18:59:00Z,3.0,272.0,10.0,10.0,289.0,47.0,52.0
2025-12-09T19:59:00Z,4.0,237.0,16.0,16.0,217.0,46.0,51.0
2025-12-09T20:59:00Z,5.99,223.0,16.0,16.0,224.0,46.0,47.0
2025-12-09T21:59:00Z,3.0,25.0,9.0,9.0,215.0,44.0,55.0
2025-12-09T22:59:00Z,1.0,262.0,5.0,5.0,355.0,43.0,57.0
2025-12-09T23:59:00Z,1.0,267.0,4.0,4.0,359.0,40.0,64.0
2025-12-10T00:59:00Z,1.0,30.0,4.0,4.0,52.0,39.0,70.0
2025-12-10T01:59:00Z,3.0,3.0,5.99,5.99,308.0,37.0,77.0
2025-12-10T02:59:00Z,2.0,338.0,7.0,7.0,31.0,36.0,81.0
2025-12-10T03:59:00Z,2.0,318.0,4.0,4.0,309.0,35.0,84.0
2025-12-10T04:59:00Z,4.0,324.0,11.0,11.0,303.0,35.0,81.0
2025-12-10T05:59:00Z,1.0,86.0,5.99,5.99,309.0,33.0,91.0
2025-12-10T06:59:00Z,2.0,320.0,3.0,3.0,64.0,34.0,90.0
2025-12-10T07:59:00Z,0.0,248.0,3.0,3.0,333.0,32.0,97.0
2025-12-10T08:59:00Z,2.0,98.0,4.0,4.0,133.0,33.0,99.0
2025-12-10T09:59:00Z,0.0,191.0,3.0,3.0,197.0,32.0,99.0
2025-12-10T10:59:00Z,0.0,230.0,0.0,0.0,181.0,32.0,100.0
2025-12-10T11:59:00Z,0.0,299.0,0.0,0.0,248.0,33.0,100.0
2025-12-10T12:59:00Z,0.0,332.0,0.0,0.0,296.0,33.0,100.0
2025-12-10T13:59:00Z,2.0,350.0,8.0,8.0,311.0,33.0,100.0
2025-12-10T14:59:00Z,1.0,0.0,5.0,5.0,353.0,33.0,100.0
2025-12-10T15:59:00Z,1.0,25.0,5.99,5.99,324.0,33.0,100.0
2025-12-10T16:59:00Z,0.0,150.0,5.99,5.99,316.0,33.0,100.0
2025-12-10T17:59:00Z,2.0,35.0,4.0,4.0,75.0,35.0,99.0
2025-12-10T18:59:00Z,4.0,110.0,9.0,9.0,216.0,37.0,95.0
2025-12-10T19:59:00Z,4.0,59.0,9.0,9.0,62.0,39.0,95.0
2025-12-10T20:59:00Z,3.0,288.0,8.0,8.0,56.0,40.0,98.0
2025-12-10T21:59:00Z,5.99,313.0,20.0,20.0,197.0,50.0,77.0
2025-12-10T22:59:00Z,5.0,63.0,19.0,19.0,32.0,52.0,67.0
2025-12-10T23:59:00Z,5.0,21.0,14.01,14.01,325.0,51.0,72.0
2025-12-11T00:59:00Z,3.0,6.0,14.99,14.99,27.0,53.0,66.0
2025-12-11T01:59:00Z,4.0,39.0,18.0,18.0,30.0,52.0,65.0
2025-12-11T02:59:00Z,5.99,27.0,16.0,16.0,61.0,52.0,67.0
2025-12-11T03:59:00Z,7.0,56.0,20.0,20.0,102.0,52.0,69.0
2025-12-11T04:59:00Z,5.99,149.0,14.99,14.99,50.0,54.0,60.0
2025-12-11T05:59:00Z,5.99,327.0,27.0,27.0,183.0,54.0,58.0
2025-12-11T06:59:00Z,10.0,212.0,30.0,30.0,191.0,56.0,51.0
2025-12-11T07:59:00Z,7.0,125.0,32.0,32.0,212.0,55.0,50.0
2025-12-11T08:59:00Z,7.0,240.0,34.01,34.01,199.0,56.0,48.0
2025-12-11T09:59:00Z,5.99,280.0,31.0,31.0,215.0,56.0,47.0
