datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2025-12-09T00:41:00Z,4.0,189.0,8.0,8.0,125.0,30.0,100.0
2025-12-09T01:41:00Z,4.0,196.0,7.0,7.0,244.0,31.0,100.0
2025-12-09T02:41:00Z,4.0,195.0,7.0,7.0,212.0,32.0,100.0
2025-12-09T05:41:00Z,5.99,148.0,13.0,13.0,122.0,32.0,100.0
2025-12-09T06:41:00Z,8.0,157.0,16.0,16.0,171.0,33.0,100.0
2025-12-09T07:41:00Z,9.0,186.0,22.0,22.0,203.0,34.0,100.0
2025-12-09T08:41:00Z,9.0,193.0,26.0,26.0,187.0,34.0,100.0
2025-12-09T09:41:00Z,9.0,213.0,21.0,21.0,204.0,34.0,100.0
2025-12-09T10:41:00Z,13.0,242.0,23.0,23.0,228.0,35.0,100.0
2025-12-09T11:41:00Z,11.0,244.0,26.0,26.0,243.0,34.0,100.0
2025-12-09T12:41:00Z,13.0,251.0,26.0,26.0,240.0,34.0,100.0
2025-12-09T13:41:00Z,14.01,273.0,28.0,28.0,266.0,34.0,100.0
2025-12-09T14:41:00Z,14.99,297.0,34.99,34.99,279.0,32.0,100.0
2025-12-09T15:41:00Z,16.0,289.0,32.0,32.0,308.0,32.0,97.0
2025-12-09T16:41:00Z,11.0,260.0,45.0,45.0,318.0,31.0,83.0
2025-12-09T17:41:00Z,7.0,287.0,17.0,17.0,250.0,31.0,80.0
2025-12-09T18:41:00Z,12.0,282.0,27.0,27.0,282.0,32.0,71.0
2025-12-09T19:41:00Z,8.0,289.0,24.0,24.0,239.0,32.0,69.0
2025-12-09T20:41:00Z,7.0,297.0,20.0,20.0,282.0,34.0,67.0
2025-12-09T21:41:00Z,7.0,320.0,16.0,16.0,288.0,31.0,71.0
2025-12-09T22:41:00Z,8.0,262.0,20.0,20.0,292.0,30.0,74.0
2025-12-09T23:41:00Z,3.0,316.0,13.0,13.0,306.0,28.0,76.0
2025-12-10T00:41:00Z,5.0,244.0,7.0,7.0,290.0,29.0,69.0
2025-12-10T01:41:00Z,5.0,159.0,10.0,10.0,192.0,27.0,86.0
2025-12-10T02:41:00Z,7.0,191.0,14.99,14.99,208.0,27.0,90.0
2025-12-10T03:41:00Z,7.0,189.0,16.0,16.0,194.0,27.0,88.0
2025-12-10T04:41:00Z,5.99,164.0,14.01,14.01,226.0,28.0,84.0
2025-12-10T05:41:00Z,8.0,156.0,14.99,14.99,187.0,28.0,84.0
2025-12-10T06:41:00Z,5.99,136.0,12.0,12.0,142.0,29.0,88.0
2025-12-10T07:41:00Z,5.99,131.0,12.0,12.0,162.0,28.0,95.0
2025-12-10T08:41:00Z,5.99,122.0,12.0,12.0,85.0,27.0,98.0
2025-12-10T09:41:00Z,11.0,136.0,20.0,20.0,122.0,29.0,99.0
2025-12-10T10:41:00Z,9.0,141.0,18.0,18.0,114.0,30.0,99.0
2025-12-10T11:41:00Z,8.0,168.0,16.0,16.0,166.0,31.0,100.0
2025-12-10T12:41:00Z,10.0,201.0,16.0,16.0,195.0,32.0,100.0
2025-12-10T13:41:00Z,8.0,221.0,22.0,22.0,234.0,33.0,100.0
2025-12-10T14:41:00Z,7.0,224.0,18.0,18.0,260.0,34.0,100.0
2025-12-10T15:41:00Z,9.0,208.0,17.0,17.0,215.0,36.0,100.0
2025-12-10T16:41:00Z,13.0,242.0,31.0,31.0,271.0,38.0,100.0
2025-12-10T17:41:00Z,11.0,241.0,27.0,27.0,232.0,38.0,100.0
2025-12-10T18:41:00Z,13.0,241.0,33.0,33.0,198.0,39.0,100.0
2025-12-10T19:41:00Z,14.01,238.0,31.0,31.0,211.0,39.0,99.0
2025-12-10T20:41:00Z,11.0,241.0,25.0,25.0,234.0,40.0,97.0
2025-12-10T21:41:00Z,10.0,249.0,36.0,36.0,314.0,40.0,92.0
2025-12-10T22:41:00Z,9.0,241.0,21.0,21.0,248.0,40.0,92.0
2025-12-10T23:41:00Z,7.0,249.0,18.0,18.0,280.0,40.0,94.0
2025-12-11T00:41:00Z,5.0,187.0,20.0,20.0,257.0,39.0,94.0
2025-12-11T01:41:00Z,4.0,139.0,18.0,18.0,267.0,39.0,94.0
2025-12-11T02:41:00Z,5.99,146.0,17.0,17.0,164.0,39.0,92.0
2025-12-11T03:41:00Z,5.99,211.0,19.0,19.0,237.0,40.0,90.0
2025-12-11T04:41:00Z,5.99,221.0,19.0,19.0,277.0,40.0,87.0
2025-12-11T05:41:00Z,7.0,201.0,18.0,18.0,200.0,40.0,86.0
2025-12-11T06:41:00Z,7.0,241.0,26.0,26.0,214.0,40.0,80.0
2025-12-11T07:41:00Z,5.99,207.0,23.0,23.0,233.0,41.0,77.0
2025-12-11T08:41:00Z,8.0,236.0,26.0,26.0,254.0,41.0,74.0
2025-12-11T09:41:00Z,8.0,238.0,18.0,18.0,217.0,41.0,73.0
2025-12-11T10:41:00Z,16.0,251.0,40.0,40.0,228.0,41.0,69.0
2025-12-11T11:41:00Z,10.0,253.0,29.0,29.0,262.0,40.0,72.0
2025-12-11T12:41:00Z,17.0,249.0,33.0,33.0,247.0,39.0,77.0
2025-12-11T13:41:00Z,19.0,249.0,37.0,37.0,247.0,39.0,81.0
2025-12-11T14:41:00Z,20.0,246.0,43.01,43.01,263.0,39.0,83.0
2025-12-11T15:41:00Z,14.01,247.0,41.0,41.0,257.0,39.0,83.0
2025-12-11T16:41:00Z,10.0,249.0,31.0,31.0,242.0,37.0,93.0
2025-12-11T17:41:00Z,9.0,242.0,26.0,26.0,250.0,37.0,93.0
2025-12-11T18:41:00Z,12.0,249.0,21.0,21.0,248.0,38.0,93.0
2025-12-11T19:41:00Z,10.0,253.0,20.0,20.0,263.0,37.0,95.0
2025-12-11T20:41:00Z,5.99,238.0,17.0,17.0,243.0,37.0,99.0
2025-12-11T21:41:00Z,7.0,247.0,14.01,14.01,258.0,37.0,100.0
2025-12-11T22:41:00Z,5.99,235.0,14.01,14.01,244.0,36.0,100.0
2025-12-11T23:41:00Z,7.0,262.0,17.0,17.0,254.0,36.0,100.0
2025-12-12T00:41:00Z,5.99,302.0,14.99,14.99,249.0,36.0,100.0
2025-12-12T01:41:00Z,5.0,285.0,12.0,12.0,324.0,35.0,100.0
2025-12-12T02:41:00Z,5.0,303.0,14.01,14.01,249.0,35.0,100.0
2025-12-12T03:41:00Z,5.0,321.0,13.0,13.0,295.0,34.0,100.0
2025-12-12T04:41:00Z,4.0,329.0,11.0,11.0,295.0,34.0,100.0
2025-12-12T05:41:00Z,5.99,294.0,13.0,13.0,298.0,34.0,100.0
2025-12-12T06:41:00Z,5.0,307.0,11.0,11.0,311.0,33.0,100.0
2025-12-12T07:41:00Z,5.0,311.0,10.0,10.0,326.0,33.0,100.0
2025-12-12T08:41:00Z,3.0,271.0,8.0,8.0,311.0,32.0,100.0
2025-12-12T09:41:00Z,3.0,279.0,10.0,10.0,249.0,33.0,100.0
2025-12-12T10:41:00Z,5.0,295.0,8.0,8.0,252.0,33.0,100.0
2025-12-12T11:41:00Z,4.0,292.0,11.0,11.0,280.0,34.0,100.0
2025-12-12T12:41:00Z,3.0,287.0,7.0,7.0,255.0,34.0,100.0
2025-12-12T13:41:00Z,7.0,244.0,9.0,9.0,254.0,35.0,100.0
2025-12-12T14:41:00Z,7.0,244.0,10.0,10.0,234.0,36.0,100.0
2025-12-12T15:41:00Z,8.0,243.0,12.0,12.0,234.0,36.0,100.0
2025-12-12T16:41:00Z,5.99,235.0,13.0,13.0,215.0,37.0,100.0
2025-12-12T17:41:00Z,7.0,234.0,14.99,14.99,235.0,38.0,100.0
2025-12-12T18:41:00Z,7.0,244.0,16.0,16.0,252.0,38.0,100.0
2025-12-12T19:41:00Z,5.99,240.0,12.0,12.0,244.0,38.0,100.0
2025-12-12T20:41:00Z,4.0,215.0,13.0,13.0,250.0,38.0,100.0
2025-12-12T21:41:00Z,7.0,242.0,13.0,13.0,246.0,38.0,100.0
2025-12-12T22:41:00Z,5.99,239.0,17.0,17.0,250.0,38.0,100.0
2025-12-12T23:41:00Z,5.99,231.0,14.01,14.01,232.0,37.0,100.0
