datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2025-12-09T00:31:00Z,11.0,171.0,18.0,18.0,159.0,43.0,77.0
2025-12-09T01:31:00Z,13.0,174.0,19.0,19.0,176.0,44.0,74.0
2025-12-09T02:31:00Z,12.0,181.0,18.0,18.0,171.0,45.0,74.0
2025-12-09T03:31:00Z,11.0,184.0,17.0,17.0,170.0,46.0,73.0
2025-12-09T04:31:00Z,12.0,174.0,17.0,17.0,189.0,47.0,73.0
2025-12-09T05:31:00Z,16.0,176.0,25.0,25.0,187.0,48.0,70.0
2025-12-09T06:31:00Z,14.01,170.0,25.0,25.0,167.0,49.0,68.0
2025-12-09T07:31:00Z,11.0,180.0,22.0,22.0,169.0,47.0,78.0
2025-12-09T08:31:00Z,12.0,166.0,19.0,19.0,174.0,47.0,80.0
2025-12-09T09:31:00Z,11.0,185.0,18.0,18.0,169.0,47.0,79.0
2025-12-09T10:31:00Z,9.0,192.0,14.99,14.99,174.0,47.0,81.0
2025-12-09T11:31:00Z,8.0,216.0,14.01,14.01,231.0,47.0,82.0
2025-12-09T12:31:00Z,4.0,224.0,14.99,14.99,221.0,47.0,79.0
2025-12-09T13:31:00Z,7.0,250.0,13.0,13.0,270.0,47.0,80.0
2025-12-09T14:31:00Z,8.0,268.0,17.0,17.0,254.0,47.0,62.0
2025-12-09T15:31:00Z,8.0,269.0,21.0,21.0,253.0,47.0,55.0
2025-12-09T16:31:00Z,2.0,213.0,17.0,17.0,241.0,45.0,59.0
2025-12-09T17:31:00Z,5.99,241.0,12.0,12.0,247.0,45.0,56.0
2025-12-09T18:31:00Z,8.0,262.0,13.0,13.0,253.0,47.0,51.0
2025-12-09T19:31:00Z,11.0,257.0,20.0,20.0,268.0,46.0,52.0
2025-12-09T20:31:00Z,7.0,274.0,18.0,18.0,240.0,47.0,49.0
2025-12-09T21:31:00Z,5.99,272.0,16.0,16.0,254.0,46.0,48.0
2025-12-09T22:31:00Z,3.0,260.0,14.01,14.01,249.0,46.0,49.0
2025-12-09T23:31:00Z,5.0,244.0,7.0,7.0,247.0,44.0,52.0
2025-12-10T00:31:00Z,3.0,134.0,7.0,7.0,197.0,39.0,68.0
2025-12-10T01:31:00Z,4.0,162.0,7.0,7.0,118.0,38.0,71.0
2025-12-10T02:31:00Z,2.0,143.0,5.99,5.99,162.0,36.0,74.0
2025-12-10T03:31:00Z,3.0,172.0,5.99,5.99,154.0,35.0,83.0
2025-12-10T04:31:00Z,0.0,97.0,5.99,5.99,138.0,34.0,87.0
2025-12-10T05:31:00Z,2.0,148.0,5.99,5.99,155.0,36.0,79.0
2025-12-10T06:31:00Z,1.0,96.0,4.0,4.0,81.0,35.0,85.0
2025-12-10T07:31:00Z,2.0,121.0,3.0,3.0,116.0,35.0,91.0
