datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2025-12-09T00:14:00Z,13.0,194.0,25.0,25.0,181.0,44.0,84.0
2025-12-09T01:14:00Z,5.99,213.0,14.99,14.99,189.0,42.0,98.0
2025-12-09T02:14:00Z,2.0,92.0,7.0,7.0,220.0,42.0,99.0
2025-12-09T03:14:00Z,1.0,157.0,5.0,5.0,53.0,43.0,97.0
2025-12-09T04:14:00Z,10.0,173.0,20.0,20.0,178.0,46.0,88.0
2025-12-09T05:14:00Z,12.0,177.0,21.0,21.0,185.0,48.0,77.0
2025-12-09T06:14:00Z,14.01,191.0,22.0,22.0,187.0,48.0,76.0
2025-12-09T07:14:00Z,8.0,217.0,16.0,16.0,189.0,47.0,85.0
2025-12-09T08:14:00Z,7.0,236.0,14.99,14.99,218.0,46.0,91.0
2025-12-09T09:14:00Z,8.0,227.0,17.0,17.0,233.0,46.0,94.0
2025-12-09T10:14:00Z,7.0,229.0,14.01,14.01,248.0,46.0,96.0
2025-12-09T11:14:00Z,7.0,224.0,14.01,14.01,250.0,45.0,98.0
2025-12-09T12:14:00Z,11.0,216.0,20.0,20.0,210.0,46.0,99.0
2025-12-09T13:14:00Z,13.0,217.0,24.0,24.0,194.0,45.0,100.0
2025-12-09T14:14:00Z,7.0,211.0,20.0,20.0,235.0,46.0,90.0
2025-12-09T15:14:00Z,4.0,338.0,24.0,24.0,246.0,45.0,99.0
2025-12-09T16:14:00Z,12.0,18.0,19.0,19.0,11.0,44.0,92.0
2025-12-09T17:14:00Z,5.0,164.0,21.0,21.0,17.0,43.0,94.0
2025-12-09T18:14:00Z,18.0,192.0,27.0,27.0,175.0,43.0,76.0
2025-12-09T19:14:00Z,11.0,191.0,27.0,27.0,172.0,44.0,65.0
2025-12-09T20:14:00Z,11.0,172.0,21.0,21.0,188.0,46.0,58.0
2025-12-09T21:14:00Z,10.0,212.0,22.0,22.0,217.0,47.0,53.0
2025-12-09T22:14:00Z,7.0,345.0,17.0,17.0,199.0,46.0,62.0
2025-12-09T23:14:00Z,3.0,258.0,11.0,11.0,348.0,45.0,63.0
2025-12-10T00:14:00Z,5.99,187.0,13.0,13.0,233.0,44.0,51.0
2025-12-10T01:14:00Z,5.0,185.0,11.0,11.0,216.0,41.0,59.0
