datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:00:00Z,1.8,328.0,,,
2024-07-23T01:00:00Z,1.8,348.0,,,
2024-07-23T02:00:00Z,1.35,333.0,,,
2024-07-23T03:00:00Z,1.12,299.0,,,
2024-07-23T04:00:00Z,1.35,237.0,,,
2024-07-23T05:00:00Z,1.57,30.0,,,
2024-07-23T06:00:00Z,1.57,277.0,,,
2024-07-23T07:00:00Z,1.57,313.0,,,
2024-07-23T08:00:00Z,1.57,226.0,,,
2024-07-23T09:00:00Z,1.57,263.0,,,
2024-07-23T10:00:00Z,1.12,89.0,,,
2024-07-23T11:00:00Z,0.9,218.0,,,
2024-07-23T12:00:00Z,0.67,236.0,,,
2024-07-23T13:00:00Z,0.9,219.0,,,
2024-07-23T14:00:00Z,1.12,250.0,,,
2024-07-23T15:00:00Z,1.12,232.0,,,
2024-07-23T16:00:00Z,1.12,172.0,,,
2024-07-23T17:00:00Z,1.35,352.0,,,
2024-07-23T18:00:00Z,1.57,217.0,,,
2024-07-23T19:00:00Z,1.57,33.0,,,
2024-07-23T20:00:00Z,2.46,291.0,,,
2024-07-23T21:00:00Z,1.8,26.0,,,
2024-07-23T22:00:00Z,2.01,356.0,,,
2024-07-23T23:00:00Z,2.01,4.0,,,
2024-07-24T00:00:00Z,4.48,258.0,,,
2024-07-24T01:00:00Z,4.25,242.0,,,
2024-07-24T02:00:00Z,2.91,280.0,,,
2024-07-24T03:00:00Z,1.57,310.0,,,
2024-07-24T04:00:00Z,0.9,48.0,,,
2024-07-24T05:00:00Z,0.9,89.0,,,
2024-07-24T06:00:00Z,0.9,81.0,,,
2024-07-24T07:00:00Z,0.9,29.0,,,
2024-07-24T08:00:00Z,0.9,348.0,,,
2024-07-24T09:00:00Z,0.9,218.0,,,
2024-07-24T10:00:00Z,1.12,334.0,,,
2024-07-24T11:00:00Z,0.9,215.0,,,
2024-07-24T12:00:00Z,0.9,102.0,,,
2024-07-24T13:00:00Z,1.12,232.0,,,
2024-07-24T14:00:00Z,1.35,233.0,,,
2024-07-24T15:00:00Z,1.35,231.0,,,
2024-07-24T16:00:00Z,1.12,251.0,,,
2024-07-24T17:00:00Z,1.35,204.0,,,
2024-07-24T18:00:00Z,1.8,131.0,,,
2024-07-24T19:00:00Z,1.12,31.0,,,
2024-07-24T20:00:00Z,1.35,344.0,,,
2024-07-24T21:00:00Z,1.57,45.0,,,
2024-07-24T22:00:00Z,2.23,237.0,,,
2024-07-24T23:00:00Z,2.23,335.0,,,
2024-07-25T00:00:00Z,1.8,331.0,,,
2024-07-25T01:00:00Z,1.8,333.0,,,
2024-07-25T02:00:00Z,1.8,348.0,,,
2024-07-25T03:00:00Z,,352.0,,,
2024-07-25T04:00:00Z,6.71,123.0,,,
2024-07-25T05:00:00Z,3.13,124.0,,,
2024-07-25T06:00:00Z,2.46,64.0,,,
2024-07-25T07:00:00Z,3.58,123.0,,,
2024-07-25T08:00:00Z,3.8,69.0,,,
2024-07-25T09:00:00Z,2.23,164.0,,,
2024-07-25T10:00:00Z,1.57,220.0,,,
2024-07-25T11:00:00Z,1.12,191.0,,,
2024-07-25T12:00:00Z,1.35,69.0,,,
2024-07-25T13:00:00Z,1.12,258.0,,,
2024-07-25T14:00:00Z,1.35,175.0,,,
2024-07-25T15:00:00Z,1.57,243.0,,,
2024-07-25T16:00:00Z,2.46,299.0,,,
2024-07-25T17:00:00Z,2.01,326.0,,,
2024-07-25T18:00:00Z,3.58,324.0,,,
2024-07-25T19:00:00Z,4.93,327.0,,,
2024-07-25T20:00:00Z,4.03,315.0,,,
2024-07-25T21:00:00Z,4.03,302.0,,,
2024-07-25T22:00:00Z,4.25,297.0,,,
2024-07-25T23:00:00Z,4.03,331.0,,,
