datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:01:00Z,2.0,38.0,5.99,5.99,94.0
2024-07-23T01:01:00Z,1.0,356.0,9.0,9.0,342.0
2024-07-23T02:01:00Z,0.0,,5.0,5.0,301.0
2024-07-23T03:01:00Z,0.0,,2.0,2.0,202.0
2024-07-23T04:01:00Z,1.0,177.0,5.99,5.99,214.0
2024-07-23T05:01:00Z,2.0,139.0,9.0,9.0,140.0
2024-07-23T06:01:00Z,1.0,106.0,7.0,7.0,146.0
2024-07-23T07:01:00Z,3.0,165.0,8.0,8.0,225.0
2024-07-23T08:01:00Z,1.0,123.0,9.0,9.0,180.0
2024-07-23T09:01:00Z,2.0,123.0,10.0,10.0,220.0
2024-07-23T10:01:00Z,1.0,308.0,5.99,5.99,87.0
2024-07-23T11:01:00Z,0.0,,2.0,2.0,166.0
2024-07-23T12:01:00Z,0.0,,2.0,2.0,182.0
2024-07-23T13:01:00Z,0.0,,2.0,2.0,199.0
2024-07-23T14:01:00Z,0.0,,2.0,2.0,320.0
2024-07-23T15:01:00Z,2.0,1.0,4.0,4.0,314.0
2024-07-23T16:01:00Z,2.0,45.0,5.0,5.0,315.0
2024-07-23T17:01:00Z,2.0,27.0,5.99,5.99,306.0
2024-07-23T18:01:00Z,2.0,64.0,5.99,5.99,324.0
2024-07-23T19:01:00Z,2.0,360.0,7.0,7.0,27.0
2024-07-23T20:01:00Z,2.0,1.0,7.0,7.0,338.0
2024-07-23T21:01:00Z,2.0,27.0,5.99,5.99,300.0
2024-07-23T22:01:00Z,2.0,318.0,9.0,9.0,330.0
2024-07-23T23:01:00Z,3.0,135.0,12.0,12.0,210.0
2024-07-24T00:01:00Z,2.0,109.0,9.0,9.0,149.0
2024-07-24T01:01:00Z,2.0,171.0,10.0,10.0,161.0
2024-07-24T02:01:00Z,1.0,263.0,5.99,5.99,93.0
2024-07-24T03:01:00Z,1.0,207.0,2.0,2.0,207.0
2024-07-24T04:01:00Z,0.0,,3.0,3.0,208.0
2024-07-24T05:01:00Z,1.0,188.0,3.0,3.0,175.0
2024-07-24T06:01:00Z,0.0,,2.0,2.0,178.0
2024-07-24T07:01:00Z,0.0,,2.0,2.0,238.0
2024-07-24T08:01:00Z,1.0,185.0,2.0,2.0,204.0
2024-07-24T09:01:00Z,1.0,166.0,3.0,3.0,158.0
2024-07-24T10:01:00Z,0.0,,3.0,3.0,156.0
2024-07-24T11:01:00Z,0.0,,2.0,2.0,179.0
2024-07-24T12:01:00Z,0.0,,2.0,2.0,183.0
2024-07-24T13:01:00Z,0.0,,2.0,2.0,340.0
2024-07-24T14:01:00Z,0.0,,3.0,3.0,328.0
2024-07-24T15:01:00Z,1.0,337.0,3.0,3.0,348.0
2024-07-24T16:01:00Z,2.0,11.0,5.0,5.0,317.0
2024-07-24T17:01:00Z,2.0,106.0,5.0,5.0,315.0
2024-07-24T18:01:00Z,2.0,105.0,5.99,5.99,114.0
2024-07-24T19:01:00Z,2.0,81.0,7.0,7.0,116.0
2024-07-24T20:01:00Z,1.0,226.0,5.99,5.99,33.0
2024-07-24T21:01:00Z,2.0,67.0,8.0,8.0,315.0
2024-07-24T22:01:00Z,2.0,346.0,7.0,7.0,309.0
2024-07-24T23:01:00Z,3.0,349.0,8.0,8.0,325.0
2024-07-25T00:01:00Z,2.0,1.0,7.0,7.0,317.0
2024-07-25T01:01:00Z,0.0,,5.99,5.99,330.0
2024-07-25T02:01:00Z,0.0,,3.0,3.0,344.0
2024-07-25T03:01:00Z,12.0,113.0,43.01,43.01,155.0
2024-07-25T04:01:00Z,3.0,305.0,22.0,22.0,99.0
2024-07-25T05:01:00Z,1.0,171.0,4.0,4.0,206.0
2024-07-25T06:01:00Z,0.0,,5.99,5.99,325.0
2024-07-25T07:01:00Z,1.0,158.0,5.0,5.0,163.0
2024-07-25T08:01:00Z,1.0,256.0,5.99,5.99,136.0
2024-07-25T09:01:00Z,0.0,,5.99,5.99,196.0
2024-07-25T10:01:00Z,0.0,,3.0,3.0,199.0
2024-07-25T11:01:00Z,1.0,175.0,3.0,3.0,149.0
2024-07-25T12:01:00Z,0.0,,3.0,3.0,287.0
2024-07-25T13:01:00Z,0.0,,2.0,2.0,179.0
2024-07-25T14:01:00Z,0.0,,2.0,2.0,153.0
2024-07-25T15:01:00Z,2.0,338.0,4.0,4.0,342.0
2024-07-25T16:01:00Z,2.0,359.0,7.0,7.0,312.0
2024-07-25T17:01:00Z,2.0,357.0,8.0,8.0,334.0
2024-07-25T18:01:00Z,2.0,25.0,10.0,10.0,353.0
2024-07-25T19:01:00Z,4.0,44.0,12.0,12.0,265.0
2024-07-25T20:01:00Z,4.0,337.0,16.0,16.0,3.0
2024-07-25T21:01:00Z,2.0,355.0,10.0,10.0,315.0
2024-07-25T22:01:00Z,2.0,41.0,7.0,7.0,160.0
2024-07-25T23:01:00Z,2.0,335.0,8.0,8.0,74.0
