datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:00:00Z,2.0,351.0,,,
2024-07-23T00:15:00Z,1.0,355.0,,,
2024-07-23T00:30:00Z,2.0,336.0,,,
2024-07-23T00:45:00Z,2.0,5.0,,,
2024-07-23T01:00:00Z,1.0,270.0,,,
2024-07-23T01:15:00Z,0.0,,,,
2024-07-23T01:30:00Z,0.0,,,,
2024-07-23T01:45:00Z,0.0,,,,
2024-07-23T02:00:00Z,0.0,,,,
2024-07-23T02:15:00Z,0.0,,,,
2024-07-23T02:30:00Z,0.0,,,,
2024-07-23T02:45:00Z,0.0,,,,
2024-07-23T03:00:00Z,1.0,126.0,,,
2024-07-23T03:15:00Z,5.0,123.0,,,
2024-07-23T03:30:00Z,5.0,120.0,,,
2024-07-23T03:45:00Z,2.0,106.0,,,
2024-07-23T04:00:00Z,2.0,121.0,,,
2024-07-23T04:15:00Z,4.0,127.0,,,
2024-07-23T04:30:00Z,4.0,131.0,,,
2024-07-23T04:45:00Z,4.0,130.0,,,
2024-07-23T05:00:00Z,2.0,130.0,,,
2024-07-23T05:15:00Z,2.0,108.0,,,
2024-07-23T05:30:00Z,1.0,111.0,,,
2024-07-23T05:45:00Z,3.0,109.0,,,
2024-07-23T06:00:00Z,2.0,80.0,,,
2024-07-23T06:15:00Z,3.0,98.0,,,
2024-07-23T06:30:00Z,4.0,144.0,,,
2024-07-23T06:45:00Z,3.0,114.0,,,
2024-07-23T07:00:00Z,2.0,76.0,,,
2024-07-23T07:15:00Z,3.0,74.0,,,
2024-07-23T07:30:00Z,3.0,78.0,,,
2024-07-23T07:45:00Z,3.0,65.0,,,
2024-07-23T08:00:00Z,1.0,49.0,,,
2024-07-23T08:15:00Z,0.0,,,,
2024-07-23T08:30:00Z,1.0,355.0,,,
2024-07-23T08:45:00Z,1.0,98.0,,,
2024-07-23T09:00:00Z,2.0,76.0,,,
2024-07-23T09:15:00Z,2.0,134.0,,,
2024-07-23T09:30:00Z,2.0,355.0,,,
2024-07-23T09:46:00Z,1.0,348.0,,,
2024-07-23T10:00:00Z,1.0,70.0,,,
2024-07-23T10:15:00Z,1.0,342.0,,,
2024-07-23T10:30:00Z,1.0,342.0,,,
2024-07-23T10:45:00Z,1.0,5.0,,,
2024-07-23T11:00:00Z,2.0,340.0,,,
2024-07-23T11:15:00Z,0.0,,,,
2024-07-23T11:30:00Z,2.0,355.0,,,
2024-07-23T11:45:00Z,3.0,355.0,,,
2024-07-23T12:00:00Z,2.0,355.0,,,
2024-07-23T12:15:00Z,1.0,355.0,,,
2024-07-23T12:30:00Z,2.0,355.0,,,
2024-07-23T12:45:00Z,0.0,,,,
2024-07-23T13:00:00Z,0.0,,,,
2024-07-23T13:15:00Z,3.0,346.0,,,
2024-07-23T13:30:00Z,1.0,349.0,,,
2024-07-23T13:45:00Z,0.0,,,,
2024-07-23T14:00:00Z,1.0,105.0,,,
2024-07-23T14:15:00Z,2.0,69.0,,,
2024-07-23T14:30:00Z,1.0,76.0,,,
2024-07-23T14:45:00Z,1.0,136.0,,,
2024-07-23T15:00:00Z,0.0,,,,
2024-07-23T15:15:00Z,0.0,,,,
2024-07-23T15:30:00Z,0.0,,,,
2024-07-23T15:46:00Z,0.0,,,,
