datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:00:00Z,4.0,332.0,5.0,,
2024-07-23T00:05:00Z,4.0,315.0,5.99,,
2024-07-23T00:10:00Z,7.0,9.0,8.0,,
2024-07-23T00:15:00Z,5.99,27.0,7.0,,
2024-07-23T00:20:00Z,5.0,6.0,7.0,,
2024-07-23T00:25:00Z,5.0,8.0,7.0,,
2024-07-23T00:30:00Z,4.0,273.0,5.0,,
2024-07-23T00:35:00Z,4.0,47.0,5.99,,
2024-07-23T00:40:00Z,2.0,108.0,3.0,,
2024-07-23T00:45:00Z,4.0,40.0,5.99,,
2024-07-23T00:50:00Z,3.0,7.0,5.0,,
2024-07-23T00:55:00Z,3.0,319.0,3.0,,
2024-07-23T01:01:00Z,4.0,17.0,5.0,,
2024-07-23T01:06:00Z,4.0,325.0,5.99,,
2024-07-23T01:11:00Z,1.0,310.0,2.0,,
2024-07-23T01:16:00Z,3.0,282.0,5.0,,
2024-07-23T01:21:00Z,3.0,12.0,3.0,,
2024-07-23T01:26:00Z,3.0,272.0,3.0,,
2024-07-23T01:31:00Z,1.0,267.0,1.0,,
2024-07-23T01:36:00Z,1.0,264.0,1.0,,
2024-07-23T01:41:00Z,0.0,,0.0,,
2024-07-23T01:46:00Z,1.0,250.0,2.0,,
2024-07-23T01:51:00Z,1.0,257.0,2.0,,
2024-07-23T01:56:00Z,0.0,,0.0,,
2024-07-23T02:01:00Z,0.0,,0.0,,
2024-07-23T02:06:00Z,0.0,,0.0,,
2024-07-23T02:11:00Z,0.0,,0.0,,
2024-07-23T02:16:00Z,0.0,,0.0,,
2024-07-23T02:21:00Z,0.0,,0.0,,
2024-07-23T02:26:00Z,0.0,,0.0,,
2024-07-23T02:31:00Z,0.0,,0.0,,
2024-07-23T02:36:00Z,0.0,,0.0,,
2024-07-23T02:41:00Z,0.0,,0.0,,
2024-07-23T02:46:00Z,1.0,230.0,1.0,,
2024-07-23T02:51:00Z,2.0,221.0,2.0,,
2024-07-23T02:56:00Z,1.0,213.0,2.0,,
2024-07-23T03:01:00Z,5.0,203.0,5.99,,
2024-07-23T03:06:00Z,0.0,,1.0,,
2024-07-23T03:11:00Z,4.0,206.0,5.0,,
2024-07-23T03:16:00Z,0.0,,0.0,,
2024-07-23T03:21:00Z,0.0,,1.0,,
2024-07-23T03:26:00Z,0.0,,0.0,,
2024-07-23T03:31:00Z,1.0,210.0,1.0,,
2024-07-23T03:36:00Z,0.0,,0.0,,
2024-07-23T03:41:00Z,0.0,,0.0,,
2024-07-23T03:46:00Z,0.0,,0.0,,
2024-07-23T03:51:00Z,0.0,,0.0,,
2024-07-23T03:56:00Z,0.0,,0.0,,
2024-07-23T04:01:00Z,0.0,,0.0,,
2024-07-23T04:07:00Z,0.0,,0.0,,
2024-07-23T04:12:00Z,2.0,216.0,3.0,,
2024-07-23T04:17:00Z,5.0,200.0,8.0,,
2024-07-23T04:22:00Z,3.0,199.0,3.0,,
2024-07-23T04:27:00Z,5.99,200.0,8.0,,
2024-07-23T04:32:00Z,1.0,231.0,1.0,,
2024-07-23T04:37:00Z,2.0,235.0,2.0,,
2024-07-23T04:42:00Z,2.0,232.0,2.0,,
2024-07-23T04:47:00Z,2.0,235.0,2.0,,
2024-07-23T04:52:00Z,1.0,244.0,1.0,,
2024-07-23T04:57:00Z,3.0,245.0,3.0,,
2024-07-23T05:02:00Z,1.0,241.0,1.0,,
2024-07-23T05:07:00Z,1.0,235.0,2.0,,
2024-07-23T05:12:00Z,0.0,,0.0,,
2024-07-23T05:17:00Z,2.0,221.0,2.0,,
2024-07-23T05:22:00Z,1.0,235.0,1.0,,
2024-07-23T05:27:00Z,3.0,186.0,5.0,,
2024-07-23T05:32:00Z,3.0,218.0,5.0,,
2024-07-23T05:37:00Z,2.0,150.0,3.0,,
2024-07-23T05:42:00Z,0.0,,1.0,,
2024-07-23T05:48:00Z,3.0,204.0,3.0,,
2024-07-23T05:53:00Z,1.0,211.0,1.0,,
2024-07-23T05:58:00Z,2.0,216.0,2.0,,
2024-07-23T06:03:00Z,1.0,224.0,2.0,,
2024-07-23T06:08:00Z,1.0,224.0,1.0,,
2024-07-23T06:13:00Z,5.99,233.0,8.0,,
2024-07-23T06:18:00Z,2.0,229.0,2.0,,
2024-07-23T06:23:00Z,1.0,220.0,1.0,,
2024-07-23T06:28:00Z,1.0,232.0,2.0,,
2024-07-23T06:33:00Z,0.0,,0.0,,
2024-07-23T06:38:00Z,4.0,230.0,5.0,,
2024-07-23T06:43:00Z,1.0,223.0,2.0,,
2024-07-23T06:48:00Z,2.0,234.0,2.0,,
2024-07-23T06:53:00Z,1.0,224.0,1.0,,
2024-07-23T06:58:00Z,0.0,,1.0,,
2024-07-23T07:03:00Z,0.0,,1.0,,
2024-07-23T07:08:00Z,0.0,,0.0,,
2024-07-23T07:13:00Z,2.0,227.0,2.0,,
2024-07-23T07:18:00Z,0.0,,0.0,,
2024-07-23T07:23:00Z,1.0,225.0,1.0,,
2024-07-23T07:28:00Z,0.0,,1.0,,
2024-07-23T07:33:00Z,0.0,,1.0,,
2024-07-23T07:39:00Z,0.0,,0.0,,
2024-07-23T07:44:00Z,4.0,215.0,5.99,,
2024-07-23T07:49:00Z,1.0,211.0,2.0,,
2024-07-23T07:54:00Z,1.0,235.0,1.0,,
2024-07-23T07:59:00Z,1.0,218.0,1.0,,
2024-07-23T08:04:00Z,1.0,232.0,1.0,,
2024-07-23T08:09:00Z,1.0,223.0,2.0,,
2024-07-23T08:14:00Z,0.0,,0.0,,
2024-07-23T08:19:00Z,2.0,53.0,2.0,,
2024-07-23T08:24:00Z,1.0,12.0,2.0,,
2024-07-23T08:29:00Z,1.0,132.0,1.0,,
2024-07-23T08:34:00Z,1.0,206.0,1.0,,
