datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:28:00Z,2.0,22.0,7.0,7.0,40.0
2024-07-23T01:28:00Z,2.0,17.0,7.0,7.0,51.0
2024-07-23T02:28:00Z,0.0,,3.0,3.0,355.0
2024-07-23T03:28:00Z,0.0,,2.0,2.0,276.0
2024-07-23T04:28:00Z,2.0,254.0,3.0,3.0,238.0
2024-07-23T05:28:00Z,2.0,271.0,5.0,5.0,274.0
2024-07-23T06:28:00Z,2.0,297.0,4.0,4.0,296.0
2024-07-23T07:28:00Z,3.0,266.0,5.0,5.0,294.0
2024-07-23T08:28:00Z,2.0,294.0,5.99,5.99,252.0
2024-07-23T09:28:00Z,2.0,274.0,5.0,5.0,297.0
2024-07-23T10:28:00Z,1.0,250.0,5.99,5.99,274.0
2024-07-23T11:28:00Z,4.0,215.0,5.99,5.99,227.0
2024-07-23T12:28:00Z,3.0,224.0,5.99,5.99,210.0
2024-07-23T13:28:00Z,2.0,230.0,3.0,3.0,226.0
2024-07-23T14:28:00Z,0.0,,3.0,3.0,226.0
2024-07-23T15:28:00Z,1.0,179.0,4.0,4.0,202.0
2024-07-23T16:28:00Z,1.0,45.0,4.0,4.0,152.0
2024-07-23T17:28:00Z,3.0,200.0,7.0,7.0,200.0
2024-07-23T18:28:00Z,2.0,192.0,8.0,8.0,167.0
2024-07-23T19:28:00Z,2.0,183.0,7.0,7.0,175.0
2024-07-23T20:28:00Z,2.0,201.0,8.0,8.0,214.0
2024-07-23T21:28:00Z,2.0,221.0,8.0,8.0,177.0
2024-07-23T22:28:00Z,3.0,207.0,13.0,13.0,179.0
2024-07-23T23:28:00Z,4.0,226.0,10.0,10.0,192.0
2024-07-24T00:28:00Z,5.0,210.0,10.0,10.0,219.0
2024-07-24T01:28:00Z,3.0,232.0,7.0,7.0,200.0
2024-07-24T02:28:00Z,2.0,241.0,5.99,5.99,211.0
2024-07-24T03:28:00Z,2.0,274.0,4.0,4.0,287.0
2024-07-24T04:28:00Z,0.0,,3.0,3.0,294.0
2024-07-24T05:28:00Z,0.0,,2.0,2.0,351.0
2024-07-24T06:28:00Z,1.0,331.0,3.0,3.0,352.0
2024-07-24T07:28:00Z,0.0,,4.0,4.0,341.0
2024-07-24T08:28:00Z,1.0,284.0,2.0,2.0,268.0
2024-07-24T09:28:00Z,1.0,295.0,3.0,3.0,278.0
2024-07-24T10:28:00Z,1.0,307.0,3.0,3.0,241.0
2024-07-24T11:28:00Z,1.0,297.0,3.0,3.0,309.0
2024-07-24T12:28:00Z,4.0,208.0,7.0,7.0,196.0
2024-07-24T13:28:00Z,3.0,220.0,7.0,7.0,200.0
2024-07-24T14:28:00Z,3.0,213.0,5.99,5.99,229.0
2024-07-24T15:28:00Z,4.0,205.0,5.99,5.99,205.0
2024-07-24T16:28:00Z,5.0,211.0,8.0,8.0,223.0
2024-07-24T17:28:00Z,4.0,190.0,9.0,9.0,186.0
2024-07-24T18:28:00Z,2.0,198.0,9.0,9.0,164.0
2024-07-24T19:28:00Z,2.0,171.0,5.99,5.99,244.0
2024-07-24T20:28:00Z,2.0,228.0,7.0,7.0,170.0
2024-07-24T21:28:00Z,4.0,204.0,8.0,8.0,196.0
2024-07-24T22:28:00Z,3.0,180.0,8.0,8.0,161.0
2024-07-24T23:28:00Z,3.0,19.0,9.0,9.0,28.0
2024-07-25T00:28:00Z,2.0,214.0,5.99,5.99,256.0
2024-07-25T01:28:00Z,0.0,,4.0,4.0,147.0
2024-07-25T02:28:00Z,0.0,,3.0,3.0,282.0
2024-07-25T03:28:00Z,9.0,220.0,32.0,32.0,208.0
2024-07-25T04:28:00Z,1.0,305.0,12.0,12.0,194.0
2024-07-25T05:28:00Z,3.0,226.0,5.99,5.99,215.0
2024-07-25T06:28:00Z,2.0,259.0,8.0,8.0,195.0
2024-07-25T07:28:00Z,1.0,239.0,10.0,10.0,217.0
2024-07-25T08:28:00Z,3.0,213.0,5.0,5.0,195.0
2024-07-25T09:28:00Z,2.0,233.0,5.0,5.0,208.0
2024-07-25T10:28:00Z,3.0,217.0,5.99,5.99,236.0
2024-07-25T11:28:00Z,4.0,219.0,7.0,7.0,202.0
2024-07-25T12:28:00Z,3.0,230.0,7.0,7.0,225.0
2024-07-25T13:28:00Z,3.0,213.0,5.99,5.99,182.0
2024-07-25T14:28:00Z,3.0,207.0,5.99,5.99,223.0
2024-07-25T15:28:00Z,4.0,191.0,5.99,5.99,231.0
2024-07-25T16:28:00Z,2.0,245.0,7.0,7.0,195.0
2024-07-25T17:28:00Z,3.0,230.0,7.0,7.0,217.0
2024-07-25T18:28:00Z,4.0,241.0,10.0,10.0,196.0
2024-07-25T19:28:00Z,3.0,239.0,8.0,8.0,287.0
2024-07-25T20:28:00Z,4.0,166.0,10.0,10.0,163.0
2024-07-25T21:28:00Z,2.0,204.0,13.0,13.0,205.0
2024-07-25T22:28:00Z,3.0,195.0,13.0,13.0,211.0
2024-07-25T23:28:00Z,3.0,183.0,11.0,11.0,201.0
