datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:00:00Z,9.21,360.0,,,
2024-07-23T00:05:00Z,9.21,10.0,,,
2024-07-23T00:10:00Z,11.51,10.0,,,
2024-07-23T00:15:00Z,9.21,360.0,,,
2024-07-23T00:20:00Z,8.06,350.0,,,
2024-07-23T00:25:00Z,9.21,350.0,,,
2024-07-23T00:30:00Z,8.06,20.0,,,
2024-07-23T00:35:00Z,6.91,330.0,,,
2024-07-23T00:40:00Z,3.45,340.0,,,
2024-07-23T00:45:00Z,6.91,340.0,,,
2024-07-23T00:50:00Z,11.51,360.0,,,
2024-07-23T00:53:00Z,12.66,20.0,,,
2024-07-23T00:55:00Z,11.51,10.0,,,
2024-07-23T01:00:00Z,11.51,10.0,,,
2024-07-23T01:05:00Z,10.36,10.0,,,
2024-07-23T01:10:00Z,9.21,10.0,,,
2024-07-23T01:15:00Z,9.21,10.0,,,
2024-07-23T01:20:00Z,9.21,360.0,,,
2024-07-23T01:25:00Z,8.06,10.0,,,
2024-07-23T01:30:00Z,9.21,10.0,,,
2024-07-23T01:35:00Z,6.91,360.0,,,
2024-07-23T01:40:00Z,6.91,360.0,,,
2024-07-23T01:45:00Z,6.91,360.0,,,
2024-07-23T01:50:00Z,5.75,360.0,,,
2024-07-23T01:53:00Z,6.91,350.0,,,
2024-07-23T01:55:00Z,5.75,350.0,,,
2024-07-23T02:00:00Z,6.91,350.0,,,
2024-07-23T02:05:00Z,5.75,350.0,,,
2024-07-23T02:10:00Z,5.75,340.0,,,
2024-07-23T02:15:00Z,5.75,340.0,,,
2024-07-23T02:20:00Z,4.6,360.0,,,
2024-07-23T02:25:00Z,4.6,350.0,,,
2024-07-23T02:30:00Z,5.75,10.0,,,
2024-07-23T02:35:00Z,4.6,20.0,,,
2024-07-23T02:40:00Z,4.6,10.0,,,
2024-07-23T02:45:00Z,4.6,360.0,,,
2024-07-23T02:50:00Z,4.6,20.0,,,
2024-07-23T02:53:00Z,4.6,20.0,,,
2024-07-23T02:55:00Z,4.6,10.0,,,
2024-07-23T03:00:00Z,5.75,340.0,,,
2024-07-23T03:05:00Z,5.75,350.0,,,
2024-07-23T03:10:00Z,4.6,340.0,,,
2024-07-23T03:15:00Z,4.6,260.0,,,
2024-07-23T03:20:00Z,4.6,280.0,,,
2024-07-23T03:25:00Z,3.45,280.0,,,
2024-07-23T03:30:00Z,,,,,
2024-07-23T03:35:00Z,9.21,90.0,,,
2024-07-23T03:40:00Z,13.81,100.0,20.71,,
2024-07-23T03:45:00Z,16.11,90.0,,,
2024-07-23T03:50:00Z,13.81,100.0,,,
2024-07-23T03:53:00Z,12.66,110.0,,,
2024-07-23T03:55:00Z,12.66,110.0,,,
2024-07-23T04:00:00Z,13.81,110.0,,,
2024-07-23T04:05:00Z,10.36,140.0,,,
2024-07-23T04:10:00Z,11.51,130.0,,,
2024-07-23T04:15:00Z,11.51,130.0,,,
2024-07-23T04:20:00Z,11.51,140.0,,,
2024-07-23T04:25:00Z,11.51,150.0,,,
2024-07-23T04:30:00Z,12.66,150.0,,,
2024-07-23T04:35:00Z,13.81,150.0,,,
2024-07-23T04:40:00Z,16.11,150.0,,,
2024-07-23T04:45:00Z,16.11,130.0,,,
2024-07-23T04:50:00Z,14.96,110.0,,,
2024-07-23T04:53:00Z,14.96,100.0,,,
2024-07-23T04:55:00Z,12.66,100.0,,,
2024-07-23T05:00:00Z,13.81,90.0,,,
2024-07-23T05:05:00Z,18.41,100.0,24.17,,
2024-07-23T05:10:00Z,14.96,110.0,,,
2024-07-23T05:15:00Z,11.51,150.0,,,
2024-07-23T05:20:00Z,13.81,150.0,,,
2024-07-23T05:25:00Z,12.66,140.0,,,
2024-07-23T05:30:00Z,11.51,100.0,,,
2024-07-23T05:35:00Z,11.51,160.0,,,
2024-07-23T05:40:00Z,12.66,160.0,,,
2024-07-23T05:45:00Z,12.66,160.0,,,
2024-07-23T05:50:00Z,10.36,150.0,,,
2024-07-23T05:53:00Z,10.36,150.0,,,
2024-07-23T05:55:00Z,9.21,160.0,,,
2024-07-23T06:00:00Z,11.51,160.0,,,
2024-07-23T06:05:00Z,11.51,180.0,,,
2024-07-23T06:10:00Z,9.21,160.0,,,
2024-07-23T06:15:00Z,8.06,140.0,,,
2024-07-23T06:20:00Z,6.91,150.0,,,
2024-07-23T06:25:00Z,9.21,150.0,,,
2024-07-23T06:30:00Z,10.36,150.0,,,
2024-07-23T06:35:00Z,9.21,140.0,,,
2024-07-23T06:40:00Z,9.21,160.0,,,
2024-07-23T06:45:00Z,9.21,150.0,,,
2024-07-23T06:50:00Z,9.21,140.0,,,
2024-07-23T06:53:00Z,8.06,120.0,,,
2024-07-23T06:55:00Z,8.06,140.0,,,
2024-07-23T07:00:00Z,8.06,120.0,,,
2024-07-23T07:05:00Z,9.21,120.0,,,
2024-07-23T07:10:00Z,11.51,120.0,,,
2024-07-23T07:15:00Z,11.51,130.0,,,
2024-07-23T07:20:00Z,13.81,130.0,,,
2024-07-23T07:25:00Z,12.66,140.0,,,
2024-07-23T07:30:00Z,13.81,150.0,,,
