datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:26:00Z,8.0,151.0,14.99,14.99,163.0
2024-07-23T01:26:00Z,2.0,255.0,20.0,20.0,176.0
2024-07-23T02:26:00Z,0.0,,5.99,5.99,244.0
2024-07-23T03:26:00Z,1.0,251.0,4.0,4.0,227.0
2024-07-23T04:26:00Z,0.0,,0.0,0.0,255.0
2024-07-23T05:26:00Z,1.0,260.0,5.0,5.0,292.0
2024-07-23T06:26:00Z,0.0,,5.99,5.99,284.0
2024-07-23T07:26:00Z,3.0,274.0,12.0,12.0,142.0
2024-07-23T08:26:00Z,5.0,198.0,20.0,20.0,154.0
2024-07-23T09:26:00Z,2.0,232.0,16.0,16.0,132.0
2024-07-23T10:26:00Z,0.0,,4.0,4.0,234.0
2024-07-23T11:26:00Z,0.0,,0.0,0.0,244.0
2024-07-23T12:26:00Z,0.0,,0.0,0.0,253.0
2024-07-23T13:26:00Z,0.0,,3.0,3.0,234.0
2024-07-23T14:26:00Z,0.0,,0.0,0.0,259.0
2024-07-23T15:26:00Z,0.0,,0.0,0.0,229.0
2024-07-23T16:26:00Z,2.0,221.0,5.99,5.99,204.0
2024-07-23T17:26:00Z,3.0,172.0,5.99,5.99,171.0
2024-07-23T18:26:00Z,4.0,190.0,10.0,10.0,135.0
2024-07-23T19:26:00Z,5.0,162.0,10.0,10.0,67.0
2024-07-23T20:26:00Z,4.0,167.0,11.0,11.0,138.0
2024-07-23T21:26:00Z,4.0,161.0,12.0,12.0,96.0
2024-07-23T22:26:00Z,8.0,227.0,19.0,19.0,209.0
2024-07-23T23:26:00Z,11.0,205.0,21.0,21.0,223.0
2024-07-24T00:26:00Z,8.0,219.0,19.0,19.0,188.0
2024-07-24T01:26:00Z,7.0,238.0,19.0,19.0,215.0
2024-07-24T02:26:00Z,4.0,239.0,14.99,14.99,221.0
2024-07-24T03:26:00Z,4.0,253.0,14.99,14.99,227.0
2024-07-24T04:26:00Z,3.0,247.0,14.99,14.99,227.0
2024-07-24T05:26:00Z,0.0,,5.99,5.99,232.0
2024-07-24T06:26:00Z,0.0,,4.0,4.0,260.0
2024-07-24T07:26:00Z,2.0,251.0,4.0,4.0,233.0
2024-07-24T08:26:00Z,0.0,,5.0,5.0,260.0
2024-07-24T09:26:00Z,0.0,,0.0,0.0,257.0
2024-07-24T10:26:00Z,0.0,,0.0,0.0,255.0
2024-07-24T11:26:00Z,0.0,,0.0,0.0,254.0
2024-07-24T12:26:00Z,0.0,,0.0,0.0,255.0
2024-07-24T13:26:00Z,0.0,,0.0,0.0,256.0
2024-07-24T14:26:00Z,0.0,,0.0,0.0,275.0
2024-07-24T15:26:00Z,0.0,,0.0,0.0,247.0
2024-07-24T16:26:00Z,0.0,,0.0,0.0,214.0
2024-07-24T17:26:00Z,1.0,217.0,5.0,5.0,210.0
2024-07-24T18:26:00Z,2.0,221.0,7.0,7.0,109.0
2024-07-24T19:26:00Z,3.0,217.0,7.0,7.0,109.0
2024-07-24T20:26:00Z,5.0,154.0,10.0,10.0,115.0
2024-07-24T21:26:00Z,4.0,170.0,11.0,11.0,124.0
2024-07-24T22:26:00Z,4.0,184.0,10.0,10.0,121.0
2024-07-24T23:26:00Z,3.0,223.0,9.0,9.0,117.0
2024-07-25T00:26:00Z,4.0,234.0,16.0,16.0,232.0
2024-07-25T01:26:00Z,3.0,229.0,13.0,13.0,239.0
2024-07-25T02:26:00Z,3.0,257.0,14.99,14.99,191.0
2024-07-25T03:26:00Z,1.0,251.0,7.0,7.0,265.0
2024-07-25T04:26:00Z,9.0,232.0,72.0,72.0,193.0
2024-07-25T05:26:00Z,0.0,,13.0,13.0,244.0
2024-07-25T06:26:00Z,0.0,,10.0,10.0,322.0
2024-07-25T07:26:00Z,0.0,,5.0,5.0,284.0
2024-07-25T08:26:00Z,3.0,255.0,21.0,21.0,156.0
2024-07-25T09:26:00Z,1.0,246.0,14.99,14.99,52.0
2024-07-25T10:26:00Z,0.0,,4.0,4.0,269.0
2024-07-25T11:26:00Z,0.0,,5.0,5.0,170.0
2024-07-25T12:26:00Z,0.0,,7.0,7.0,225.0
2024-07-25T13:26:00Z,0.0,,9.0,9.0,295.0
2024-07-25T14:26:00Z,2.0,239.0,9.0,9.0,314.0
2024-07-25T15:26:00Z,2.0,243.0,5.99,5.99,217.0
2024-07-25T16:26:00Z,2.0,206.0,7.0,7.0,346.0
2024-07-25T17:26:00Z,2.0,208.0,12.0,12.0,232.0
2024-07-25T18:26:00Z,3.0,246.0,19.0,19.0,279.0
2024-07-25T19:26:00Z,5.0,249.0,18.0,18.0,231.0
2024-07-25T20:26:00Z,9.0,252.0,24.0,24.0,232.0
2024-07-25T21:26:00Z,9.0,229.0,25.0,25.0,280.0
2024-07-25T22:26:00Z,5.99,250.0,23.0,23.0,235.0
2024-07-25T23:26:00Z,4.0,239.0,13.0,13.0,282.0
