datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:46:00Z,0.0,,9.0,9.0,182.0
2024-07-23T01:46:00Z,1.0,345.0,5.0,5.0,33.0
2024-07-23T02:46:00Z,2.0,60.0,12.0,12.0,30.0
2024-07-23T03:46:00Z,2.0,12.0,7.0,7.0,13.0
2024-07-23T04:46:00Z,1.0,279.0,5.0,5.0,280.0
2024-07-23T05:46:00Z,0.0,,4.0,4.0,118.0
2024-07-23T06:46:00Z,1.0,307.0,4.0,4.0,8.0
2024-07-23T07:46:00Z,0.0,,3.0,3.0,1.0
2024-07-23T08:46:00Z,0.0,,2.0,2.0,339.0
2024-07-23T09:46:00Z,0.0,,2.0,2.0,271.0
2024-07-23T10:46:00Z,0.0,,1.0,1.0,2.0
2024-07-23T11:46:00Z,0.0,,0.0,0.0,15.0
2024-07-23T12:46:00Z,0.0,,2.0,2.0,15.0
2024-07-23T13:46:00Z,0.0,,2.0,2.0,20.0
2024-07-23T14:46:00Z,1.0,125.0,3.0,3.0,186.0
2024-07-23T15:46:00Z,1.0,115.0,4.0,4.0,128.0
2024-07-23T16:46:00Z,1.0,119.0,4.0,4.0,114.0
2024-07-23T17:46:00Z,2.0,132.0,5.0,5.0,98.0
2024-07-23T18:46:00Z,2.0,168.0,10.0,10.0,156.0
2024-07-23T19:46:00Z,3.0,125.0,9.0,9.0,275.0
2024-07-23T20:46:00Z,3.0,189.0,14.01,14.01,153.0
2024-07-23T21:46:00Z,3.0,153.0,13.0,13.0,149.0
2024-07-23T22:46:00Z,3.0,153.0,14.01,14.01,195.0
2024-07-23T23:46:00Z,3.0,180.0,11.0,11.0,221.0
2024-07-24T00:46:00Z,1.0,193.0,10.0,10.0,196.0
2024-07-24T01:46:00Z,2.0,219.0,9.0,9.0,197.0
2024-07-24T02:46:00Z,0.0,,5.99,5.99,61.0
2024-07-24T03:46:00Z,1.0,323.0,4.0,4.0,349.0
2024-07-24T04:46:00Z,0.0,,5.99,5.99,38.0
2024-07-24T05:46:00Z,0.0,,3.0,3.0,340.0
2024-07-24T06:46:00Z,0.0,,2.0,2.0,344.0
2024-07-24T07:46:00Z,1.0,283.0,2.0,2.0,250.0
2024-07-24T08:46:00Z,0.0,,2.0,2.0,347.0
2024-07-24T09:46:00Z,0.0,,2.0,2.0,232.0
2024-07-24T10:46:00Z,0.0,,2.0,2.0,345.0
2024-07-24T11:46:00Z,0.0,,1.0,1.0,235.0
2024-07-24T12:46:00Z,1.0,46.0,2.0,2.0,22.0
2024-07-24T13:46:00Z,0.0,,2.0,2.0,229.0
2024-07-24T14:46:00Z,1.0,95.0,3.0,3.0,26.0
2024-07-24T15:46:00Z,2.0,129.0,4.0,4.0,128.0
2024-07-24T16:46:00Z,2.0,143.0,5.0,5.0,221.0
2024-07-24T17:46:00Z,2.0,139.0,5.0,5.0,167.0
2024-07-24T18:46:00Z,2.0,103.0,5.99,5.99,165.0
2024-07-24T19:46:00Z,2.0,358.0,7.0,7.0,333.0
2024-07-24T20:46:00Z,2.0,18.0,10.0,10.0,348.0
2024-07-24T21:46:00Z,3.0,188.0,9.0,9.0,170.0
2024-07-24T22:46:00Z,2.0,20.0,10.0,10.0,149.0
2024-07-24T23:46:00Z,2.0,173.0,9.0,9.0,224.0
2024-07-25T00:46:00Z,2.0,224.0,9.0,9.0,178.0
2024-07-25T01:46:00Z,1.0,71.0,5.99,5.99,38.0
2024-07-25T02:46:00Z,2.0,23.0,4.0,4.0,38.0
2024-07-25T03:46:00Z,2.0,5.0,32.0,32.0,168.0
2024-07-25T04:46:00Z,2.0,360.0,12.0,12.0,229.0
2024-07-25T05:46:00Z,2.0,245.0,4.0,4.0,21.0
2024-07-25T06:46:00Z,0.0,,3.0,3.0,26.0
2024-07-25T07:46:00Z,1.0,324.0,4.0,4.0,269.0
2024-07-25T08:46:00Z,1.0,352.0,4.0,4.0,275.0
2024-07-25T09:46:00Z,0.0,,2.0,2.0,175.0
2024-07-25T10:46:00Z,0.0,,2.0,2.0,33.0
2024-07-25T11:46:00Z,0.0,,3.0,3.0,283.0
2024-07-25T12:46:00Z,0.0,,2.0,2.0,0.0
2024-07-25T13:46:00Z,0.0,,2.0,2.0,1.0
2024-07-25T14:46:00Z,1.0,198.0,2.0,2.0,178.0
2024-07-25T15:46:00Z,1.0,167.0,4.0,4.0,240.0
2024-07-25T16:46:00Z,2.0,137.0,5.0,5.0,116.0
2024-07-25T17:46:00Z,2.0,166.0,5.0,5.0,186.0
2024-07-25T18:46:00Z,4.0,172.0,10.0,10.0,191.0
2024-07-25T19:46:00Z,4.0,169.0,11.0,11.0,164.0
2024-07-25T20:46:00Z,4.0,174.0,14.01,14.01,103.0
2024-07-25T21:46:00Z,3.0,166.0,14.01,14.01,184.0
2024-07-25T22:46:00Z,3.0,146.0,14.01,14.01,174.0
2024-07-25T23:46:00Z,2.0,31.0,12.0,12.0,173.0
