datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:00:00Z,4.1,116.0,7.51,,
2024-07-23T00:15:00Z,4.2,129.0,8.55,,
2024-07-23T00:30:00Z,3.36,120.0,7.85,,
2024-07-23T00:45:00Z,3.67,126.0,6.8,,
2024-07-23T01:00:00Z,3.18,129.0,4.88,,
2024-07-23T01:15:00Z,3.6,140.0,4.72,,
2024-07-23T01:30:00Z,3.04,137.0,4.29,,
2024-07-23T01:45:00Z,2.66,139.0,4.6,,
2024-07-23T02:00:00Z,2.37,142.0,3.62,,
2024-07-23T02:15:00Z,2.42,142.0,3.34,,
2024-07-23T02:30:00Z,2.44,135.0,3.29,,
2024-07-23T02:45:00Z,2.13,128.0,2.75,,
2024-07-23T03:00:00Z,2.25,109.0,5.39,,
2024-07-23T03:15:00Z,2.23,141.0,3.87,,
2024-07-23T03:30:00Z,2.06,150.0,3.8,,
2024-07-23T03:45:00Z,1.75,153.0,3.18,,
2024-07-23T04:00:00Z,2.01,145.0,3.89,,
2024-07-23T04:15:00Z,1.9,134.0,3.25,,
2024-07-23T04:30:00Z,2.06,155.0,4.36,,
2024-07-23T04:45:00Z,1.75,159.0,3.91,,
2024-07-23T05:00:00Z,2.01,142.0,3.29,,
2024-07-23T05:15:00Z,1.9,154.0,3.29,,
2024-07-23T05:30:00Z,1.73,132.0,5.31,,
2024-07-23T05:45:00Z,1.81,142.0,4.34,,
2024-07-23T06:00:00Z,1.94,173.0,4.41,,
2024-07-23T06:15:00Z,1.73,161.0,3.36,,
2024-07-23T06:30:00Z,1.77,134.0,3.6,,
2024-07-23T06:45:00Z,1.32,137.0,3.72,,
2024-07-23T07:00:00Z,1.75,131.0,2.77,,
2024-07-23T07:15:00Z,1.7,144.0,2.91,,
2024-07-23T07:30:00Z,1.61,129.0,3.38,,
2024-07-23T07:45:00Z,1.52,124.0,2.64,,
2024-07-23T08:00:00Z,1.23,102.0,2.23,,
2024-07-23T08:15:00Z,1.4,99.0,2.8,,
2024-07-23T08:30:00Z,1.43,96.0,2.49,,
2024-07-23T08:45:00Z,1.39,88.0,2.51,,
2024-07-23T09:00:00Z,1.12,105.0,2.64,,
2024-07-23T09:15:00Z,1.61,162.0,6.16,,
2024-07-23T09:30:00Z,2.21,166.0,6.89,,
2024-07-23T09:45:00Z,5.1,178.0,12.26,,
2024-07-23T10:00:00Z,4.55,173.0,8.86,,
2024-07-23T10:15:00Z,4.1,169.0,10.0,,
2024-07-23T10:30:00Z,5.24,174.0,11.59,,
2024-07-23T10:45:00Z,3.46,171.0,8.41,,
2024-07-23T11:00:00Z,1.9,151.0,8.72,,
2024-07-23T11:15:00Z,1.81,74.0,5.12,,
2024-07-23T11:30:00Z,1.9,146.0,5.1,,
2024-07-23T11:45:00Z,1.3,110.0,4.93,,
2024-07-23T12:00:00Z,1.19,118.0,2.98,,
2024-07-23T12:15:00Z,1.77,63.0,4.14,,
2024-07-23T12:30:00Z,1.4,66.0,3.02,,
2024-07-23T12:45:00Z,1.37,145.0,4.63,,
2024-07-23T13:00:00Z,1.19,107.0,3.08,,
2024-07-23T13:15:00Z,1.02,132.0,2.46,,
2024-07-23T13:30:00Z,1.32,100.0,3.69,,
2024-07-23T13:45:00Z,1.4,150.0,3.51,,
2024-07-23T14:00:00Z,1.75,135.0,3.69,,
2024-07-23T14:15:00Z,1.19,115.0,2.93,,
2024-07-23T14:30:00Z,1.32,165.0,2.93,,
2024-07-23T14:45:00Z,2.53,149.0,5.12,,
2024-07-23T15:00:00Z,2.7,125.0,4.88,,
2024-07-23T15:15:00Z,2.28,126.0,3.13,,
2024-07-23T15:30:00Z,2.37,107.0,4.48,,
2024-07-23T15:45:00Z,2.35,107.0,3.8,,
2024-07-23T16:00:00Z,2.89,94.0,8.86,,
2024-07-23T16:15:00Z,3.6,90.0,6.69,,
2024-07-23T16:30:00Z,2.98,77.0,5.93,,
2024-07-23T16:45:00Z,3.38,87.0,5.75,,
2024-07-23T17:00:00Z,3.49,87.0,6.44,,
2024-07-23T17:15:00Z,3.76,89.0,7.58,,
2024-07-23T17:30:00Z,4.18,96.0,7.34,,
2024-07-23T17:45:00Z,4.38,97.0,7.74,,
2024-07-23T18:00:00Z,3.84,82.0,7.87,,
2024-07-23T18:15:00Z,4.12,94.0,8.32,,
2024-07-23T18:30:00Z,3.46,82.0,6.73,,
2024-07-23T18:45:00Z,3.98,93.0,9.57,,
2024-07-23T19:00:00Z,3.82,84.0,8.32,,
2024-07-23T19:15:00Z,3.38,116.0,6.66,,
2024-07-23T19:30:00Z,3.72,73.0,7.23,,
2024-07-23T19:45:00Z,4.34,102.0,7.23,,
2024-07-23T20:00:00Z,3.87,82.0,6.51,,
2024-07-23T20:15:00Z,3.72,68.0,6.47,,
2024-07-23T20:30:00Z,4.27,91.0,13.24,,
2024-07-23T20:45:00Z,4.2,101.0,6.78,,
2024-07-23T21:00:00Z,4.72,115.0,10.29,,
2024-07-23T21:15:00Z,4.93,100.0,12.75,,
2024-07-23T21:30:00Z,4.17,146.0,9.55,,
2024-07-23T21:45:00Z,4.07,136.0,12.61,,
2024-07-23T22:00:00Z,4.48,105.0,14.48,,
2024-07-23T22:15:00Z,4.83,90.0,11.66,,
2024-07-23T22:30:00Z,5.45,132.0,16.85,,
2024-07-23T22:45:00Z,4.52,144.0,15.28,,
2024-07-23T23:00:00Z,4.14,141.0,15.21,,
2024-07-23T23:15:00Z,4.29,125.0,12.13,,
2024-07-23T23:30:00Z,4.36,123.0,10.87,,
2024-07-23T23:45:00Z,4.45,119.0,13.78,,
2024-07-24T00:00:00Z,4.48,109.0,19.35,,
2024-07-24T00:15:00Z,4.05,102.0,15.88,,
2024-07-24T00:30:00Z,4.5,142.0,11.47,,
2024-07-24T00:45:00Z,3.69,116.0,9.71,,
2024-07-24T01:00:00Z,4.17,117.0,13.39,,
2024-07-24T01:15:00Z,3.74,132.0,8.53,,
2024-07-24T01:30:00Z,3.76,123.0,8.72,,
2024-07-24T01:45:00Z,2.98,129.0,7.8,,
2024-07-24T02:00:00Z,2.89,125.0,6.11,,
2024-07-24T02:15:00Z,2.55,123.0,5.33,,
2024-07-24T02:30:00Z,2.28,138.0,3.82,,
2024-07-24T02:45:00Z,2.39,138.0,3.89,,
2024-07-24T03:00:00Z,2.44,125.0,5.35,,
2024-07-24T03:15:00Z,1.8,113.0,3.2,,
2024-07-24T03:30:00Z,1.94,123.0,3.49,,
2024-07-24T03:45:00Z,1.77,107.0,2.91,,
2024-07-24T04:00:00Z,2.04,133.0,3.42,,
2024-07-24T04:15:00Z,1.85,136.0,3.13,,
2024-07-24T04:30:00Z,1.43,101.0,2.46,,
2024-07-24T04:45:00Z,2.25,154.0,5.01,,
2024-07-24T05:00:00Z,2.32,141.0,4.52,,
2024-07-24T05:15:00Z,1.59,111.0,2.98,,
2024-07-24T05:30:00Z,1.47,87.0,2.89,,
2024-07-24T05:45:00Z,1.59,174.0,4.93,,
2024-07-24T06:00:00Z,3.84,162.0,7.77,,
2024-07-24T06:15:00Z,4.2,165.0,7.67,,
2024-07-24T06:30:00Z,4.1,176.0,8.06,,
2024-07-24T06:45:00Z,4.34,182.0,7.96,,
2024-07-24T07:00:00Z,4.58,181.0,10.07,,
2024-07-24T07:15:00Z,4.5,176.0,9.89,,
2024-07-24T07:30:00Z,3.69,183.0,10.16,,
2024-07-24T07:45:00Z,1.73,76.0,5.17,,
2024-07-24T08:00:00Z,1.83,109.0,5.05,,
2024-07-24T08:15:00Z,3.38,180.0,6.26,,
2024-07-24T08:30:00Z,2.17,138.0,5.93,,
2024-07-24T08:45:00Z,1.83,59.0,3.08,,
2024-07-24T09:00:00Z,1.25,105.0,4.17,,
2024-07-24T09:15:00Z,1.09,142.0,2.98,,
2024-07-24T09:30:00Z,1.47,150.0,4.36,,
2024-07-24T09:45:00Z,1.81,153.0,5.57,,
2024-07-24T10:00:00Z,1.19,119.0,2.84,,
2024-07-24T10:15:00Z,3.74,174.0,10.33,,
2024-07-24T10:30:00Z,1.47,48.0,4.72,,
2024-07-24T10:45:00Z,1.4,44.0,3.34,,
2024-07-24T11:00:00Z,1.39,34.0,2.91,,
2024-07-24T11:15:00Z,1.45,30.0,3.2,,
2024-07-24T11:30:00Z,1.25,42.0,2.82,,
2024-07-24T11:45:00Z,1.07,61.0,2.77,,
2024-07-24T12:00:00Z,1.19,101.0,4.03,,
2024-07-24T12:15:00Z,1.0,78.0,3.25,,
