datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:59:00Z,5.0,331.0,11.0,11.0,1.0
2024-07-23T01:59:00Z,7.0,308.0,14.99,14.99,308.0
2024-07-23T02:59:00Z,4.0,313.0,8.0,8.0,297.0
2024-07-23T03:59:00Z,12.0,88.0,16.0,16.0,90.0
2024-07-23T04:59:00Z,14.99,99.0,20.0,20.0,100.0
2024-07-23T05:59:00Z,11.0,92.0,18.0,18.0,93.0
2024-07-23T06:59:00Z,8.0,87.0,17.0,17.0,91.0
2024-07-23T07:59:00Z,5.99,73.0,14.99,14.99,143.0
2024-07-23T08:59:00Z,5.99,97.0,16.0,16.0,159.0
2024-07-23T09:59:00Z,5.99,135.0,18.0,18.0,142.0
2024-07-23T10:59:00Z,5.0,182.0,14.01,14.01,126.0
2024-07-23T11:59:00Z,14.01,233.0,21.0,21.0,239.0
2024-07-23T12:59:00Z,11.0,260.0,19.0,19.0,239.0
2024-07-23T13:59:00Z,10.0,262.0,17.0,17.0,256.0
2024-07-23T14:59:00Z,8.0,272.0,14.01,14.01,278.0
2024-07-23T15:59:00Z,5.99,273.0,9.0,9.0,263.0
2024-07-23T16:59:00Z,5.99,268.0,8.0,8.0,302.0
2024-07-23T17:59:00Z,7.0,257.0,10.0,10.0,236.0
2024-07-23T18:59:00Z,4.0,245.0,10.0,10.0,245.0
2024-07-23T19:59:00Z,10.0,232.0,19.0,19.0,221.0
2024-07-23T20:59:00Z,12.0,267.0,24.0,24.0,280.0
2024-07-23T21:59:00Z,17.0,272.0,27.0,27.0,279.0
2024-07-23T22:59:00Z,21.0,260.0,33.0,33.0,260.0
2024-07-23T23:59:00Z,21.0,255.0,33.0,33.0,272.0
2024-07-24T00:59:00Z,21.0,264.0,32.0,32.0,264.0
2024-07-24T01:59:00Z,21.0,276.0,30.0,30.0,275.0
2024-07-24T02:59:00Z,14.99,266.0,27.0,27.0,265.0
2024-07-24T03:59:00Z,9.0,258.0,20.0,20.0,256.0
2024-07-24T04:59:00Z,11.0,250.0,14.99,14.99,230.0
2024-07-24T05:59:00Z,14.01,231.0,19.0,19.0,245.0
2024-07-24T06:59:00Z,19.0,266.0,25.0,25.0,267.0
2024-07-24T07:59:00Z,18.0,257.0,26.0,26.0,250.0
2024-07-24T08:59:00Z,14.99,257.0,25.0,25.0,259.0
2024-07-24T09:59:00Z,9.0,194.0,20.0,20.0,274.0
2024-07-24T10:59:00Z,13.0,213.0,18.0,18.0,219.0
2024-07-24T11:59:00Z,13.0,222.0,21.0,21.0,226.0
2024-07-24T12:59:00Z,13.0,223.0,21.0,21.0,220.0
2024-07-24T13:59:00Z,11.0,219.0,22.0,22.0,237.0
2024-07-24T14:59:00Z,5.99,213.0,14.01,14.01,221.0
2024-07-24T15:59:00Z,8.0,216.0,12.0,12.0,212.0
2024-07-24T16:59:00Z,10.0,218.0,13.0,13.0,218.0
2024-07-24T17:59:00Z,2.0,219.0,13.0,13.0,221.0
2024-07-24T18:59:00Z,3.0,175.0,11.0,11.0,160.0
2024-07-24T19:59:00Z,5.0,261.0,14.99,14.99,253.0
2024-07-24T20:59:00Z,2.0,129.0,16.0,16.0,247.0
2024-07-24T21:59:00Z,9.0,249.0,19.0,19.0,230.0
2024-07-24T22:59:00Z,10.0,262.0,21.0,21.0,258.0
2024-07-24T23:59:00Z,13.0,269.0,26.0,26.0,264.0
2024-07-25T00:59:00Z,14.01,272.0,22.0,22.0,302.0
2024-07-25T01:59:00Z,11.0,299.0,19.0,19.0,259.0
2024-07-25T02:59:00Z,13.0,306.0,14.99,14.99,305.0
2024-07-25T03:59:00Z,11.0,220.0,55.0,55.0,194.0
2024-07-25T04:59:00Z,5.99,115.0,17.0,17.0,215.0
2024-07-25T05:59:00Z,3.0,78.0,16.0,16.0,124.0
2024-07-25T06:59:00Z,8.0,100.0,14.01,14.01,174.0
2024-07-25T07:59:00Z,11.0,98.0,25.0,25.0,89.0
2024-07-25T08:59:00Z,7.0,87.0,18.0,18.0,181.0
2024-07-25T09:59:00Z,10.0,85.0,21.0,21.0,110.0
2024-07-25T10:59:00Z,9.0,91.0,17.0,17.0,90.0
2024-07-25T11:59:00Z,5.99,101.0,18.0,18.0,101.0
2024-07-25T12:59:00Z,5.99,140.0,18.0,18.0,187.0
2024-07-25T13:59:00Z,7.0,152.0,23.0,23.0,179.0
2024-07-25T14:59:00Z,5.99,164.0,23.0,23.0,179.0
2024-07-25T15:59:00Z,14.01,224.0,22.0,22.0,221.0
2024-07-25T16:59:00Z,14.01,239.0,28.0,28.0,236.0
2024-07-25T17:59:00Z,17.0,263.0,25.0,25.0,260.0
2024-07-25T18:59:00Z,19.0,279.0,26.0,26.0,283.0
2024-07-25T19:59:00Z,25.0,286.0,30.0,30.0,276.0
2024-07-25T20:59:00Z,18.0,271.0,33.0,33.0,256.0
2024-07-25T21:59:00Z,13.0,262.0,25.0,25.0,268.0
2024-07-25T22:59:00Z,19.0,263.0,28.0,28.0,263.0
2024-07-25T23:59:00Z,23.0,267.0,34.99,34.99,264.0
