datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:00:00Z,10.36,320.0,,,
2024-07-23T03:00:00Z,4.6,20.0,,,
2024-07-23T06:00:00Z,10.36,150.0,,,
2024-07-23T09:00:00Z,6.9,110.0,,,
2024-07-23T12:00:00Z,0.0,,,,
2024-07-23T15:00:00Z,3.45,290.0,,,
2024-07-23T18:00:00Z,0.0,,,,
2024-07-23T21:00:00Z,5.75,280.0,,,
2024-07-24T00:00:00Z,17.26,280.0,,,
2024-07-24T03:00:00Z,11.51,320.0,,,
2024-07-24T06:00:00Z,5.75,310.0,,,
2024-07-24T09:00:00Z,0.0,,,,
2024-07-24T12:00:00Z,3.45,230.0,,,
2024-07-24T15:00:00Z,0.0,,,,
2024-07-24T18:00:00Z,4.6,120.0,,,
2024-07-24T21:00:00Z,4.6,,,,
2024-07-25T00:00:00Z,11.51,330.0,,,
2024-07-25T03:00:00Z,19.56,220.0,,,
2024-07-25T15:00:00Z,5.75,300.0,,,
2024-07-25T18:00:00Z,20.71,320.0,,,
2024-07-25T21:00:00Z,5.75,270.0,,,
