datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2024-07-23T00:17:00Z,0.0,,9.0,9.0,308.0
2024-07-23T01:17:00Z,0.0,,4.0,4.0,359.0
2024-07-23T02:17:00Z,1.0,168.0,5.0,5.0,193.0
2024-07-23T03:17:00Z,0.0,,3.0,3.0,167.0
2024-07-23T04:17:00Z,2.0,150.0,4.0,4.0,171.0
2024-07-23T05:17:00Z,3.0,150.0,4.0,4.0,248.0
2024-07-23T06:17:00Z,2.0,172.0,4.0,4.0,176.0
2024-07-23T07:17:00Z,1.0,176.0,4.0,4.0,172.0
2024-07-23T08:17:00Z,0.0,,2.0,2.0,189.0
2024-07-23T09:17:00Z,1.0,156.0,4.0,4.0,175.0
2024-07-23T10:17:00Z,2.0,174.0,4.0,4.0,172.0
2024-07-23T11:17:00Z,2.0,172.0,4.0,4.0,172.0
2024-07-23T12:17:00Z,2.0,172.0,3.0,3.0,183.0
2024-07-23T13:17:00Z,3.0,163.0,5.0,5.0,177.0
2024-07-23T14:17:00Z,2.0,143.0,4.0,4.0,112.0
2024-07-23T15:17:00Z,3.0,158.0,7.0,7.0,184.0
2024-07-23T16:17:00Z,2.0,136.0,8.0,8.0,167.0
2024-07-23T17:17:00Z,3.0,182.0,8.0,8.0,143.0
2024-07-23T18:17:00Z,1.0,213.0,7.0,7.0,172.0
2024-07-23T19:17:00Z,2.0,198.0,10.0,10.0,166.0
2024-07-23T20:17:00Z,2.0,344.0,9.0,9.0,148.0
2024-07-23T21:17:00Z,3.0,25.0,11.0,11.0,332.0
2024-07-23T22:17:00Z,3.0,119.0,13.0,13.0,176.0
2024-07-23T23:17:00Z,2.0,325.0,14.99,14.99,1.0
2024-07-24T00:17:00Z,2.0,162.0,11.0,11.0,198.0
2024-07-24T01:17:00Z,3.0,331.0,11.0,11.0,165.0
2024-07-24T02:17:00Z,1.0,13.0,8.0,8.0,13.0
2024-07-24T03:17:00Z,1.0,340.0,7.0,7.0,17.0
2024-07-24T04:17:00Z,0.0,,4.0,4.0,344.0
2024-07-24T05:17:00Z,2.0,165.0,3.0,3.0,168.0
2024-07-24T06:17:00Z,2.0,167.0,3.0,3.0,169.0
2024-07-24T07:17:00Z,2.0,170.0,3.0,3.0,169.0
2024-07-24T08:17:00Z,3.0,175.0,4.0,4.0,174.0
2024-07-24T09:17:00Z,1.0,133.0,3.0,3.0,181.0
2024-07-24T10:17:00Z,1.0,102.0,4.0,4.0,122.0
2024-07-24T11:17:00Z,1.0,158.0,3.0,3.0,77.0
2024-07-24T12:17:00Z,2.0,152.0,3.0,3.0,170.0
2024-07-24T13:17:00Z,1.0,146.0,3.0,3.0,173.0
2024-07-24T14:17:00Z,1.0,112.0,3.0,3.0,125.0
2024-07-24T15:17:00Z,1.0,121.0,3.0,3.0,127.0
2024-07-24T16:17:00Z,2.0,148.0,5.99,5.99,131.0
2024-07-24T17:17:00Z,1.0,325.0,9.0,9.0,97.0
2024-07-24T18:17:00Z,2.0,274.0,7.0,7.0,205.0
2024-07-24T19:17:00Z,4.0,159.0,12.0,12.0,167.0
2024-07-24T20:17:00Z,2.0,262.0,10.0,10.0,106.0
2024-07-24T21:17:00Z,4.0,186.0,11.0,11.0,172.0
2024-07-24T22:17:00Z,2.0,303.0,11.0,11.0,353.0
2024-07-24T23:17:00Z,3.0,129.0,11.0,11.0,145.0
2024-07-25T00:17:00Z,2.0,275.0,10.0,10.0,146.0
2024-07-25T01:17:00Z,1.0,202.0,9.0,9.0,165.0
2024-07-25T02:17:00Z,0.0,,5.99,5.99,320.0
2024-07-25T03:17:00Z,5.0,116.0,18.0,18.0,192.0
2024-07-25T04:17:00Z,3.0,168.0,11.0,11.0,320.0
2024-07-25T05:17:00Z,1.0,151.0,5.0,5.0,174.0
2024-07-25T06:17:00Z,2.0,169.0,4.0,4.0,174.0
2024-07-25T07:17:00Z,3.0,162.0,8.0,8.0,108.0
2024-07-25T08:17:00Z,1.0,155.0,11.0,11.0,178.0
2024-07-25T09:17:00Z,0.0,,4.0,4.0,193.0
2024-07-25T10:17:00Z,0.0,,2.0,2.0,183.0
2024-07-25T11:17:00Z,2.0,173.0,5.99,5.99,192.0
2024-07-25T12:17:00Z,0.0,,4.0,4.0,253.0
2024-07-25T13:17:00Z,0.0,,2.0,2.0,171.0
2024-07-25T14:17:00Z,1.0,157.0,8.0,8.0,188.0
2024-07-25T15:17:00Z,2.0,170.0,5.99,5.99,203.0
2024-07-25T16:17:00Z,3.0,190.0,14.01,14.01,179.0
2024-07-25T17:17:00Z,3.0,203.0,12.0,12.0,170.0
2024-07-25T18:17:00Z,2.0,216.0,14.99,14.99,181.0
2024-07-25T19:17:00Z,3.0,142.0,13.0,13.0,176.0
2024-07-25T20:17:00Z,2.0,342.0,12.0,12.0,354.0
2024-07-25T21:17:00Z,5.0,343.0,14.01,14.01,0.0
2024-07-25T22:17:00Z,4.0,346.0,13.0,13.0,351.0
2024-07-25T23:17:00Z,4.0,339.0,14.01,14.01,9.0
