site,stid,name,elev_ft,dist_km,n_obs,peak_gust_mph,peak_spd_mph,peak_gust_time
camp_2018,JBGC1,JARBO GAP,2535,9.0,96,72.0,32.0,2018-11-09T16:13:00Z
camp_2018,CSTC1,COHASSET,1733,29.3,96,18.0,9.0,2018-11-08T01:51:00Z
camp_2018,CICC1,OPENSHAW,268,29.4,96,28.0,16.0,2018-11-08T20:54:00Z
camp_2018,CDEC1,CARPENTER RIDGE,4816,31.8,96,34.0,15.0,2018-11-08T14:54:00Z
camp_2018,HMRC1,HUMBUG SUMMIT,6714,34.1,96,31.0,13.0,2018-11-08T18:21:00Z
camp_2018,CBXC1,COLBY MOUNTAIN,6004,38.5,96,59.0,29.0,2018-11-08T17:27:00Z
camp_2018,PKCC1,PIKE COUNTY LOOKOUT,3701,42.0,96,43.0,24.0,2018-11-08T12:10:00Z
camp_2018,QYRC1,QUINCY RD,3652,46.2,96,9.0,2.0,2018-11-08T22:15:00Z
camp_2018,BNGC1,BANGOR,803,47.5,96,17.0,6.0,2018-11-09T01:51:00Z
camp_2018,CHAC1,CASHMAN,4478,49.6,96,41.0,26.0,2018-11-09T01:47:00Z
camp_2018,PSWC1,PANTHER SPRINGS,3344,56.4,94,14.0,4.0,2018-11-09T09:21:00Z
camp_2018,CESC1,CHESTER,4547,56.5,96,23.0,11.0,2018-11-08T19:02:00Z
tubbs_2017,RSAC1,SANTA ROSA,599,11.5,72,68.0,26.0,2017-10-09T12:29:00Z
tubbs_2017,HWKC1,HAWKEYE,2024,21.2,72,79.0,48.0,2017-10-09T06:56:00Z
tubbs_2017,KELC1,KONOCTI,2163,36.8,72,40.0,14.0,2017-10-09T07:57:00Z
tubbs_2017,ATLC1,ATLAS PEAK,1934,39.1,72,36.0,22.0,2017-10-10T23:29:00Z
tubbs_2017,KNXC1,KNOXVILLE CREEK,2200,39.3,72,63.0,36.0,2017-10-09T08:09:00Z
tubbs_2017,NVHC1,NOVATO FIRE - ROBINHOOD,482,53.6,72,28.0,14.0,2017-10-09T11:31:00Z
tubbs_2017,WISC1,COUNTY LINE,2085,54.4,72,50.0,35.0,2017-10-09T06:36:00Z
