event,stid,has_sustained,has_gust,n_window_pairs,peak_gust_mph,peak_gust_time,peak_spd_concurrent,peak_gust_factor,median_gust_factor,caution,status,flags
boulder_chin2021,ATC01,True,True,784,40.99,2021-01-13T13:15,18.0,2.277,2.998,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
boulder_chin2021,BMTC2,True,True,764,42.0,2021-01-14T10:58,7.0,6.0,5.004,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
boulder_chin2021,C7944,True,True,0,,,,,,False,FLAG,NO_CONCURRENT_PAIRS
boulder_chin2021,CO109,True,True,432,74.0,2021-01-13T20:20,50.0,1.48,1.582,False,OK,
boulder_chin2021,E3608,True,True,432,41.0,2021-01-13T09:55,13.0,3.154,2.995,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
boulder_chin2021,E6155,True,True,580,24.0,2021-01-14T08:09,5.99,4.007,3.667,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
boulder_chin2021,E9688,True,True,426,36.0,2021-01-13T09:51,9.0,4.0,2.0,False,FLAG,SUSPECT_HIGH_PEAK
boulder_chin2021,RFN,True,True,0,,,,,,False,FLAG,NO_CONCURRENT_PAIRS
boulder_chin2021,UP736,True,True,133,24.97,2021-01-13T16:25,7.02,3.557,2.418,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
camp_2018,BNGC1,True,True,34,17.0,2018-11-09T01:51,4.0,4.25,3.973,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
camp_2018,CBXC1,True,True,48,59.01,2018-11-08T17:27,28.99,2.036,2.004,False,OK,
camp_2018,CDEC1,True,True,47,34.0,2018-11-08T14:54,14.99,2.268,3.333,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
camp_2018,CESC1,True,True,47,23.0,2018-11-08T19:02,11.01,2.089,2.503,False,FLAG,SUSPECT_HIGH_MED
camp_2018,CHAC1,True,True,48,41.0,2018-11-09T01:47,25.99,1.578,2.102,False,OK,
camp_2018,CICC1,True,True,48,28.01,2018-11-08T20:54,12.01,2.332,1.76,False,FLAG,SUSPECT_HIGH_PEAK
camp_2018,CSTC1,True,True,45,18.01,2018-11-08T01:51,5.99,3.007,1.997,False,FLAG,SUSPECT_HIGH_PEAK
camp_2018,HMRC1,True,True,48,31.0,2018-11-08T18:21,13.0,2.385,1.801,False,FLAG,SUSPECT_HIGH_PEAK
camp_2018,JBGC1,True,True,47,72.01,2018-11-09T16:13,18.01,3.998,1.75,False,FLAG,SUSPECT_HIGH_PEAK
camp_2018,PKCC1,True,True,48,42.99,2018-11-08T12:10,24.0,1.791,1.687,False,OK,
camp_2018,PSWC1,True,True,45,14.0,2018-11-09T09:21,3.0,4.667,4.667,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
camp_2018,QYRC1,True,True,23,8.99,2018-11-08T22:15,2.01,4.473,4.941,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
iowa_derecho2020,DEOI4,True,True,34,43.99,2020-08-10T14:45,8.0,5.499,2.5,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
iowa_derecho2020,HITI4,True,True,47,51.0,2020-08-10T14:11,21.0,2.429,2.0,False,FLAG,SUSPECT_HIGH_PEAK
kincade_ign_2019,ATLC1,True,True,72,24.0,2019-10-23T13:29,12.01,1.998,2.248,False,FLAG,SUSPECT_HIGH_MED
kincade_ign_2019,COWC1,True,True,71,44.0,2019-10-24T08:01,18.99,2.317,1.725,False,FLAG,SUSPECT_HIGH_PEAK
kincade_ign_2019,HGLC1,True,True,72,37.0,2019-10-24T03:36,13.0,2.846,1.857,False,FLAG,SUSPECT_HIGH_PEAK
kincade_ign_2019,HPDC1,True,True,71,44.0,2019-10-24T09:15,28.99,1.518,1.705,False,OK,
kincade_ign_2019,HWKC1,True,True,69,55.01,2019-10-24T11:56,31.0,1.775,2.002,False,OK,
kincade_ign_2019,KELC1,True,True,66,27.0,2019-10-24T13:57,4.0,6.75,2.573,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
kincade_ign_2019,KNXC1,True,True,72,41.0,2019-10-24T05:09,27.0,1.519,2.027,False,OK,
kincade_ign_2019,OAAC1,True,True,72,35.99,2019-10-24T09:33,14.0,2.571,2.146,False,FLAG,SUSPECT_HIGH_PEAK
kincade_ign_2019,RSAC1,True,True,68,37.0,2019-10-24T05:29,11.01,3.361,2.4,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
kincade_ign_2019,WISC1,True,True,72,35.99,2019-10-23T16:36,21.0,1.714,1.899,False,OK,
kincade_run_2019,ATLC1,True,True,48,35.99,2019-10-27T14:29,8.99,4.003,2.361,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
kincade_run_2019,COWC1,True,True,48,44.98,2019-10-27T10:01,28.01,1.606,1.733,False,OK,
kincade_run_2019,HGLC1,True,True,48,51.0,2019-10-27T11:36,24.0,2.125,1.998,False,OK,
kincade_run_2019,HPDC1,True,True,47,55.99,2019-10-27T10:15,31.0,1.806,2.201,False,FLAG,SUSPECT_HIGH_MED
kincade_run_2019,HWKC1,True,True,46,75.99,2019-10-27T12:56,40.0,1.9,1.998,False,OK,
kincade_run_2019,KELC1,True,True,48,32.01,2019-10-27T14:57,10.0,3.201,2.752,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
kincade_run_2019,KNXC1,True,True,47,62.01,2019-10-27T11:09,34.0,1.824,1.916,False,OK,
kincade_run_2019,OAAC1,True,True,47,40.0,2019-10-27T11:33,12.01,3.331,2.407,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
kincade_run_2019,RSAC1,True,True,45,63.01,2019-10-27T15:29,13.0,4.847,2.443,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
kincade_run_2019,TR164,True,True,47,20.0,2019-10-27T08:53,5.99,3.339,2.004,False,FLAG,SUSPECT_HIGH_PEAK
kincade_run_2019,TS379,True,True,33,34.0,2019-10-27T14:28,5.99,5.676,4.747,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
kincade_run_2019,WISC1,True,True,48,64.0,2019-10-27T09:36,40.0,1.6,1.907,False,OK,
labor_day_or2020,A3800,True,True,0,,,,,,False,FLAG,NO_CONCURRENT_PAIRS
labor_day_or2020,A4218,True,True,0,,,,,,False,FLAG,NO_CONCURRENT_PAIRS
labor_day_or2020,AV613,True,True,78,25.0,2020-09-08T03:35,5.0,5.0,3.0,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,C2551,True,True,852,33.0,2020-09-08T17:46,8.0,4.125,2.802,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,C3932,True,True,897,22.0,2020-09-09T17:57,5.99,3.673,2.4,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,C5507,True,True,376,18.0,2020-09-07T23:18,5.0,3.6,4.0,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,CGFO3,True,True,80,17.0,2020-09-07T23:03,7.0,2.429,2.333,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,D5789,True,True,0,0.0,2020-09-07T00:00,,,,True,FLAG,CAUTION_GAP | NO_CONCURRENT_PAIRS
labor_day_or2020,D6452,True,True,315,43.99,2020-09-08T07:09,25.0,1.76,1.784,False,OK,
labor_day_or2020,D7303,True,True,4,4.0,2020-09-07T00:13,,,3.0,False,FLAG,SUSPECT_HIGH_MED
labor_day_or2020,DTRO,True,True,217,30.47,2020-09-08T10:30,5.11,5.963,3.786,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,E1735,True,True,423,29.0,2020-09-08T20:03,5.99,4.841,3.2,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,E5447,True,True,179,19.0,2020-09-08T20:01,5.0,3.8,2.6,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,E6204,True,True,178,25.0,2020-09-08T06:45,5.0,5.0,2.312,True,FLAG,CAUTION_GAP | SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,E6414,True,True,150,20.0,2020-09-08T04:53,4.0,5.0,4.167,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,E6892,True,True,306,14.01,2020-09-08T16:00,4.0,3.502,2.0,False,FLAG,SUSPECT_HIGH_PEAK
labor_day_or2020,F0539,True,True,65,23.0,2020-09-07T22:46,14.99,1.534,1.751,False,OK,
labor_day_or2020,F1740,True,True,249,22.0,2020-09-08T09:55,8.0,2.75,2.998,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,F2003,True,True,236,24.0,2020-09-09T00:00,8.0,3.0,3.45,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,F4834,True,True,593,34.99,2020-09-08T22:40,14.01,2.498,2.135,False,FLAG,SUSPECT_HIGH_PEAK
labor_day_or2020,HSFO3,True,True,89,66.0,2020-09-08T17:27,12.0,5.5,3.143,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,KMFR,True,True,57,40.28,2020-09-08T20:55,34.52,1.167,1.333,False,OK,
labor_day_or2020,MDFO,True,True,384,33.98,2020-09-09T09:15,14.84,2.29,2.022,False,FLAG,SUSPECT_HIGH_PEAK
labor_day_or2020,OD110,True,True,379,42.95,2020-09-08T06:21,21.02,2.043,1.552,False,OK,
labor_day_or2020,OD115,True,True,350,14.98,2020-09-08T20:15,6.04,2.48,2.77,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,OD119,True,True,50,17.0,2020-09-07T23:45,8.06,2.109,3.005,False,FLAG,SUSPECT_HIGH_MED
labor_day_or2020,OD140,True,True,239,31.99,2020-09-08T18:03,,,2.608,False,FLAG,SUSPECT_HIGH_MED
labor_day_or2020,OD159,True,True,37,29.08,2020-09-08T01:50,8.95,3.249,2.77,True,FLAG,CAUTION_GAP | SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,ODT26,True,True,362,34.01,2020-09-08T20:15,19.91,1.708,1.448,False,OK,
labor_day_or2020,ODT50,True,True,286,44.96,2020-09-08T07:31,21.92,2.051,1.741,True,FLAG,CAUTION_GAP
labor_day_or2020,ODT92,True,True,360,21.02,2020-09-08T19:05,6.94,3.029,2.221,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,PEFO3,True,True,91,39.0,2020-09-08T01:53,10.0,3.9,2.583,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,SYNO3,True,True,93,39.0,2020-09-08T07:13,22.0,1.773,2.0,False,OK,
labor_day_or2020,TCFO3,True,True,35,23.0,2020-09-08T06:14,13.0,1.769,1.6,False,OK,
labor_day_or2020,WPKO3,True,True,38,52.0,2020-09-08T08:07,14.01,3.712,2.959,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
labor_day_or2020,YEFO3,True,True,87,27.0,2020-09-08T16:17,5.0,5.4,3.667,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
marshall_2021,AENC2,True,True,72,33.0,2021-12-30T16:56,12.0,2.75,1.636,False,FLAG,SUSPECT_HIGH_PEAK
marshall_2021,BTAC2,True,True,66,52.0,2021-12-30T21:25,23.0,2.261,2.267,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
marshall_2021,CEKC2,True,True,68,67.0,2021-12-30T18:58,34.99,1.915,2.2,False,OK,
marshall_2021,CTPC2,True,True,55,59.0,2021-12-30T16:57,31.0,1.903,2.003,False,OK,
marshall_2021,DMTC2,True,True,72,37.0,2021-12-30T22:29,14.99,2.468,2.0,False,FLAG,SUSPECT_HIGH_PEAK
marshall_2021,LOOC2,True,True,70,72.0,2021-12-30T20:10,24.0,3.0,2.133,False,FLAG,SUSPECT_HIGH_PEAK
marshall_2021,PKLC2,True,True,63,49.0,2021-12-30T16:24,19.0,2.579,2.5,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
marshall_2021,SOPC2,True,True,68,36.0,2021-12-30T19:55,10.0,3.6,2.899,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_dec2025,BLMM8,True,True,36,28.0,2025-12-10T22:01,3.0,9.333,4.67,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_dec2025,CONM8,True,True,55,34.01,2025-12-11T12:08,7.0,4.859,3.5,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_dec2025,FINM8,True,True,57,24.0,2025-12-11T07:28,10.0,2.4,3.0,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_dec2025,NINM8,True,True,60,34.99,2025-12-11T10:59,5.99,5.841,3.384,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_dec2025,PNTM8,True,True,34,66.0,2025-12-10T18:59,41.0,1.61,1.754,False,OK,
missoula_dec2025,PSTM8,True,True,72,43.01,2025-12-11T14:41,20.0,2.151,2.336,False,FLAG,SUSPECT_HIGH_MED
missoula_dec2025,RONM8,True,True,66,29.0,2025-12-11T07:31,12.0,2.417,2.0,False,FLAG,SUSPECT_HIGH_PEAK
missoula_dec2025,STVM8,True,True,64,37.0,2025-12-11T12:14,20.0,1.85,2.72,False,FLAG,SUSPECT_HIGH_MED
missoula_jul2024,A3674,True,True,0,,,,,,False,FLAG,NO_CONCURRENT_PAIRS
missoula_jul2024,BLMM8,True,True,32,43.01,2024-07-25T03:01,12.0,3.584,3.5,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_jul2024,C4884,True,True,0,,,,,,False,FLAG,NO_CONCURRENT_PAIRS
missoula_jul2024,E0591,True,True,367,41.0,2024-07-25T02:58,22.0,1.864,1.0,False,FLAG,SUSPECT_LOW_MED
missoula_jul2024,E8564,True,True,107,30.0,2024-07-25T22:53,10.0,3.0,3.125,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_jul2024,FINM8,True,True,43,32.0,2024-07-25T03:28,9.0,3.556,2.5,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_jul2024,G0378,True,True,273,17.0,2024-07-24T00:05,7.0,2.429,1.6,False,FLAG,SUSPECT_HIGH_PEAK
missoula_jul2024,G2298,True,True,177,14.01,2024-07-25T00:55,12.0,1.167,1.25,False,OK,
missoula_jul2024,G2344,True,True,153,10.0,2024-07-24T00:06,8.0,1.25,1.0,False,FLAG,SUSPECT_LOW_MED
missoula_jul2024,KMSO,True,True,54,41.43,2024-07-25T02:53,19.56,2.118,1.5,False,OK,
missoula_jul2024,MOMM8,True,True,30,72.0,2024-07-25T04:26,9.0,8.0,3.674,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_jul2024,MSLM8,True,True,33,32.0,2024-07-25T03:46,2.0,16.0,3.502,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_jul2024,MTGRN,True,True,53,21.0,2024-07-24T23:15,7.0,3.0,2.75,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_jul2024,MTM01,True,True,135,19.35,2024-07-24T00:00,4.48,4.319,2.198,False,FLAG,SUSPECT_HIGH_PEAK
missoula_jul2024,MTNNM,True,True,108,38.0,2024-07-25T03:00,5.0,7.6,2.5,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
missoula_jul2024,PNTM8,True,True,48,55.0,2024-07-25T03:59,11.0,5.0,1.861,False,FLAG,SUSPECT_HIGH_PEAK
missoula_jul2024,SYN72773,True,True,0,,,,,,False,FLAG,NO_CONCURRENT_PAIRS
missoula_jul2024,TT350,True,True,42,18.0,2024-07-25T03:17,5.0,3.6,3.551,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
thomas_2017,ANIC1,True,True,71,52.01,2017-12-05T06:23,28.99,1.794,1.601,False,OK,
thomas_2017,BVRC1,True,True,72,37.0,2017-12-05T13:55,17.0,2.176,2.146,False,OK,
thomas_2017,CEEC1,True,True,71,57.0,2017-12-05T22:38,24.99,2.281,1.708,False,FLAG,SUSPECT_HIGH_PEAK
thomas_2017,CNIC1,True,True,72,78.0,2017-12-05T12:55,28.99,2.691,2.04,False,FLAG,SUSPECT_HIGH_PEAK
thomas_2017,CSVC1,True,True,66,32.99,2017-12-05T13:09,10.0,3.299,2.599,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
thomas_2017,CUUC1,True,True,58,32.01,2017-12-05T03:22,12.01,2.665,2.248,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
thomas_2017,DLVC1,True,True,68,52.01,2017-12-05T21:55,18.99,2.739,2.121,False,FLAG,SUSPECT_HIGH_PEAK
thomas_2017,GMTC1,True,True,72,32.99,2017-12-05T02:59,8.99,3.67,2.368,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
thomas_2017,LCBC1,True,True,72,42.99,2017-12-05T17:55,18.99,2.264,2.208,False,FLAG,SUSPECT_HIGH_PEAK | SUSPECT_HIGH_MED
