event,stid,file,n_rows,date_first,date_last,n_cols,has_spd,has_gust,has_dir,all_spd_null,all_gust_null,gap_flag,window_miss,flags,usable,caution
boulder_chin2021,1762P,raws_obs\boulder_chin2021\1762P_boulder_chin2021.csv,388,2021-01-13T00:00,2021-01-15T23:50,6,True,True,True,True,True,False,False,ALL_SPD_NULL | ALL_GUST_NULL,no,no
boulder_chin2021,1840P,raws_obs\boulder_chin2021\1840P_boulder_chin2021.csv,388,2021-01-13T00:00,2021-01-15T23:50,6,True,True,True,True,True,False,False,ALL_SPD_NULL | ALL_GUST_NULL,no,no
boulder_chin2021,3724P,raws_obs\boulder_chin2021\3724P_boulder_chin2021.csv,388,2021-01-13T00:00,2021-01-15T23:50,6,True,True,True,True,True,False,False,ALL_SPD_NULL | ALL_GUST_NULL,no,no
boulder_chin2021,A4401,raws_obs\boulder_chin2021\A4401_boulder_chin2021.csv,52,2021-01-13T00:00,2021-01-15T23:00,6,True,True,True,True,True,True,False,ALL_SPD_NULL | ALL_GUST_NULL | GAP>4h,no,no
boulder_chin2021,ATC01,raws_obs\boulder_chin2021\ATC01_boulder_chin2021.csv,864,2021-01-13T00:00,2021-01-15T23:55,6,True,True,True,False,False,False,False,,yes,no
boulder_chin2021,BELC2,raws_obs\boulder_chin2021\BELC2_boulder_chin2021.csv,288,2021-01-13T00:00,2021-01-15T23:45,6,True,True,True,True,True,False,False,ALL_SPD_NULL | ALL_GUST_NULL,no,no
boulder_chin2021,BMTC2,raws_obs\boulder_chin2021\BMTC2_boulder_chin2021.csv,766,2021-01-13T00:08,2021-01-15T23:55,6,True,True,True,False,False,False,False,,yes,no
boulder_chin2021,BPKC2,raws_obs\boulder_chin2021\BPKC2_boulder_chin2021.csv,6,2021-01-13T01:06,2021-01-15T12:56,6,True,True,True,True,True,True,False,ALL_SPD_NULL | ALL_GUST_NULL | GAP>12h,no,no
boulder_chin2021,C7944,raws_obs\boulder_chin2021\C7944_boulder_chin2021.csv,285,2021-01-13T00:01,2021-01-15T23:47,6,True,True,True,False,True,False,False,ALL_GUST_NULL,yes,no
boulder_chin2021,CCNC2,raws_obs\boulder_chin2021\CCNC2_boulder_chin2021.csv,288,2021-01-13T00:00,2021-01-15T23:45,6,True,True,True,True,True,False,False,ALL_SPD_NULL | ALL_GUST_NULL,no,no
