stid,name,lat,lon,state,status,rec_start,rec_end,events,n_event_files,has_data_flags,elev_flag,elev_ft_synoptic,elev_m_derived
1762P,JENSA,39.98943,-105.25147,CO,INACTIVE,2019-10-22T16:04:00Z,2022-05-27T03:10:00Z,boulder_chin2021,1,YES,no,5397.0,1645.0
1840P,Table Mesa Court,39.98123,-105.25997,CO,INACTIVE,2019-10-22T16:04:00Z,2022-05-27T03:10:00Z,boulder_chin2021,1,YES,no,5554.0,1692.9
2006P,LRAPA-McKenzie Bridge,44.17014,-122.16096,OR,INACTIVE,2019-10-22T16:04:00Z,2022-05-27T03:10:00Z,labor_day_or2020,1,YES,no,1401.0,427.0
2008P,LRAPA-McKenzie Schools,44.15210,-122.36216,OR,INACTIVE,2019-10-22T16:04:00Z,2022-05-19T23:50:00Z,labor_day_or2020,1,YES,no,1079.0,328.9
2019P,Applegate Street - Jacksonville,42.30693,-122.97431,OR,INACTIVE,2019-10-22T16:04:00Z,2022-05-27T03:10:00Z,labor_day_or2020,1,YES,no,1775.0,541.0
2020P,Pioneer Hills,42.27590,-122.88624,OR,INACTIVE,2019-10-22T16:04:00Z,2022-05-27T03:10:00Z,labor_day_or2020,1,YES,no,1772.0,540.1
2042P,Stonegate Estates,42.31106,-122.80987,OR,INACTIVE,2019-10-22T16:04:00Z,2021-03-02T21:20:00Z,labor_day_or2020,1,YES,no,1572.0,479.1
2066P,Phoenix,42.27734,-122.80562,OR,INACTIVE,2019-10-22T16:04:00Z,2022-03-24T21:00:00Z,labor_day_or2020,1,YES,no,1549.0,472.1
2071P,DEK Eagle Point,42.46388,-122.80928,OR,INACTIVE,2019-10-22T16:04:00Z,2022-05-27T03:10:00Z,labor_day_or2020,1,YES,no,1289.0,392.9
2074P,Sterling Creek (800' above) - Jacksonville,42.25823,-122.99733,OR,INACTIVE,2019-10-22T16:04:00Z,2022-05-27T03:10:00Z,labor_day_or2020,1,YES,no,2818.0,858.9
