datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:23:00Z,3.0,279.0,8.01,8.01,310.0,61.0,87.0
2017-12-03T01:23:00Z,7.0,310.0,11.01,11.01,309.0,60.01,98.0
2017-12-03T02:23:00Z,7.0,321.0,12.01,12.01,323.0,59.0,97.0
2017-12-03T03:23:00Z,7.0,324.0,13.0,13.0,333.0,59.0,91.0
2017-12-03T04:23:00Z,5.99,338.0,12.01,12.01,338.0,60.01,91.0
2017-12-03T05:23:00Z,7.0,343.0,12.01,12.01,342.0,60.01,91.0
2017-12-03T06:23:00Z,1.01,343.0,8.99,8.99,328.0,59.0,98.0
2017-12-03T07:23:00Z,4.0,328.0,8.01,8.01,328.0,59.0,99.0
2017-12-03T08:23:00Z,4.99,331.0,8.01,8.01,318.0,59.0,100.0
2017-12-03T09:23:00Z,4.0,334.0,8.01,8.01,330.0,57.99,100.0
2017-12-03T10:23:00Z,4.0,61.0,5.99,5.99,63.0,57.99,100.0
2017-12-03T11:23:00Z,4.0,63.0,4.99,4.99,78.0,57.0,100.0
2017-12-03T12:23:00Z,4.0,52.0,5.99,5.99,48.0,57.0,98.0
2017-12-03T13:23:00Z,4.0,42.0,7.0,7.0,70.0,57.0,94.0
2017-12-03T14:23:00Z,4.0,26.0,5.99,5.99,42.0,55.99,94.0
2017-12-03T15:23:00Z,3.0,52.0,4.99,4.99,29.0,55.99,97.0
2017-12-03T16:23:00Z,2.01,15.0,4.99,4.99,355.0,57.99,92.0
2017-12-03T17:23:00Z,3.0,16.0,5.99,5.99,8.0,59.0,87.0
2017-12-03T18:23:00Z,5.99,327.0,12.01,12.01,331.0,61.0,75.0
2017-12-03T19:23:00Z,8.01,294.0,13.0,13.0,288.0,62.01,74.0
2017-12-03T20:23:00Z,4.0,219.0,11.01,11.01,277.0,64.0,70.0
2017-12-03T21:23:00Z,4.0,233.0,8.01,8.01,278.0,64.99,71.0
2017-12-03T22:23:00Z,3.0,232.0,7.0,7.0,238.0,64.0,75.0
2017-12-03T23:23:00Z,1.01,235.0,5.99,5.99,281.0,63.0,80.0
2017-12-04T00:23:00Z,0.0,,4.99,4.99,327.0,62.01,77.0
2017-12-04T01:23:00Z,2.01,227.0,5.99,5.99,264.0,59.0,97.0
2017-12-04T02:23:00Z,1.01,242.0,4.0,4.0,199.0,59.0,99.0
2017-12-04T03:23:00Z,2.01,175.0,4.99,4.99,119.0,59.0,94.0
2017-12-04T04:23:00Z,3.0,289.0,8.01,8.01,282.0,57.99,70.0
2017-12-04T05:23:00Z,5.99,312.0,8.99,8.99,322.0,59.0,75.0
2017-12-04T06:23:00Z,4.0,345.0,11.01,11.01,339.0,59.0,90.0
2017-12-04T07:23:00Z,7.0,73.0,10.0,10.0,65.0,57.0,100.0
2017-12-04T08:23:00Z,8.01,50.0,11.01,11.01,49.0,55.99,85.0
2017-12-04T09:23:00Z,7.0,73.0,11.01,11.01,59.0,55.99,86.0
2017-12-04T10:23:00Z,4.0,91.0,8.99,8.99,71.0,57.0,93.0
2017-12-04T11:23:00Z,3.0,77.0,5.99,5.99,93.0,57.99,100.0
2017-12-04T12:23:00Z,4.0,59.0,8.01,8.01,43.0,55.99,78.0
2017-12-04T13:23:00Z,7.0,53.0,12.01,12.01,46.0,57.0,65.0
2017-12-04T14:23:00Z,14.99,71.0,23.0,23.0,81.0,57.99,47.0
2017-12-04T15:23:00Z,21.0,76.0,30.0,30.0,73.0,57.99,38.0
2017-12-04T16:23:00Z,22.01,67.0,32.01,32.01,68.0,59.0,33.0
2017-12-04T17:23:00Z,21.0,59.0,32.01,32.01,60.0,60.01,35.0
2017-12-04T18:23:00Z,20.0,59.0,30.0,30.0,64.0,62.01,32.0
2017-12-04T19:23:00Z,23.0,54.0,32.01,32.01,50.0,63.0,31.0
