datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:55:00Z,8.01,193.0,10.0,10.0,182.0,61.0,71.0
2017-12-03T01:55:00Z,3.0,236.0,11.01,11.01,208.0,63.0,57.0
2017-12-03T02:55:00Z,1.01,333.0,4.99,4.99,332.0,63.0,54.0
2017-12-03T03:55:00Z,4.99,330.0,5.99,5.99,328.0,63.0,57.0
2017-12-03T04:55:00Z,0.0,,8.01,8.01,312.0,61.0,62.0
2017-12-03T05:55:00Z,1.01,303.0,4.99,4.99,326.0,60.01,63.0
2017-12-03T06:55:00Z,4.0,189.0,4.99,4.99,187.0,59.0,70.0
2017-12-03T07:55:00Z,5.99,179.0,7.0,7.0,186.0,57.0,79.0
2017-12-03T08:55:00Z,4.0,143.0,7.0,7.0,173.0,57.0,68.0
2017-12-03T09:55:00Z,3.0,166.0,4.99,4.99,160.0,55.99,74.0
2017-12-03T10:55:00Z,4.0,141.0,4.99,4.99,142.0,55.99,68.0
2017-12-03T11:55:00Z,3.0,94.0,7.0,7.0,132.0,54.0,71.0
2017-12-03T12:55:00Z,0.0,,3.0,3.0,352.0,55.99,72.0
2017-12-03T13:55:00Z,4.99,178.0,5.99,5.99,162.0,55.0,76.0
2017-12-03T14:55:00Z,5.99,316.0,8.01,8.01,306.0,53.01,79.0
2017-12-03T15:55:00Z,2.01,22.0,8.01,8.01,305.0,55.99,81.0
2017-12-03T16:55:00Z,1.01,20.0,7.0,7.0,334.0,62.01,62.0
2017-12-03T17:55:00Z,3.0,146.0,8.01,8.01,140.0,70.0,51.0
2017-12-03T18:55:00Z,4.0,157.0,8.99,8.99,150.0,73.0,44.0
2017-12-03T19:55:00Z,4.99,160.0,11.01,11.01,172.0,73.99,42.0
2017-12-03T20:55:00Z,5.99,173.0,14.0,14.0,163.0,73.0,41.0
2017-12-03T21:55:00Z,5.99,170.0,12.01,12.01,168.0,72.0,40.0
