datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:38:00Z,4.99,291.0,10.0,10.0,304.0,63.0,55.0
2017-12-03T01:38:00Z,7.0,329.0,10.0,10.0,332.0,62.01,57.0
2017-12-03T02:38:00Z,0.0,,8.99,8.99,326.0,61.0,60.0
2017-12-03T03:38:00Z,3.0,64.0,4.0,4.0,44.0,61.0,62.0
2017-12-03T04:38:00Z,3.0,104.0,4.0,4.0,109.0,61.0,60.0
2017-12-03T05:38:00Z,3.0,99.0,4.99,4.99,88.0,61.0,59.0
2017-12-03T06:38:00Z,4.0,136.0,7.0,7.0,129.0,59.0,65.0
2017-12-03T07:38:00Z,2.01,154.0,4.99,4.99,136.0,59.0,66.0
2017-12-03T08:38:00Z,7.0,146.0,8.01,8.01,139.0,57.99,66.0
2017-12-03T09:38:00Z,3.0,63.0,8.01,8.01,144.0,55.99,70.0
2017-12-03T10:38:00Z,4.99,115.0,8.01,8.01,108.0,55.0,72.0
2017-12-03T11:38:00Z,7.0,75.0,8.99,8.99,77.0,54.0,77.0
2017-12-03T12:38:00Z,8.01,78.0,10.0,10.0,73.0,54.0,77.0
2017-12-03T13:38:00Z,4.0,53.0,10.0,10.0,86.0,54.0,76.0
2017-12-03T14:38:00Z,3.0,66.0,4.99,4.99,69.0,55.99,56.0
2017-12-03T15:38:00Z,3.0,107.0,4.0,4.0,65.0,57.0,56.0
2017-12-03T16:38:00Z,5.99,125.0,8.99,8.99,94.0,57.99,64.0
2017-12-03T17:38:00Z,4.0,137.0,7.0,7.0,127.0,61.0,58.0
2017-12-03T18:38:00Z,3.0,167.0,7.0,7.0,148.0,69.01,44.0
2017-12-03T19:38:00Z,4.0,170.0,10.0,10.0,135.0,70.0,38.0
2017-12-03T20:38:00Z,4.0,187.0,8.99,8.99,213.0,72.0,33.0
2017-12-03T21:38:00Z,4.99,223.0,11.01,11.01,220.0,72.0,38.0
2017-12-03T22:38:00Z,10.0,281.0,13.0,13.0,287.0,66.99,56.0
2017-12-03T23:38:00Z,8.01,290.0,13.0,13.0,278.0,64.99,58.0
2017-12-04T00:38:00Z,4.99,346.0,12.01,12.01,274.0,59.0,64.0
2017-12-04T01:38:00Z,4.99,25.0,7.0,7.0,351.0,55.99,68.0
2017-12-04T02:38:00Z,3.0,76.0,7.0,7.0,57.0,55.99,69.0
2017-12-04T03:38:00Z,3.0,77.0,4.0,4.0,78.0,57.0,69.0
2017-12-04T04:38:00Z,4.99,66.0,7.0,7.0,42.0,55.0,64.0
2017-12-04T05:38:00Z,4.0,112.0,5.99,5.99,108.0,53.01,71.0
2017-12-04T06:38:00Z,5.99,89.0,7.0,7.0,88.0,52.0,75.0
2017-12-04T07:38:00Z,4.99,90.0,8.01,8.01,92.0,51.01,69.0
2017-12-04T08:38:00Z,20.0,10.0,25.99,25.99,6.0,53.01,42.0
2017-12-04T09:38:00Z,11.01,24.0,20.0,20.0,11.0,52.0,44.0
2017-12-04T10:38:00Z,8.99,20.0,14.99,14.99,10.0,51.01,41.0
2017-12-04T11:38:00Z,8.99,44.0,14.0,14.0,34.0,51.01,40.0
2017-12-04T12:38:00Z,8.99,83.0,14.0,14.0,69.0,52.0,30.0
2017-12-04T13:38:00Z,10.0,74.0,18.01,18.01,71.0,53.01,22.0
2017-12-04T14:38:00Z,14.0,78.0,24.0,24.0,90.0,53.01,18.0
2017-12-04T15:38:00Z,14.99,71.0,24.99,24.99,55.0,54.0,17.0
2017-12-04T16:38:00Z,14.99,59.0,28.01,28.01,68.0,57.0,15.0
2017-12-04T17:38:00Z,15.99,55.0,28.99,28.99,49.0,57.99,14.0
2017-12-04T18:38:00Z,14.0,55.0,31.0,31.0,41.0,60.01,13.0
2017-12-04T19:38:00Z,18.01,48.0,34.99,34.99,41.0,60.01,12.0
2017-12-04T20:38:00Z,20.0,47.0,32.99,32.99,45.0,60.01,12.0
2017-12-04T21:38:00Z,14.0,83.0,28.01,28.01,69.0,61.0,11.0
2017-12-04T22:38:00Z,14.99,49.0,27.0,27.0,43.0,60.01,11.0
2017-12-04T23:38:00Z,22.01,74.0,38.99,38.99,52.0,57.99,11.0
2017-12-05T00:38:00Z,27.0,70.0,42.99,42.99,65.0,55.99,12.0
2017-12-05T01:38:00Z,27.0,93.0,45.99,45.99,92.0,55.0,11.0
2017-12-05T02:38:00Z,28.01,94.0,45.99,45.99,83.0,55.0,10.0
2017-12-05T03:38:00Z,28.99,85.0,51.0,51.0,84.0,54.0,12.0
2017-12-05T04:38:00Z,28.01,88.0,51.0,51.0,80.0,54.0,12.0
2017-12-05T05:38:00Z,30.0,92.0,49.01,49.01,93.0,54.0,12.0
2017-12-05T06:38:00Z,30.0,93.0,51.0,51.0,94.0,53.01,12.0
2017-12-05T07:38:00Z,34.0,91.0,50.0,50.0,99.0,53.01,12.0
2017-12-05T08:38:00Z,30.0,93.0,52.01,52.01,80.0,53.01,13.0
2017-12-05T09:38:00Z,32.99,89.0,50.0,50.0,90.0,52.0,13.0
2017-12-05T10:38:00Z,30.0,90.0,53.02,53.02,84.0,52.0,14.0
2017-12-05T11:38:00Z,25.99,84.0,53.02,53.02,79.0,51.01,15.0
2017-12-05T12:38:00Z,28.99,96.0,48.0,48.0,86.0,50.0,15.0
2017-12-05T14:38:00Z,32.99,94.0,50.0,50.0,76.0,50.0,15.0
2017-12-05T15:38:00Z,28.99,90.0,50.0,50.0,90.0,51.01,14.0
2017-12-05T16:38:00Z,30.0,95.0,48.0,48.0,91.0,53.01,13.0
2017-12-05T17:38:00Z,22.01,87.0,54.0,54.0,92.0,54.0,12.0
2017-12-05T18:38:00Z,23.0,65.0,44.98,44.98,61.0,55.99,12.0
2017-12-05T19:38:00Z,30.0,63.0,55.01,55.01,52.0,57.0,11.0
2017-12-05T20:38:00Z,28.01,77.0,52.01,52.01,76.0,57.0,11.0
2017-12-05T21:38:00Z,31.0,86.0,44.98,44.98,79.0,57.0,11.0
2017-12-05T22:38:00Z,24.99,96.0,57.0,57.0,85.0,57.99,10.0
2017-12-05T23:38:00Z,24.0,100.0,41.0,41.0,88.0,59.0,9.0
2017-12-06T00:38:00Z,20.0,96.0,35.99,35.99,97.0,57.99,8.0
2017-12-06T01:38:00Z,23.0,100.0,47.0,47.0,85.0,57.0,8.0
2017-12-06T02:38:00Z,23.0,105.0,38.99,38.99,92.0,57.0,8.0
2017-12-06T03:38:00Z,21.0,103.0,41.0,41.0,97.0,57.0,8.0
2017-12-06T04:38:00Z,24.0,110.0,40.0,40.0,97.0,57.99,8.0
2017-12-06T05:38:00Z,28.99,95.0,44.0,44.0,85.0,59.0,8.0
2017-12-06T06:38:00Z,20.0,97.0,34.99,34.99,82.0,57.99,9.0
2017-12-06T07:38:00Z,18.99,82.0,31.0,31.0,80.0,57.99,9.0
2017-12-06T08:38:00Z,17.0,72.0,31.0,31.0,90.0,57.0,10.0
2017-12-06T09:38:00Z,20.0,52.0,34.0,34.0,51.0,55.0,11.0
2017-12-06T10:38:00Z,22.01,35.0,34.0,34.0,53.0,55.99,11.0
2017-12-06T11:38:00Z,24.99,29.0,34.99,34.99,39.0,55.99,11.0
2017-12-06T12:38:00Z,22.01,49.0,38.99,38.99,42.0,55.99,11.0
2017-12-06T13:38:00Z,27.0,88.0,47.0,47.0,78.0,57.99,10.0
2017-12-06T14:38:00Z,32.01,86.0,52.01,52.01,78.0,57.0,11.0
2017-12-06T15:38:00Z,27.0,95.0,47.0,47.0,79.0,60.01,10.0
2017-12-06T16:38:00Z,31.0,96.0,48.0,48.0,89.0,63.0,9.0
2017-12-06T17:38:00Z,23.0,79.0,44.98,44.98,71.0,66.0,9.0
2017-12-06T18:38:00Z,28.01,48.0,44.0,44.0,36.0,66.0,9.0
2017-12-06T19:38:00Z,28.99,70.0,47.0,47.0,57.0,68.0,9.0
2017-12-06T20:38:00Z,24.99,67.0,44.0,44.0,48.0,69.01,9.0
2017-12-06T21:38:00Z,18.01,74.0,34.0,34.0,55.0,69.01,9.0
2017-12-06T22:38:00Z,24.0,62.0,38.99,38.99,64.0,69.01,9.0
2017-12-06T23:38:00Z,17.0,82.0,42.99,42.99,63.0,66.99,10.0
2017-12-07T00:38:00Z,24.99,78.0,42.99,42.99,77.0,66.0,11.0
2017-12-07T01:38:00Z,25.99,81.0,42.01,42.01,89.0,64.99,11.0
2017-12-07T02:38:00Z,28.99,85.0,45.99,45.99,88.0,64.0,12.0
2017-12-07T03:38:00Z,28.99,89.0,47.0,47.0,82.0,64.0,13.0
2017-12-07T04:38:00Z,27.0,90.0,44.98,44.98,90.0,63.0,13.0
2017-12-07T05:38:00Z,28.99,97.0,44.98,44.98,86.0,63.0,13.0
2017-12-07T06:38:00Z,32.99,86.0,54.0,54.0,78.0,64.0,11.0
2017-12-07T07:38:00Z,25.99,89.0,45.99,45.99,83.0,64.0,11.0
2017-12-07T08:38:00Z,21.0,81.0,41.0,41.0,88.0,63.0,10.0
2017-12-07T09:38:00Z,24.99,92.0,41.0,41.0,81.0,64.0,10.0
2017-12-07T10:38:00Z,24.0,92.0,37.0,37.0,80.0,63.0,10.0
2017-12-07T11:38:00Z,21.0,72.0,38.01,38.01,76.0,62.01,10.0
2017-12-07T12:38:00Z,17.0,68.0,32.99,32.99,84.0,60.01,12.0
2017-12-07T13:38:00Z,18.01,47.0,34.99,34.99,64.0,59.0,12.0
2017-12-07T14:38:00Z,25.99,78.0,42.01,42.01,67.0,60.01,11.0
2017-12-07T15:38:00Z,23.0,83.0,37.0,37.0,70.0,62.01,10.0
2017-12-07T16:38:00Z,18.01,98.0,35.99,35.99,89.0,64.0,9.0
2017-12-07T17:38:00Z,23.0,95.0,42.01,42.01,68.0,66.0,8.0
2017-12-07T18:38:00Z,32.01,94.0,47.0,47.0,80.0,68.0,7.0
2017-12-07T19:38:00Z,28.99,97.0,47.0,47.0,87.0,68.0,7.0
2017-12-07T20:38:00Z,18.99,95.0,44.0,44.0,68.0,68.0,6.0
2017-12-07T21:38:00Z,24.99,94.0,35.99,35.99,88.0,66.99,6.0
2017-12-07T22:38:00Z,18.01,77.0,38.99,38.99,92.0,68.0,6.0
2017-12-07T23:38:00Z,15.99,83.0,38.99,38.99,95.0,68.0,7.0
2017-12-08T00:38:00Z,18.01,82.0,35.99,35.99,75.0,66.0,7.0
2017-12-08T01:38:00Z,18.01,65.0,30.0,30.0,75.0,64.99,8.0
2017-12-08T02:38:00Z,18.99,51.0,28.99,28.99,56.0,64.99,8.0
2017-12-08T03:38:00Z,18.99,43.0,32.01,32.01,48.0,64.99,8.0
2017-12-08T04:38:00Z,22.01,21.0,30.0,30.0,27.0,64.0,9.0
2017-12-08T05:38:00Z,24.0,28.0,34.99,34.99,24.0,63.0,9.0
2017-12-08T06:38:00Z,24.0,32.0,35.99,35.99,37.0,63.0,9.0
2017-12-08T07:38:00Z,18.99,49.0,34.0,34.0,31.0,63.0,9.0
2017-12-08T08:38:00Z,18.99,55.0,34.0,34.0,53.0,64.0,9.0
2017-12-08T09:38:00Z,22.01,66.0,34.0,34.0,45.0,64.0,9.0
2017-12-08T10:38:00Z,23.0,64.0,37.0,37.0,56.0,64.99,9.0
2017-12-08T11:38:00Z,24.0,86.0,34.99,34.99,61.0,64.99,9.0
2017-12-08T12:38:00Z,21.0,90.0,30.0,30.0,88.0,64.0,10.0
2017-12-08T13:38:00Z,22.01,95.0,38.01,38.01,87.0,64.0,10.0
2017-12-08T14:38:00Z,23.0,82.0,34.0,34.0,82.0,64.99,10.0
2017-12-08T15:38:00Z,22.01,59.0,35.99,35.99,72.0,66.0,10.0
2017-12-08T16:38:00Z,15.99,77.0,32.99,32.99,75.0,69.01,9.0
2017-12-08T17:38:00Z,20.0,94.0,35.99,35.99,91.0,72.0,9.0
2017-12-08T18:38:00Z,15.99,91.0,32.99,32.99,97.0,73.99,9.0
2017-12-08T19:38:00Z,20.0,95.0,31.0,31.0,88.0,75.0,8.0
2017-12-08T20:38:00Z,14.99,90.0,28.99,28.99,88.0,75.99,8.0
2017-12-08T21:38:00Z,18.99,95.0,34.0,34.0,96.0,75.0,8.0
2017-12-08T22:38:00Z,18.99,81.0,32.01,32.01,71.0,73.99,8.0
2017-12-08T23:38:00Z,14.99,74.0,30.0,30.0,90.0,73.0,8.0
