datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:55:00Z,15.99,130.0,24.99,24.99,134.0,57.0,48.0
2017-12-03T01:55:00Z,17.0,133.0,21.0,21.0,126.0,55.99,51.0
2017-12-03T02:55:00Z,18.99,136.0,24.0,24.0,135.0,57.0,47.0
2017-12-03T03:55:00Z,17.0,133.0,23.0,23.0,132.0,55.99,49.0
2017-12-03T04:55:00Z,17.0,131.0,23.0,23.0,132.0,54.0,56.0
2017-12-03T05:55:00Z,18.01,135.0,24.0,24.0,134.0,54.0,54.0
2017-12-03T06:55:00Z,18.99,130.0,25.99,25.99,134.0,52.0,59.0
2017-12-03T07:55:00Z,15.99,133.0,25.99,25.99,133.0,52.0,60.0
2017-12-03T08:55:00Z,21.0,131.0,28.01,28.01,113.0,50.0,68.0
2017-12-03T09:55:00Z,15.99,128.0,28.01,28.01,129.0,48.0,86.0
2017-12-03T10:55:00Z,18.99,131.0,28.01,28.01,128.0,48.0,88.0
2017-12-03T11:55:00Z,18.01,135.0,30.0,30.0,142.0,48.99,80.0
2017-12-03T12:55:00Z,14.0,136.0,24.0,24.0,143.0,51.01,62.0
2017-12-03T13:55:00Z,14.0,132.0,24.0,24.0,141.0,52.0,52.0
2017-12-03T14:55:00Z,12.01,139.0,18.99,18.99,130.0,50.0,67.0
2017-12-03T15:55:00Z,8.01,145.0,14.99,14.99,154.0,53.01,55.0
2017-12-03T16:55:00Z,4.99,346.0,12.01,12.01,324.0,54.0,37.0
2017-12-03T17:55:00Z,11.01,324.0,14.99,14.99,327.0,52.0,44.0
2017-12-03T18:55:00Z,8.99,317.0,17.0,17.0,327.0,53.01,44.0
2017-12-03T19:55:00Z,3.0,159.0,14.0,14.0,317.0,60.01,41.0
2017-12-03T20:55:00Z,8.99,158.0,18.01,18.01,147.0,61.0,49.0
2017-12-03T21:55:00Z,12.01,151.0,18.01,18.01,144.0,60.01,50.0
2017-12-03T22:55:00Z,10.0,143.0,18.99,18.99,157.0,57.99,60.0
2017-12-03T23:55:00Z,4.99,161.0,15.99,15.99,149.0,55.0,67.0
2017-12-04T00:55:00Z,1.01,335.0,10.0,10.0,163.0,50.0,74.0
2017-12-04T01:55:00Z,4.0,272.0,11.01,11.01,299.0,48.0,65.0
2017-12-04T02:55:00Z,8.01,299.0,14.99,14.99,289.0,46.99,66.0
2017-12-04T03:55:00Z,12.01,309.0,15.99,15.99,307.0,46.99,56.0
2017-12-04T04:55:00Z,10.0,321.0,14.99,14.99,316.0,46.99,49.0
2017-12-04T05:55:00Z,12.01,327.0,14.0,14.0,330.0,46.0,48.0
