datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:09:00Z,1.01,268.0,8.01,8.01,245.0,69.01,43.0
2017-12-03T01:09:00Z,1.01,21.0,4.99,4.99,289.0,62.01,58.0
2017-12-03T02:09:00Z,2.01,249.0,4.0,4.0,257.0,55.99,61.0
2017-12-03T03:09:00Z,2.01,243.0,4.99,4.99,257.0,54.0,63.0
2017-12-03T04:09:00Z,2.01,255.0,4.0,4.0,249.0,52.0,68.0
2017-12-03T05:09:00Z,2.01,250.0,4.99,4.99,236.0,51.01,71.0
2017-12-03T06:09:00Z,1.01,248.0,4.0,4.0,249.0,48.99,74.0
2017-12-03T07:09:00Z,3.0,255.0,4.0,4.0,262.0,48.0,77.0
2017-12-03T08:09:00Z,2.01,247.0,4.0,4.0,253.0,46.99,80.0
2017-12-03T09:09:00Z,1.01,203.0,4.99,4.99,263.0,46.99,80.0
2017-12-03T10:09:00Z,1.01,256.0,3.0,3.0,252.0,45.0,82.0
2017-12-03T11:09:00Z,0.0,,4.0,4.0,258.0,45.0,83.0
2017-12-03T12:09:00Z,0.0,,3.0,3.0,239.0,45.0,83.0
2017-12-03T13:09:00Z,2.01,239.0,4.99,4.99,255.0,45.0,81.0
2017-12-03T14:09:00Z,1.01,270.0,4.0,4.0,243.0,44.01,84.0
2017-12-03T15:09:00Z,1.01,253.0,3.0,3.0,247.0,45.0,82.0
2017-12-03T16:09:00Z,0.0,,4.0,4.0,27.0,48.99,75.0
2017-12-03T17:09:00Z,0.0,,3.0,3.0,96.0,57.0,59.0
2017-12-03T18:09:00Z,1.01,151.0,4.0,4.0,137.0,66.0,44.0
2017-12-03T19:09:00Z,4.0,96.0,7.0,7.0,102.0,68.0,44.0
2017-12-03T20:09:00Z,4.0,107.0,8.01,8.01,97.0,71.01,40.0
2017-12-03T21:09:00Z,4.0,102.0,8.99,8.99,96.0,72.0,41.0
2017-12-03T22:09:00Z,3.0,115.0,7.0,7.0,222.0,72.0,46.0
2017-12-03T23:09:00Z,4.99,214.0,8.99,8.99,233.0,69.01,50.0
2017-12-04T00:09:00Z,2.01,31.0,5.99,5.99,192.0,62.01,59.0
2017-12-04T01:09:00Z,4.0,259.0,5.99,5.99,250.0,55.99,68.0
2017-12-04T02:09:00Z,4.0,259.0,5.99,5.99,256.0,53.01,72.0
2017-12-04T03:09:00Z,3.0,242.0,5.99,5.99,260.0,52.0,73.0
2017-12-04T04:09:00Z,4.99,258.0,7.0,7.0,255.0,48.99,76.0
2017-12-04T05:09:00Z,3.0,261.0,8.01,8.01,254.0,48.0,78.0
2017-12-04T06:09:00Z,3.0,252.0,5.99,5.99,250.0,44.01,79.0
2017-12-04T07:09:00Z,3.0,246.0,7.0,7.0,254.0,43.0,78.0
2017-12-04T08:09:00Z,2.01,252.0,4.99,4.99,240.0,42.01,78.0
2017-12-04T09:09:00Z,1.01,256.0,4.0,4.0,242.0,41.0,78.0
2017-12-04T10:09:00Z,4.0,255.0,4.0,4.0,243.0,42.01,75.0
2017-12-04T11:09:00Z,0.0,,4.99,4.99,249.0,39.99,79.0
2017-12-04T12:09:00Z,4.99,260.0,7.0,7.0,259.0,43.0,67.0
2017-12-04T13:09:00Z,0.0,,4.99,4.99,249.0,39.0,77.0
2017-12-04T14:09:00Z,3.0,263.0,7.0,7.0,256.0,39.0,78.0
2017-12-04T15:09:00Z,1.01,255.0,4.99,4.99,258.0,37.99,79.0
2017-12-04T16:09:00Z,2.01,114.0,4.99,4.99,252.0,44.01,70.0
2017-12-04T17:09:00Z,0.0,,4.0,4.0,41.0,55.99,43.0
2017-12-04T18:09:00Z,2.01,112.0,4.99,4.99,101.0,62.01,36.0
2017-12-04T19:09:00Z,3.0,121.0,7.0,7.0,88.0,66.0,34.0
2017-12-04T20:09:00Z,2.01,98.0,7.0,7.0,107.0,69.01,23.0
2017-12-04T21:09:00Z,8.01,223.0,14.0,14.0,218.0,66.0,47.0
2017-12-04T22:09:00Z,5.99,239.0,13.0,13.0,236.0,66.0,38.0
2017-12-04T23:09:00Z,4.99,240.0,12.01,12.01,239.0,64.99,37.0
2017-12-05T00:09:00Z,4.0,262.0,5.99,5.99,267.0,57.0,46.0
2017-12-05T01:09:00Z,2.01,99.0,7.0,7.0,259.0,55.0,29.0
2017-12-05T02:09:00Z,3.0,242.0,10.0,10.0,41.0,51.01,22.0
2017-12-05T03:09:00Z,5.99,49.0,17.0,17.0,35.0,59.0,11.0
2017-12-05T04:09:00Z,4.99,56.0,18.99,18.99,32.0,57.99,10.0
2017-12-05T05:09:00Z,4.99,70.0,15.99,15.99,35.0,57.99,10.0
2017-12-05T06:09:00Z,8.01,32.0,20.0,20.0,37.0,59.0,9.0
2017-12-05T07:09:00Z,11.01,33.0,23.0,23.0,16.0,60.01,8.0
2017-12-05T08:09:00Z,10.0,49.0,28.99,28.99,33.0,60.01,8.0
2017-12-05T09:09:00Z,10.0,46.0,25.99,25.99,18.0,59.0,8.0
2017-12-05T10:09:00Z,10.0,50.0,28.01,28.01,48.0,59.0,9.0
2017-12-05T11:09:00Z,8.99,40.0,24.0,24.0,23.0,59.0,9.0
2017-12-05T12:09:00Z,4.0,82.0,24.0,24.0,32.0,57.0,10.0
2017-12-05T13:09:00Z,10.0,56.0,32.99,32.99,2.0,57.99,9.0
2017-12-05T14:09:00Z,10.0,24.0,25.99,25.99,36.0,59.0,8.0
2017-12-05T15:09:00Z,8.99,34.0,27.0,27.0,24.0,59.0,8.0
2017-12-05T16:09:00Z,12.01,32.0,24.99,24.99,34.0,59.0,8.0
2017-12-05T17:09:00Z,11.01,24.0,23.0,23.0,43.0,61.0,8.0
2017-12-05T18:09:00Z,12.01,36.0,24.0,24.0,359.0,63.0,8.0
2017-12-05T19:09:00Z,8.01,39.0,22.01,22.01,23.0,63.0,7.0
2017-12-05T20:09:00Z,8.99,28.0,20.0,20.0,33.0,64.99,7.0
2017-12-05T21:09:00Z,4.0,72.0,15.99,15.99,21.0,66.0,7.0
2017-12-05T22:09:00Z,1.01,276.0,14.99,14.99,203.0,64.0,15.0
2017-12-05T23:09:00Z,3.0,280.0,13.0,13.0,234.0,61.0,17.0
2017-12-06T00:09:00Z,4.99,278.0,10.0,10.0,25.0,60.01,12.0
2017-12-06T01:09:00Z,3.0,257.0,8.01,8.01,256.0,52.0,15.0
2017-12-06T02:09:00Z,3.0,258.0,8.01,8.01,268.0,53.01,14.0
2017-12-06T03:09:00Z,4.99,256.0,10.0,10.0,245.0,52.0,13.0
2017-12-06T04:09:00Z,3.0,216.0,8.99,8.99,258.0,48.99,15.0
2017-12-06T05:09:00Z,2.01,251.0,4.99,4.99,277.0,46.0,18.0
2017-12-06T06:09:00Z,3.0,249.0,4.99,4.99,281.0,43.0,21.0
2017-12-06T07:09:00Z,4.0,255.0,7.0,7.0,262.0,44.01,20.0
2017-12-06T08:09:00Z,4.0,204.0,7.0,7.0,16.0,46.0,17.0
2017-12-06T09:09:00Z,3.0,257.0,8.01,8.01,251.0,43.0,21.0
2017-12-06T10:09:00Z,2.01,274.0,4.99,4.99,246.0,41.0,22.0
2017-12-06T11:09:00Z,1.01,222.0,4.99,4.99,258.0,39.99,24.0
2017-12-06T12:09:00Z,2.01,262.0,5.99,5.99,243.0,39.99,24.0
2017-12-06T13:09:00Z,1.01,295.0,4.0,4.0,233.0,37.99,26.0
2017-12-06T14:09:00Z,1.01,285.0,4.0,4.0,239.0,39.0,27.0
2017-12-06T15:09:00Z,3.0,213.0,7.0,7.0,250.0,39.99,25.0
2017-12-06T16:09:00Z,1.01,218.0,7.0,7.0,255.0,41.0,27.0
2017-12-06T17:09:00Z,2.01,271.0,4.0,4.0,244.0,46.0,28.0
2017-12-06T18:09:00Z,0.0,,4.99,4.99,259.0,52.0,25.0
2017-12-06T19:09:00Z,1.01,251.0,3.0,3.0,258.0,57.0,19.0
2017-12-06T20:09:00Z,0.0,,2.01,2.01,92.0,62.01,14.0
2017-12-06T21:09:00Z,0.0,,0.0,0.0,160.0,64.99,15.0
2017-12-06T22:09:00Z,1.01,216.0,3.0,3.0,116.0,62.01,21.0
2017-12-06T23:09:00Z,1.01,254.0,4.0,4.0,256.0,57.99,23.0
