datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:55:00Z,5.99,286.0,12.01,12.01,272.0,66.99,45.0
2017-12-03T01:55:00Z,5.99,273.0,12.01,12.01,278.0,64.0,52.0
2017-12-03T02:55:00Z,2.01,272.0,10.0,10.0,274.0,61.0,58.0
2017-12-03T03:55:00Z,2.01,278.0,4.99,4.99,288.0,59.0,64.0
2017-12-03T04:55:00Z,4.0,74.0,5.99,5.99,78.0,57.0,66.0
2017-12-03T05:55:00Z,2.01,47.0,4.99,4.99,48.0,55.99,69.0
2017-12-03T06:55:00Z,3.0,54.0,4.0,4.0,73.0,55.0,69.0
2017-12-03T07:55:00Z,3.0,61.0,5.99,5.99,69.0,54.0,67.0
2017-12-03T08:55:00Z,2.01,67.0,4.0,4.0,83.0,53.01,69.0
2017-12-03T09:55:00Z,1.01,352.0,4.0,4.0,142.0,51.01,74.0
2017-12-03T10:55:00Z,2.01,306.0,3.0,3.0,298.0,51.01,75.0
2017-12-03T11:55:00Z,0.0,,4.0,4.0,109.0,48.0,77.0
2017-12-03T12:55:00Z,2.01,295.0,3.0,3.0,345.0,50.0,74.0
2017-12-03T13:55:00Z,0.0,,3.0,3.0,188.0,48.0,79.0
2017-12-03T14:55:00Z,2.01,34.0,5.99,5.99,65.0,48.0,77.0
2017-12-03T15:55:00Z,3.0,62.0,7.0,7.0,75.0,51.01,73.0
2017-12-03T16:55:00Z,2.01,97.0,4.99,4.99,53.0,57.0,63.0
2017-12-03T17:55:00Z,1.01,112.0,7.0,7.0,79.0,63.0,52.0
2017-12-03T18:55:00Z,4.0,182.0,7.0,7.0,176.0,66.99,37.0
2017-12-03T19:55:00Z,4.0,175.0,8.01,8.01,185.0,70.0,28.0
2017-12-03T20:55:00Z,4.99,198.0,11.01,11.01,199.0,71.01,36.0
2017-12-03T21:55:00Z,4.99,253.0,11.01,11.01,214.0,72.0,36.0
2017-12-03T22:55:00Z,5.99,72.0,10.0,10.0,37.0,69.01,33.0
2017-12-03T23:55:00Z,3.0,38.0,11.01,11.01,59.0,66.99,39.0
2017-12-04T00:55:00Z,0.0,,8.99,8.99,178.0,59.0,44.0
2017-12-04T01:55:00Z,3.0,156.0,4.99,4.99,201.0,55.0,50.0
2017-12-04T02:55:00Z,2.01,179.0,4.0,4.0,169.0,52.0,53.0
2017-12-04T03:55:00Z,1.01,217.0,4.99,4.99,174.0,50.0,56.0
2017-12-04T04:55:00Z,0.0,,2.01,2.01,232.0,50.0,57.0
2017-12-04T05:55:00Z,0.0,,3.0,3.0,271.0,48.99,56.0
2017-12-04T06:55:00Z,0.0,,3.0,3.0,56.0,48.0,59.0
2017-12-04T07:55:00Z,10.0,32.0,21.0,21.0,36.0,51.01,48.0
2017-12-04T08:55:00Z,3.0,73.0,20.0,20.0,52.0,50.0,48.0
2017-12-04T09:55:00Z,7.0,50.0,14.99,14.99,53.0,51.01,43.0
2017-12-04T10:55:00Z,8.01,39.0,14.0,14.0,28.0,52.0,39.0
2017-12-04T11:55:00Z,8.01,38.0,12.01,12.01,30.0,51.01,41.0
2017-12-04T12:55:00Z,11.01,42.0,21.0,21.0,35.0,52.0,36.0
2017-12-04T13:55:00Z,10.0,50.0,18.01,18.01,57.0,50.0,41.0
2017-12-04T14:55:00Z,11.01,42.0,20.0,20.0,67.0,51.01,29.0
2017-12-04T15:55:00Z,12.01,38.0,30.0,30.0,49.0,52.0,23.0
2017-12-04T16:55:00Z,20.0,38.0,41.0,41.0,46.0,54.0,18.0
2017-12-04T17:55:00Z,22.01,51.0,42.99,42.99,51.0,55.0,16.0
2017-12-04T18:55:00Z,21.0,38.0,40.0,40.0,34.0,55.99,14.0
2017-12-04T19:55:00Z,21.0,41.0,38.01,38.01,34.0,57.99,12.0
2017-12-04T20:55:00Z,17.0,44.0,38.99,38.99,61.0,60.01,11.0
2017-12-04T21:55:00Z,20.0,48.0,34.0,34.0,34.0,60.01,9.0
2017-12-04T22:55:00Z,18.01,40.0,32.99,32.99,34.0,61.0,10.0
2017-12-04T23:55:00Z,17.0,48.0,32.99,32.99,44.0,60.01,9.0
