datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:59:00Z,15.99,36.0,23.0,23.0,181.0,55.99,46.0
2017-12-03T01:59:00Z,15.99,35.0,20.0,20.0,32.0,54.0,55.0
2017-12-03T02:59:00Z,15.99,35.0,22.01,22.01,32.0,53.01,57.0
2017-12-03T03:59:00Z,17.0,35.0,20.0,20.0,32.0,53.01,53.0
2017-12-03T04:59:00Z,18.01,38.0,22.01,22.01,32.0,52.0,58.0
2017-12-03T05:59:00Z,18.99,47.0,28.99,28.99,32.0,51.01,59.0
2017-12-03T06:59:00Z,22.01,152.0,28.99,28.99,192.0,51.01,58.0
2017-12-03T07:59:00Z,27.0,174.0,35.99,35.99,184.0,50.0,62.0
2017-12-03T08:59:00Z,25.99,178.0,35.99,35.99,203.0,48.99,62.0
2017-12-03T09:59:00Z,25.99,176.0,34.0,34.0,32.0,46.99,71.0
2017-12-03T10:59:00Z,24.0,152.0,37.0,37.0,32.0,46.0,85.0
2017-12-03T11:59:00Z,18.99,41.0,30.0,30.0,190.0,46.0,83.0
2017-12-03T12:59:00Z,18.01,40.0,25.99,25.99,32.0,45.0,82.0
2017-12-03T13:59:00Z,11.01,32.0,22.01,22.01,33.0,46.0,65.0
2017-12-03T14:59:00Z,10.0,32.0,17.0,17.0,32.0,46.0,68.0
2017-12-03T15:59:00Z,7.0,32.0,11.01,11.01,33.0,48.99,64.0
2017-12-03T16:59:00Z,2.01,32.0,8.01,8.01,32.0,54.0,45.0
2017-12-03T17:59:00Z,4.0,32.0,13.0,13.0,32.0,53.01,38.0
2017-12-03T18:59:00Z,4.0,32.0,11.01,11.01,32.0,55.0,34.0
2017-12-03T19:59:00Z,13.0,36.0,22.01,22.01,184.0,61.0,31.0
2017-12-03T20:59:00Z,14.99,51.0,23.0,23.0,185.0,61.0,28.0
2017-12-03T21:59:00Z,14.99,38.0,24.99,24.99,31.0,57.99,35.0
2017-12-03T22:59:00Z,14.0,34.0,24.99,24.99,33.0,55.99,42.0
2017-12-03T23:59:00Z,12.01,33.0,20.0,20.0,32.0,53.01,52.0
