datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:55:00Z,4.99,283.0,12.01,12.01,260.0,61.0,71.0
2017-12-03T01:55:00Z,0.0,,8.01,8.01,276.0,61.0,68.0
2017-12-03T02:55:00Z,4.0,8.0,5.99,5.99,6.0,61.0,61.0
2017-12-03T03:55:00Z,5.99,359.0,11.01,11.01,6.0,60.01,59.0
2017-12-03T04:55:00Z,5.99,10.0,10.0,10.0,356.0,59.0,57.0
2017-12-03T05:55:00Z,5.99,6.0,8.99,8.99,7.0,57.99,58.0
2017-12-03T06:55:00Z,4.99,2.0,8.01,8.01,359.0,59.0,61.0
2017-12-03T07:55:00Z,4.99,6.0,7.0,7.0,3.0,59.0,63.0
2017-12-03T08:55:00Z,4.0,355.0,8.01,8.01,0.0,57.0,67.0
2017-12-03T09:55:00Z,5.99,1.0,8.99,8.99,5.0,55.0,71.0
2017-12-03T10:55:00Z,4.99,7.0,10.0,10.0,0.0,54.0,73.0
2017-12-03T11:55:00Z,7.0,5.0,11.01,11.01,16.0,54.0,75.0
2017-12-03T12:55:00Z,7.0,10.0,10.0,10.0,5.0,53.01,76.0
2017-12-03T13:55:00Z,7.0,3.0,12.01,12.01,1.0,55.0,72.0
2017-12-03T14:55:00Z,5.99,13.0,13.0,13.0,1.0,53.01,73.0
2017-12-03T15:55:00Z,5.99,10.0,11.01,11.01,355.0,57.99,65.0
2017-12-03T16:55:00Z,1.01,120.0,10.0,10.0,9.0,64.99,66.0
2017-12-03T17:55:00Z,3.0,174.0,4.99,4.99,175.0,64.0,75.0
2017-12-03T18:55:00Z,3.0,162.0,7.0,7.0,233.0,64.99,73.0
2017-12-03T19:55:00Z,5.99,229.0,8.01,8.01,255.0,64.99,71.0
2017-12-03T20:55:00Z,8.01,242.0,12.01,12.01,248.0,64.99,69.0
2017-12-03T21:55:00Z,8.99,247.0,13.0,13.0,247.0,64.99,63.0
2017-12-03T22:55:00Z,8.99,245.0,13.0,13.0,244.0,66.0,62.0
2017-12-03T23:55:00Z,8.99,252.0,14.99,14.99,255.0,63.0,68.0
2017-12-04T00:55:00Z,7.0,269.0,13.0,13.0,273.0,61.0,69.0
2017-12-04T01:55:00Z,3.0,329.0,10.0,10.0,266.0,59.0,69.0
2017-12-04T02:55:00Z,4.99,357.0,7.0,7.0,354.0,57.0,65.0
2017-12-04T03:55:00Z,7.0,5.0,8.99,8.99,3.0,55.0,68.0
2017-12-04T04:55:00Z,7.0,4.0,10.0,10.0,3.0,55.0,68.0
2017-12-04T05:55:00Z,5.99,5.0,11.01,11.01,4.0,53.01,73.0
2017-12-04T06:55:00Z,4.99,18.0,10.0,10.0,11.0,52.0,75.0
2017-12-04T07:55:00Z,4.99,23.0,12.01,12.01,2.0,52.0,75.0
2017-12-04T08:55:00Z,4.0,357.0,10.0,10.0,1.0,55.0,79.0
2017-12-04T09:55:00Z,4.99,3.0,8.01,8.01,0.0,54.0,84.0
2017-12-04T10:55:00Z,5.99,1.0,8.99,8.99,6.0,52.0,84.0
2017-12-04T11:55:00Z,7.0,3.0,10.0,10.0,6.0,50.0,71.0
