datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:54:00Z,0.0,,10.0,10.0,203.0,66.0,46.0
2017-12-03T01:54:00Z,4.0,52.0,4.99,4.99,50.0,61.0,48.0
2017-12-03T02:54:00Z,5.99,56.0,8.01,8.01,53.0,57.99,52.0
2017-12-03T03:54:00Z,4.99,64.0,7.0,7.0,55.0,57.0,52.0
2017-12-03T04:54:00Z,4.0,60.0,7.0,7.0,43.0,55.99,53.0
2017-12-03T05:54:00Z,3.0,22.0,5.99,5.99,53.0,55.0,56.0
2017-12-03T06:54:00Z,4.0,44.0,7.0,7.0,52.0,54.0,55.0
2017-12-03T07:54:00Z,3.0,44.0,5.99,5.99,56.0,54.0,56.0
2017-12-03T08:54:00Z,5.99,58.0,7.0,7.0,61.0,51.01,60.0
2017-12-03T09:54:00Z,4.0,49.0,7.0,7.0,57.0,51.01,61.0
2017-12-03T10:54:00Z,5.99,53.0,7.0,7.0,43.0,50.0,64.0
2017-12-03T11:54:00Z,5.99,58.0,8.01,8.01,63.0,50.0,65.0
2017-12-03T12:54:00Z,5.99,56.0,7.0,7.0,58.0,50.0,68.0
2017-12-03T13:54:00Z,3.0,59.0,7.0,7.0,53.0,50.0,71.0
2017-12-03T14:54:00Z,5.99,51.0,7.0,7.0,50.0,48.0,74.0
2017-12-03T15:54:00Z,2.01,48.0,7.0,7.0,66.0,53.01,68.0
2017-12-03T16:54:00Z,2.01,113.0,4.99,4.99,66.0,63.0,51.0
2017-12-03T17:54:00Z,5.99,196.0,8.01,8.01,184.0,64.0,51.0
2017-12-03T18:54:00Z,7.0,188.0,10.0,10.0,197.0,64.99,50.0
2017-12-03T19:54:00Z,5.99,204.0,11.01,11.01,209.0,66.0,49.0
2017-12-03T20:54:00Z,5.99,204.0,13.0,13.0,172.0,68.0,45.0
2017-12-03T21:54:00Z,5.99,195.0,12.01,12.01,203.0,68.0,48.0
2017-12-03T22:54:00Z,4.99,200.0,11.01,11.01,216.0,66.99,52.0
2017-12-03T23:54:00Z,4.0,227.0,11.01,11.01,207.0,64.0,53.0
2017-12-04T00:54:00Z,2.01,233.0,7.0,7.0,204.0,60.01,61.0
2017-12-04T01:54:00Z,4.0,55.0,4.99,4.99,61.0,55.0,69.0
2017-12-04T02:54:00Z,4.0,52.0,5.99,5.99,54.0,52.0,72.0
2017-12-04T03:54:00Z,4.0,34.0,5.99,5.99,45.0,50.0,75.0
2017-12-04T04:54:00Z,2.01,21.0,5.99,5.99,51.0,53.01,59.0
2017-12-04T05:54:00Z,4.0,46.0,4.99,4.99,57.0,53.01,56.0
2017-12-04T06:54:00Z,2.01,23.0,5.99,5.99,7.0,52.0,51.0
2017-12-04T07:54:00Z,3.0,35.0,7.0,7.0,61.0,50.0,62.0
2017-12-04T08:54:00Z,2.01,25.0,5.99,5.99,60.0,46.99,66.0
2017-12-04T09:54:00Z,4.0,40.0,5.99,5.99,43.0,46.0,68.0
2017-12-04T10:54:00Z,4.99,50.0,5.99,5.99,2.0,46.0,57.0
2017-12-04T11:54:00Z,4.99,56.0,5.99,5.99,60.0,45.0,52.0
2017-12-04T12:54:00Z,5.99,56.0,8.01,8.01,50.0,45.0,53.0
2017-12-04T13:54:00Z,3.0,25.0,7.0,7.0,46.0,43.0,55.0
2017-12-04T14:54:00Z,4.0,43.0,7.0,7.0,54.0,45.0,59.0
2017-12-04T15:54:00Z,3.0,29.0,13.0,13.0,37.0,53.01,22.0
2017-12-04T16:54:00Z,8.01,30.0,20.0,20.0,48.0,61.0,10.0
2017-12-04T17:54:00Z,8.99,26.0,20.0,20.0,53.0,63.0,10.0
2017-12-04T18:54:00Z,8.99,26.0,22.01,22.01,17.0,64.0,9.0
2017-12-04T19:54:00Z,12.01,11.0,27.0,27.0,3.0,64.0,9.0
2017-12-04T20:54:00Z,11.01,13.0,25.99,25.99,9.0,64.0,9.0
