datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:56:00Z,1.01,123.0,15.99,15.99,186.0,63.0,67.0
2017-12-03T01:56:00Z,3.0,60.0,5.99,5.99,104.0,60.01,72.0
2017-12-03T02:56:00Z,0.0,,3.0,3.0,271.0,57.0,74.0
2017-12-03T03:56:00Z,2.01,327.0,3.0,3.0,293.0,54.0,75.0
2017-12-03T04:56:00Z,0.0,,2.01,2.01,12.0,52.0,77.0
2017-12-03T05:56:00Z,0.0,,2.01,2.01,215.0,48.99,82.0
2017-12-03T06:56:00Z,0.0,,3.0,3.0,39.0,48.0,85.0
2017-12-03T07:56:00Z,2.01,96.0,3.0,3.0,0.0,46.0,87.0
2017-12-03T08:56:00Z,0.0,,2.01,2.01,307.0,44.01,89.0
2017-12-03T09:56:00Z,1.01,46.0,4.99,4.99,92.0,42.01,91.0
2017-12-03T10:56:00Z,0.0,,3.0,3.0,286.0,41.0,93.0
2017-12-03T11:56:00Z,2.01,94.0,4.0,4.0,102.0,39.99,94.0
2017-12-03T12:56:00Z,2.01,24.0,3.0,3.0,359.0,39.0,95.0
2017-12-03T13:56:00Z,0.0,,3.0,3.0,18.0,39.0,96.0
2017-12-03T14:56:00Z,0.0,,2.01,2.01,351.0,37.99,96.0
2017-12-03T15:56:00Z,1.01,342.0,4.0,4.0,359.0,39.0,95.0
2017-12-03T16:56:00Z,1.01,349.0,3.0,3.0,184.0,50.0,79.0
2017-12-03T17:56:00Z,1.01,200.0,3.0,3.0,198.0,61.0,59.0
2017-12-03T18:56:00Z,10.0,181.0,15.99,15.99,180.0,68.0,54.0
2017-12-03T19:56:00Z,11.01,179.0,18.01,18.01,183.0,70.0,50.0
2017-12-03T20:56:00Z,12.01,177.0,20.0,20.0,181.0,70.0,52.0
2017-12-03T21:56:00Z,12.01,183.0,20.0,20.0,178.0,70.0,54.0
2017-12-03T22:56:00Z,14.0,180.0,21.0,21.0,182.0,66.99,60.0
2017-12-03T23:56:00Z,10.0,186.0,20.0,20.0,177.0,62.01,67.0
2017-12-04T00:56:00Z,4.99,181.0,18.99,18.99,183.0,59.0,80.0
2017-12-04T01:56:00Z,1.01,191.0,8.01,8.01,177.0,55.0,86.0
2017-12-04T02:56:00Z,2.01,270.0,3.0,3.0,260.0,52.0,90.0
2017-12-04T03:56:00Z,0.0,,3.0,3.0,241.0,50.0,92.0
2017-12-04T04:56:00Z,0.0,,2.01,2.01,92.0,46.99,93.0
2017-12-04T05:56:00Z,0.0,,2.01,2.01,184.0,45.0,94.0
2017-12-04T06:56:00Z,0.0,,2.01,2.01,35.0,43.0,95.0
2017-12-04T07:56:00Z,2.01,40.0,4.0,4.0,62.0,41.0,95.0
2017-12-04T08:56:00Z,2.01,306.0,3.0,3.0,332.0,39.99,96.0
2017-12-04T09:56:00Z,1.01,53.0,4.0,4.0,35.0,37.99,97.0
2017-12-04T10:56:00Z,0.0,,3.0,3.0,10.0,37.0,97.0
2017-12-04T11:56:00Z,1.01,64.0,4.0,4.0,68.0,36.0,97.0
2017-12-04T12:56:00Z,0.0,,3.0,3.0,348.0,35.01,97.0
2017-12-04T13:56:00Z,0.0,,2.01,2.01,64.0,35.01,97.0
2017-12-04T14:56:00Z,2.01,8.0,3.0,3.0,17.0,35.01,97.0
2017-12-04T15:56:00Z,1.01,68.0,4.99,4.99,39.0,37.99,95.0
2017-12-04T16:56:00Z,5.99,20.0,18.99,18.99,32.0,57.0,22.0
2017-12-04T17:56:00Z,8.99,33.0,24.99,24.99,24.0,62.01,13.0
2017-12-04T18:56:00Z,13.0,33.0,28.99,28.99,33.0,64.0,11.0
2017-12-04T19:56:00Z,15.99,37.0,27.0,27.0,67.0,64.99,10.0
2017-12-04T20:56:00Z,13.0,31.0,24.0,24.0,359.0,66.0,10.0
2017-12-04T21:56:00Z,8.01,28.0,24.99,24.99,22.0,66.99,10.0
2017-12-04T22:56:00Z,10.0,30.0,27.0,27.0,28.0,66.0,9.0
2017-12-04T23:56:00Z,8.01,15.0,24.99,24.99,28.0,63.0,10.0
2017-12-05T00:56:00Z,8.99,26.0,22.01,22.01,18.0,60.01,10.0
2017-12-05T01:56:00Z,10.0,38.0,23.0,23.0,58.0,59.0,9.0
2017-12-05T02:56:00Z,4.0,12.0,15.99,15.99,31.0,57.99,9.0
2017-12-05T03:56:00Z,4.0,327.0,24.0,24.0,26.0,57.0,10.0
2017-12-05T04:56:00Z,4.0,27.0,21.0,21.0,15.0,57.0,11.0
2017-12-05T05:56:00Z,7.0,51.0,18.99,18.99,24.0,57.0,11.0
