datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:56:00Z,4.99,281.0,8.01,8.01,253.0,62.01,57.0
2017-12-03T01:56:00Z,0.0,,4.99,4.99,286.0,63.0,50.0
2017-12-03T02:56:00Z,0.0,,3.0,3.0,154.0,64.0,43.0
2017-12-03T03:56:00Z,1.01,113.0,3.0,3.0,138.0,63.0,56.0
2017-12-03T04:56:00Z,1.01,57.0,3.0,3.0,126.0,62.01,56.0
2017-12-03T05:56:00Z,2.01,239.0,3.0,3.0,231.0,60.01,61.0
2017-12-03T06:56:00Z,0.0,,2.01,2.01,259.0,59.0,64.0
2017-12-03T07:56:00Z,0.0,,2.01,2.01,130.0,57.99,65.0
2017-12-03T08:56:00Z,1.01,103.0,3.0,3.0,164.0,57.0,64.0
2017-12-03T09:56:00Z,3.0,183.0,4.0,4.0,200.0,57.99,59.0
2017-12-03T10:56:00Z,2.01,19.0,4.0,4.0,197.0,55.99,62.0
2017-12-03T11:56:00Z,3.0,138.0,4.0,4.0,145.0,55.99,58.0
2017-12-03T12:56:00Z,2.01,141.0,4.99,4.99,142.0,55.99,57.0
2017-12-03T13:56:00Z,1.01,163.0,4.0,4.0,173.0,55.0,59.0
2017-12-03T14:56:00Z,1.01,154.0,3.0,3.0,156.0,55.0,58.0
2017-12-03T15:56:00Z,2.01,60.0,3.0,3.0,60.0,57.99,51.0
2017-12-03T16:56:00Z,3.0,143.0,5.99,5.99,158.0,63.0,55.0
2017-12-03T17:56:00Z,4.0,175.0,8.01,8.01,237.0,63.0,58.0
2017-12-03T18:56:00Z,1.01,258.0,8.01,8.01,149.0,64.99,59.0
2017-12-03T19:56:00Z,4.99,207.0,8.99,8.99,170.0,64.0,60.0
2017-12-03T20:56:00Z,4.99,220.0,10.0,10.0,181.0,62.01,69.0
2017-12-03T21:56:00Z,3.0,280.0,11.01,11.01,207.0,64.99,63.0
2017-12-03T22:56:00Z,1.01,272.0,10.0,10.0,244.0,64.0,72.0
2017-12-03T23:56:00Z,3.0,288.0,4.99,4.99,295.0,61.0,76.0
2017-12-04T00:56:00Z,1.01,315.0,3.0,3.0,355.0,55.0,91.0
2017-12-04T01:56:00Z,0.0,,4.99,4.99,187.0,54.0,93.0
2017-12-04T02:56:00Z,1.01,65.0,4.0,4.0,100.0,55.0,85.0
2017-12-04T03:56:00Z,0.0,,3.0,3.0,22.0,55.0,78.0
2017-12-04T04:56:00Z,2.01,72.0,10.0,10.0,35.0,57.0,61.0
2017-12-04T05:56:00Z,3.0,34.0,10.0,10.0,38.0,57.0,51.0
2017-12-04T06:56:00Z,4.0,43.0,10.0,10.0,24.0,57.0,53.0
2017-12-04T07:56:00Z,8.99,29.0,17.0,17.0,28.0,55.99,45.0
2017-12-04T08:56:00Z,15.99,21.0,28.01,28.01,26.0,57.0,36.0
2017-12-04T09:56:00Z,12.01,33.0,24.0,24.0,17.0,55.99,33.0
2017-12-04T10:56:00Z,10.0,41.0,25.99,25.99,35.0,54.0,35.0
2017-12-04T11:56:00Z,21.0,22.0,28.99,28.99,10.0,53.01,38.0
2017-12-04T12:56:00Z,18.99,28.0,30.0,30.0,28.0,53.01,31.0
2017-12-04T13:56:00Z,22.01,20.0,31.0,31.0,30.0,54.0,21.0
2017-12-04T14:56:00Z,23.0,14.0,34.99,34.99,34.0,53.01,18.0
2017-12-04T15:56:00Z,25.99,18.0,44.0,44.0,35.0,54.0,15.0
2017-12-04T16:56:00Z,25.99,16.0,40.0,40.0,0.0,55.99,13.0
2017-12-04T17:56:00Z,25.99,19.0,41.0,41.0,30.0,57.0,12.0
2017-12-04T18:56:00Z,28.01,19.0,42.99,42.99,29.0,59.0,11.0
2017-12-04T19:56:00Z,24.99,18.0,44.98,44.98,17.0,60.01,10.0
2017-12-04T20:56:00Z,24.0,26.0,42.99,42.99,18.0,60.01,10.0
2017-12-04T21:56:00Z,22.01,29.0,44.98,44.98,26.0,61.0,10.0
2017-12-04T22:56:00Z,20.0,17.0,38.01,38.01,26.0,61.0,10.0
2017-12-04T23:56:00Z,30.0,21.0,45.99,45.99,22.0,59.0,9.0
2017-12-05T00:56:00Z,30.0,23.0,44.0,44.0,25.0,57.0,10.0
2017-12-05T01:56:00Z,31.0,26.0,48.0,48.0,24.0,55.0,9.0
2017-12-05T02:56:00Z,32.99,25.0,45.99,45.99,22.0,55.0,8.0
2017-12-05T03:56:00Z,34.0,23.0,50.0,50.0,26.0,55.0,9.0
2017-12-05T04:56:00Z,37.0,24.0,51.0,51.0,7.0,54.0,10.0
2017-12-05T05:56:00Z,37.0,29.0,54.0,54.0,17.0,55.0,10.0
2017-12-05T06:56:00Z,34.99,25.0,53.02,53.02,21.0,54.0,9.0
2017-12-05T07:56:00Z,34.0,26.0,54.0,54.0,23.0,54.0,10.0
2017-12-05T08:56:00Z,31.0,19.0,52.01,52.01,29.0,53.01,10.0
2017-12-05T09:56:00Z,34.0,21.0,54.0,54.0,16.0,53.01,11.0
2017-12-05T10:56:00Z,34.0,25.0,55.01,55.01,35.0,52.0,12.0
2017-12-05T11:56:00Z,38.01,25.0,55.01,55.01,35.0,51.01,12.0
2017-12-05T12:56:00Z,38.01,19.0,57.0,57.0,31.0,51.01,13.0
2017-12-05T13:56:00Z,41.0,17.0,59.99,59.99,28.0,51.01,13.0
2017-12-05T14:56:00Z,40.0,24.0,57.0,57.0,21.0,51.01,12.0
2017-12-05T15:56:00Z,38.99,25.0,57.0,57.0,31.0,52.0,12.0
2017-12-05T16:56:00Z,35.99,20.0,54.0,54.0,11.0,53.01,11.0
2017-12-05T17:56:00Z,32.99,27.0,55.01,55.01,16.0,55.0,10.0
2017-12-05T18:56:00Z,34.0,2.0,48.0,48.0,1.0,55.99,10.0
2017-12-05T19:56:00Z,28.99,25.0,54.0,54.0,341.0,57.99,9.0
2017-12-05T20:56:00Z,27.0,358.0,51.0,51.0,355.0,57.99,9.0
2017-12-05T21:56:00Z,32.01,25.0,50.0,50.0,54.0,59.0,8.0
2017-12-05T22:56:00Z,38.01,29.0,57.0,57.0,19.0,59.0,8.0
2017-12-05T23:56:00Z,34.99,22.0,61.0,61.0,32.0,59.0,7.0
2017-12-06T00:56:00Z,34.0,25.0,55.01,55.01,29.0,57.99,7.0
2017-12-06T01:56:00Z,28.01,36.0,57.0,57.0,30.0,57.99,6.0
2017-12-06T02:56:00Z,24.99,36.0,47.0,47.0,39.0,57.99,5.0
2017-12-06T03:56:00Z,28.99,34.0,49.01,49.01,31.0,59.0,5.0
2017-12-06T04:56:00Z,28.01,39.0,48.0,48.0,28.0,59.0,5.0
2017-12-06T05:56:00Z,28.99,34.0,50.0,50.0,44.0,60.01,5.0
2017-12-06T06:56:00Z,18.99,43.0,45.99,45.99,54.0,60.01,5.0
2017-12-06T07:56:00Z,14.99,30.0,32.99,32.99,24.0,59.0,5.0
2017-12-06T08:56:00Z,25.99,23.0,34.0,34.0,26.0,59.0,6.0
2017-12-06T09:56:00Z,28.99,19.0,40.0,40.0,22.0,59.0,7.0
2017-12-06T10:56:00Z,32.99,18.0,44.98,44.98,11.0,57.99,8.0
2017-12-06T11:56:00Z,35.99,17.0,54.0,54.0,21.0,59.0,7.0
2017-12-06T12:56:00Z,35.99,12.0,50.0,50.0,16.0,57.99,8.0
2017-12-06T13:56:00Z,38.99,19.0,55.01,55.01,21.0,57.99,7.0
2017-12-06T14:56:00Z,40.0,22.0,59.99,59.99,25.0,59.0,7.0
2017-12-06T15:56:00Z,34.99,27.0,51.0,51.0,22.0,61.0,7.0
2017-12-06T16:56:00Z,32.99,26.0,49.01,49.01,28.0,63.0,7.0
2017-12-06T17:56:00Z,31.0,21.0,45.99,45.99,30.0,66.0,7.0
2017-12-06T18:56:00Z,28.99,23.0,47.0,47.0,29.0,68.0,7.0
2017-12-06T19:56:00Z,25.99,31.0,44.0,44.0,33.0,69.01,7.0
2017-12-06T20:56:00Z,27.0,30.0,44.98,44.98,28.0,70.0,5.0
2017-12-06T21:56:00Z,28.01,22.0,44.98,44.98,27.0,70.0,7.0
2017-12-06T22:56:00Z,22.01,16.0,37.0,37.0,24.0,70.0,7.0
2017-12-06T23:56:00Z,24.99,19.0,44.0,44.0,345.0,69.01,7.0
2017-12-07T00:56:00Z,22.01,24.0,44.98,44.98,33.0,66.0,9.0
2017-12-07T01:56:00Z,20.0,43.0,37.0,37.0,16.0,66.0,9.0
2017-12-07T02:56:00Z,11.01,42.0,35.99,35.99,47.0,64.99,10.0
2017-12-07T03:56:00Z,31.0,30.0,53.02,53.02,21.0,64.99,10.0
2017-12-07T04:56:00Z,34.0,23.0,54.0,54.0,15.0,64.99,10.0
2017-12-07T05:56:00Z,32.99,19.0,50.0,50.0,22.0,64.99,10.0
2017-12-07T06:56:00Z,35.99,26.0,51.0,51.0,29.0,64.99,8.0
2017-12-07T07:56:00Z,32.99,25.0,50.0,50.0,21.0,64.99,7.0
2017-12-07T08:56:00Z,34.99,24.0,44.98,44.98,22.0,64.0,7.0
2017-12-07T09:56:00Z,31.0,22.0,48.0,48.0,19.0,64.0,7.0
2017-12-07T10:56:00Z,34.0,24.0,49.01,49.01,21.0,64.0,7.0
2017-12-07T11:56:00Z,31.0,24.0,44.0,44.0,13.0,63.0,7.0
2017-12-07T12:56:00Z,35.99,18.0,51.0,51.0,26.0,63.0,8.0
2017-12-07T13:56:00Z,44.98,18.0,58.0,58.0,26.0,63.0,8.0
