datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:07:00Z,0.0,,4.99,4.99,202.0,66.0,47.0
2017-12-03T01:07:00Z,1.01,26.0,4.0,4.0,68.0,59.0,62.0
2017-12-03T02:07:00Z,1.01,48.0,3.0,3.0,56.0,57.0,65.0
2017-12-03T03:07:00Z,2.01,45.0,4.0,4.0,47.0,55.99,64.0
2017-12-03T04:07:00Z,2.01,40.0,4.0,4.0,48.0,54.0,70.0
2017-12-03T05:07:00Z,2.01,55.0,4.0,4.0,33.0,53.01,71.0
2017-12-03T06:07:00Z,2.01,40.0,4.0,4.0,54.0,52.0,72.0
2017-12-03T07:07:00Z,2.01,63.0,3.0,3.0,57.0,51.01,73.0
2017-12-03T08:07:00Z,2.01,39.0,3.0,3.0,46.0,50.0,83.0
2017-12-03T09:07:00Z,2.01,48.0,4.0,4.0,26.0,51.01,76.0
2017-12-03T10:07:00Z,3.0,57.0,4.99,4.99,59.0,52.0,70.0
2017-12-03T11:07:00Z,2.01,57.0,4.0,4.0,50.0,51.01,72.0
2017-12-03T12:07:00Z,3.0,39.0,4.0,4.0,44.0,51.01,72.0
2017-12-03T13:07:00Z,3.0,50.0,4.99,4.99,39.0,51.01,68.0
2017-12-03T14:07:00Z,2.01,42.0,4.0,4.0,45.0,50.0,78.0
2017-12-03T15:07:00Z,2.01,36.0,4.0,4.0,43.0,51.01,75.0
2017-12-03T16:07:00Z,0.0,,4.0,4.0,48.0,53.01,81.0
2017-12-03T17:07:00Z,2.01,210.0,4.0,4.0,222.0,59.0,79.0
2017-12-03T18:07:00Z,3.0,217.0,5.99,5.99,199.0,64.0,65.0
2017-12-03T19:07:00Z,3.0,194.0,7.0,7.0,193.0,66.0,64.0
2017-12-03T20:07:00Z,3.0,173.0,8.01,8.01,221.0,66.99,64.0
2017-12-03T21:07:00Z,3.0,201.0,7.0,7.0,205.0,66.99,58.0
2017-12-03T22:07:00Z,4.0,222.0,8.01,8.01,212.0,66.99,59.0
2017-12-03T23:07:00Z,2.01,168.0,5.99,5.99,220.0,66.99,57.0
2017-12-04T00:07:00Z,2.01,208.0,4.99,4.99,197.0,64.99,64.0
2017-12-04T01:07:00Z,2.01,39.0,3.0,3.0,46.0,57.0,81.0
2017-12-04T02:07:00Z,2.01,106.0,8.01,8.01,248.0,57.99,74.0
2017-12-04T03:07:00Z,5.99,10.0,15.99,15.99,56.0,62.01,30.0
2017-12-04T04:07:00Z,4.99,15.0,18.99,18.99,345.0,61.0,32.0
