datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:47:00Z,1.01,208.0,3.0,3.0,198.0,63.0,49.0
2017-12-03T01:47:00Z,3.0,315.0,4.99,4.99,343.0,62.01,46.0
2017-12-03T02:47:00Z,2.01,239.0,4.99,4.99,348.0,61.0,53.0
2017-12-03T03:47:00Z,1.01,257.0,4.0,4.0,186.0,60.01,48.0
2017-12-03T04:47:00Z,3.0,324.0,5.99,5.99,332.0,62.01,42.0
2017-12-03T05:47:00Z,2.01,172.0,5.99,5.99,345.0,62.01,43.0
2017-12-03T06:47:00Z,1.01,235.0,4.0,4.0,140.0,61.0,44.0
2017-12-03T07:47:00Z,2.01,125.0,5.99,5.99,5.0,61.0,43.0
2017-12-03T08:47:00Z,1.01,69.0,3.0,3.0,136.0,60.01,46.0
2017-12-03T09:47:00Z,2.01,208.0,4.99,4.99,113.0,59.0,47.0
2017-12-03T10:47:00Z,3.0,330.0,4.0,4.0,133.0,57.0,46.0
2017-12-03T11:47:00Z,4.0,121.0,5.99,5.99,116.0,57.0,50.0
2017-12-03T12:47:00Z,5.99,331.0,13.0,13.0,325.0,59.0,43.0
2017-12-03T13:47:00Z,4.99,15.0,14.0,14.0,303.0,57.99,41.0
2017-12-03T14:47:00Z,3.0,153.0,14.99,14.99,356.0,55.99,47.0
2017-12-03T15:47:00Z,4.99,180.0,7.0,7.0,189.0,55.0,58.0
2017-12-03T16:47:00Z,2.01,152.0,4.99,4.99,173.0,60.01,51.0
2017-12-03T17:47:00Z,4.99,211.0,8.01,8.01,202.0,62.01,65.0
2017-12-03T18:47:00Z,4.99,198.0,11.01,11.01,208.0,64.0,58.0
2017-12-03T19:47:00Z,5.99,220.0,12.01,12.01,200.0,66.0,59.0
2017-12-03T20:47:00Z,7.0,211.0,11.01,11.01,197.0,66.0,59.0
2017-12-03T21:47:00Z,5.99,216.0,11.01,11.01,207.0,66.0,55.0
2017-12-03T22:47:00Z,5.99,216.0,8.99,8.99,223.0,66.0,56.0
