datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:56:00Z,5.99,182.0,14.0,14.0,174.0,64.0,44.0
2017-12-03T01:56:00Z,8.01,188.0,14.0,14.0,190.0,62.01,51.0
2017-12-03T02:56:00Z,10.0,190.0,13.0,13.0,187.0,60.01,57.0
2017-12-03T03:56:00Z,7.0,194.0,12.01,12.01,187.0,59.0,60.0
2017-12-03T04:56:00Z,4.99,187.0,12.01,12.01,192.0,57.99,61.0
2017-12-03T05:56:00Z,4.0,195.0,12.01,12.01,202.0,59.0,56.0
2017-12-03T06:56:00Z,8.01,190.0,12.01,12.01,197.0,57.0,57.0
2017-12-03T07:56:00Z,8.01,189.0,13.0,13.0,186.0,55.99,68.0
2017-12-03T08:56:00Z,8.99,191.0,15.99,15.99,193.0,54.0,74.0
2017-12-03T09:56:00Z,8.01,196.0,13.0,13.0,194.0,54.0,74.0
2017-12-03T10:56:00Z,11.01,183.0,15.99,15.99,182.0,54.0,75.0
2017-12-03T11:56:00Z,10.0,191.0,18.01,18.01,172.0,53.01,79.0
2017-12-03T12:56:00Z,7.0,192.0,13.0,13.0,196.0,52.0,79.0
2017-12-03T13:56:00Z,5.99,316.0,14.99,14.99,197.0,51.01,74.0
2017-12-03T14:56:00Z,4.99,323.0,10.0,10.0,316.0,52.0,71.0
2017-12-03T15:56:00Z,2.01,334.0,8.01,8.01,301.0,55.99,64.0
2017-12-03T16:56:00Z,4.0,326.0,8.99,8.99,330.0,59.0,59.0
2017-12-03T17:56:00Z,4.99,4.0,8.99,8.99,13.0,62.01,45.0
2017-12-03T18:56:00Z,3.0,301.0,10.0,10.0,16.0,64.0,35.0
2017-12-03T19:56:00Z,2.01,14.0,8.01,8.01,66.0,66.99,26.0
2017-12-03T20:56:00Z,5.99,163.0,13.0,13.0,175.0,72.0,32.0
2017-12-03T21:56:00Z,5.99,175.0,15.99,15.99,192.0,71.01,29.0
2017-12-03T22:56:00Z,7.0,151.0,13.0,13.0,147.0,69.01,39.0
2017-12-03T23:56:00Z,1.01,78.0,11.01,11.01,129.0,60.01,45.0
2017-12-04T00:56:00Z,3.0,1.0,8.99,8.99,319.0,54.0,53.0
2017-12-04T01:56:00Z,1.01,25.0,8.01,8.01,8.0,50.0,58.0
2017-12-04T02:56:00Z,3.0,26.0,17.0,17.0,321.0,48.99,59.0
2017-12-04T03:56:00Z,3.0,14.0,13.0,13.0,301.0,48.0,60.0
2017-12-04T04:56:00Z,3.0,345.0,15.99,15.99,340.0,48.0,58.0
2017-12-04T05:56:00Z,8.99,314.0,20.0,20.0,313.0,48.99,53.0
2017-12-04T06:56:00Z,7.0,311.0,24.0,24.0,305.0,48.99,52.0
2017-12-04T07:56:00Z,4.99,339.0,21.0,21.0,297.0,45.0,62.0
2017-12-04T08:56:00Z,8.99,324.0,21.0,21.0,317.0,46.0,54.0
2017-12-04T09:56:00Z,4.99,341.0,22.01,22.01,334.0,46.0,52.0
2017-12-04T10:56:00Z,8.01,347.0,25.99,25.99,352.0,48.0,46.0
2017-12-04T11:56:00Z,4.99,9.0,27.0,27.0,335.0,46.99,49.0
2017-12-04T12:56:00Z,10.0,349.0,32.99,32.99,329.0,48.99,31.0
2017-12-04T13:56:00Z,12.01,350.0,31.0,31.0,349.0,48.99,22.0
2017-12-04T14:56:00Z,10.0,347.0,32.01,32.01,340.0,48.99,20.0
2017-12-04T15:56:00Z,14.0,1.0,38.99,38.99,309.0,50.0,18.0
2017-12-04T16:56:00Z,17.0,9.0,38.99,38.99,35.0,51.01,17.0
2017-12-04T17:56:00Z,21.0,6.0,58.0,58.0,28.0,52.0,15.0
2017-12-04T18:56:00Z,24.99,8.0,52.01,52.01,36.0,53.01,14.0
2017-12-04T19:56:00Z,25.99,7.0,50.0,50.0,353.0,54.0,14.0
2017-12-04T20:56:00Z,22.01,15.0,49.01,49.01,14.0,55.0,14.0
2017-12-04T21:56:00Z,24.99,10.0,47.0,47.0,13.0,55.0,13.0
2017-12-04T22:56:00Z,30.0,12.0,52.01,52.01,20.0,55.0,12.0
2017-12-04T23:56:00Z,28.01,11.0,51.0,51.0,26.0,54.0,12.0
2017-12-05T00:56:00Z,27.0,9.0,54.0,54.0,46.0,53.01,12.0
2017-12-05T01:56:00Z,28.99,12.0,57.0,57.0,37.0,52.0,12.0
2017-12-05T02:56:00Z,34.0,13.0,54.0,54.0,31.0,51.01,11.0
2017-12-05T03:56:00Z,28.99,11.0,57.0,57.0,10.0,51.01,14.0
2017-12-05T04:56:00Z,28.01,11.0,48.0,48.0,32.0,51.01,13.0
2017-12-05T05:56:00Z,27.0,9.0,55.01,55.01,2.0,51.01,14.0
2017-12-05T06:56:00Z,20.0,13.0,44.98,44.98,10.0,50.0,14.0
2017-12-05T07:56:00Z,27.0,13.0,50.0,50.0,4.0,50.0,14.0
2017-12-05T08:56:00Z,25.99,12.0,53.02,53.02,15.0,48.99,14.0
2017-12-05T09:56:00Z,24.99,9.0,52.01,52.01,359.0,48.99,15.0
2017-12-05T10:56:00Z,13.0,16.0,47.0,47.0,44.0,48.0,16.0
2017-12-05T11:56:00Z,10.0,351.0,34.0,34.0,4.0,46.99,17.0
2017-12-05T12:56:00Z,10.0,354.0,32.01,32.01,329.0,46.0,18.0
2017-12-05T13:56:00Z,13.0,8.0,40.0,40.0,318.0,46.0,18.0
2017-12-05T14:56:00Z,13.0,353.0,35.99,35.99,28.0,46.0,17.0
2017-12-05T15:56:00Z,15.99,9.0,35.99,35.99,54.0,46.99,16.0
2017-12-05T16:56:00Z,23.0,8.0,59.01,59.01,46.0,48.99,15.0
2017-12-05T17:56:00Z,18.99,15.0,55.99,55.99,355.0,51.01,14.0
2017-12-05T18:56:00Z,34.0,9.0,65.01,65.01,21.0,52.0,13.0
2017-12-05T19:56:00Z,34.99,10.0,68.0,68.0,8.0,52.0,13.0
2017-12-05T20:56:00Z,35.99,9.0,62.01,62.01,24.0,53.01,13.0
2017-12-05T21:56:00Z,32.01,8.0,59.99,59.99,27.0,55.0,11.0
2017-12-05T22:56:00Z,31.0,11.0,59.99,59.99,26.0,55.99,10.0
2017-12-05T23:56:00Z,17.0,11.0,38.01,38.01,15.0,55.99,9.0
2017-12-06T00:56:00Z,11.01,41.0,25.99,25.99,49.0,55.0,9.0
2017-12-06T01:56:00Z,8.01,31.0,25.99,25.99,85.0,54.0,9.0
2017-12-06T02:56:00Z,8.01,19.0,25.99,25.99,68.0,54.0,8.0
2017-12-06T03:56:00Z,12.01,28.0,24.0,24.0,28.0,55.0,8.0
2017-12-06T04:56:00Z,4.99,346.0,15.99,15.99,10.0,52.0,9.0
2017-12-06T05:56:00Z,4.99,358.0,17.0,17.0,355.0,53.01,10.0
2017-12-06T06:56:00Z,7.0,305.0,18.99,18.99,315.0,52.0,12.0
2017-12-06T07:56:00Z,8.01,284.0,22.01,22.01,282.0,53.01,11.0
2017-12-06T08:56:00Z,8.01,309.0,18.01,18.01,286.0,52.0,12.0
2017-12-06T09:56:00Z,8.01,307.0,18.99,18.99,307.0,48.99,13.0
2017-12-06T10:56:00Z,5.99,326.0,20.0,20.0,308.0,48.0,13.0
2017-12-06T11:56:00Z,4.99,342.0,17.0,17.0,21.0,48.99,13.0
2017-12-06T12:56:00Z,4.99,360.0,31.0,31.0,355.0,48.99,13.0
2017-12-06T13:56:00Z,8.01,332.0,28.99,28.99,331.0,48.99,14.0
2017-12-06T14:56:00Z,8.01,317.0,24.0,24.0,14.0,50.0,13.0
2017-12-06T15:56:00Z,4.0,321.0,17.0,17.0,307.0,53.01,13.0
2017-12-06T16:56:00Z,20.0,11.0,34.99,34.99,46.0,59.0,11.0
2017-12-06T17:56:00Z,18.01,8.0,38.01,38.01,25.0,62.01,10.0
2017-12-06T18:56:00Z,13.0,11.0,34.99,34.99,9.0,63.0,10.0
2017-12-06T19:56:00Z,25.99,12.0,44.0,44.0,34.0,64.0,9.0
2017-12-06T20:56:00Z,18.99,14.0,42.99,42.99,19.0,64.99,9.0
2017-12-06T21:56:00Z,18.99,23.0,34.99,34.99,35.0,64.99,10.0
2017-12-06T22:56:00Z,21.0,12.0,42.01,42.01,37.0,64.99,10.0
2017-12-06T23:56:00Z,20.0,12.0,38.99,38.99,44.0,64.0,10.0
2017-12-07T00:56:00Z,8.99,359.0,34.0,34.0,19.0,62.01,12.0
2017-12-07T01:56:00Z,8.99,10.0,23.0,23.0,326.0,61.0,13.0
2017-12-07T02:56:00Z,11.01,2.0,32.99,32.99,1.0,60.01,14.0
2017-12-07T03:56:00Z,18.01,16.0,30.0,30.0,43.0,61.0,14.0
2017-12-07T04:56:00Z,11.01,13.0,34.0,34.0,24.0,60.01,14.0
2017-12-07T05:56:00Z,14.99,15.0,30.0,30.0,43.0,60.01,14.0
2017-12-07T06:56:00Z,12.01,13.0,32.01,32.01,11.0,60.01,13.0
2017-12-07T07:56:00Z,5.99,327.0,24.0,24.0,27.0,59.0,13.0
2017-12-07T08:56:00Z,7.0,9.0,15.99,15.99,341.0,59.0,12.0
2017-12-07T09:56:00Z,8.01,4.0,18.99,18.99,10.0,59.0,12.0
2017-12-07T10:56:00Z,7.0,354.0,17.0,17.0,347.0,57.99,12.0
2017-12-07T11:56:00Z,8.01,359.0,18.01,18.01,351.0,55.99,13.0
2017-12-07T12:56:00Z,4.99,3.0,18.99,18.99,0.0,55.0,14.0
2017-12-07T13:56:00Z,5.99,320.0,23.0,23.0,309.0,54.0,15.0
2017-12-07T14:56:00Z,7.0,325.0,18.01,18.01,315.0,54.0,15.0
2017-12-07T15:56:00Z,5.99,325.0,23.0,23.0,10.0,57.0,13.0
2017-12-07T16:56:00Z,15.99,12.0,32.01,32.01,352.0,61.0,10.0
2017-12-07T17:56:00Z,22.01,13.0,42.01,42.01,42.0,63.0,8.0
2017-12-07T18:56:00Z,15.99,18.0,38.99,38.99,22.0,64.0,7.0
2017-12-07T19:56:00Z,11.01,14.0,35.99,35.99,27.0,64.99,6.0
2017-12-07T20:56:00Z,17.0,24.0,38.01,38.01,35.0,64.99,6.0
2017-12-07T21:56:00Z,18.01,21.0,35.99,35.99,31.0,64.99,6.0
2017-12-07T22:56:00Z,12.01,13.0,35.99,35.99,8.0,66.0,6.0
2017-12-07T23:56:00Z,17.0,11.0,38.01,38.01,34.0,64.0,6.0
2017-12-08T00:56:00Z,13.0,15.0,27.0,27.0,28.0,63.0,7.0
2017-12-08T01:56:00Z,4.99,355.0,18.01,18.01,1.0,60.01,8.0
2017-12-08T02:56:00Z,3.0,2.0,11.01,11.01,8.0,59.0,9.0
2017-12-08T03:56:00Z,4.99,334.0,18.99,18.99,331.0,60.01,9.0
2017-12-08T04:56:00Z,8.99,309.0,20.0,20.0,306.0,57.0,10.0
2017-12-08T05:56:00Z,4.0,347.0,17.0,17.0,319.0,55.99,10.0
2017-12-08T06:56:00Z,2.01,14.0,11.01,11.01,287.0,54.0,10.0
2017-12-08T07:56:00Z,4.99,349.0,13.0,13.0,0.0,53.01,11.0
2017-12-08T08:56:00Z,3.0,321.0,22.01,22.01,326.0,54.0,10.0
2017-12-08T09:56:00Z,10.0,7.0,20.0,20.0,344.0,57.0,10.0
2017-12-08T10:56:00Z,7.0,354.0,21.0,21.0,334.0,55.0,11.0
2017-12-08T11:56:00Z,4.0,347.0,18.01,18.01,321.0,53.01,12.0
2017-12-08T12:56:00Z,8.99,358.0,18.01,18.01,307.0,54.0,12.0
2017-12-08T13:56:00Z,12.01,360.0,23.0,23.0,9.0,57.0,11.0
2017-12-08T14:56:00Z,8.99,360.0,22.01,22.01,1.0,57.0,11.0
2017-12-08T15:56:00Z,4.0,348.0,21.0,21.0,354.0,60.01,11.0
2017-12-08T16:56:00Z,4.99,352.0,21.0,21.0,355.0,62.01,11.0
2017-12-08T17:56:00Z,4.99,338.0,28.99,28.99,319.0,66.99,10.0
2017-12-08T18:56:00Z,18.99,14.0,37.0,37.0,29.0,68.0,9.0
2017-12-08T19:56:00Z,15.99,13.0,32.01,32.01,33.0,70.0,9.0
2017-12-08T20:56:00Z,14.99,14.0,41.0,41.0,2.0,71.01,8.0
2017-12-08T21:56:00Z,14.99,13.0,28.01,28.01,38.0,71.01,8.0
2017-12-08T22:56:00Z,11.01,15.0,24.0,24.0,30.0,71.01,8.0
2017-12-08T23:56:00Z,5.99,1.0,18.01,18.01,328.0,69.01,9.0
