datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:22:00Z,4.0,228.0,8.99,8.99,256.0,62.01,19.0
2017-12-03T01:22:00Z,5.99,208.0,8.99,8.99,249.0,57.99,26.0
2017-12-03T02:22:00Z,3.0,179.0,7.0,7.0,186.0,55.99,30.0
2017-12-03T03:22:00Z,0.0,,4.99,4.99,159.0,48.99,38.0
2017-12-03T04:22:00Z,0.0,,2.01,2.01,214.0,46.99,39.0
2017-12-03T05:22:00Z,0.0,,3.0,3.0,213.0,44.01,39.0
2017-12-03T06:22:00Z,1.01,352.0,3.0,3.0,48.0,42.01,41.0
2017-12-03T07:22:00Z,2.01,70.0,7.0,7.0,224.0,39.99,44.0
2017-12-03T08:22:00Z,2.01,61.0,4.0,4.0,220.0,37.99,46.0
2017-12-03T09:22:00Z,2.01,242.0,4.99,4.99,230.0,37.99,43.0
2017-12-03T10:22:00Z,1.01,69.0,4.0,4.0,62.0,37.0,44.0
2017-12-03T11:22:00Z,1.01,235.0,3.0,3.0,199.0,37.99,43.0
2017-12-03T12:22:00Z,2.01,168.0,7.0,7.0,214.0,39.0,41.0
2017-12-03T13:22:00Z,0.0,,4.99,4.99,196.0,37.0,46.0
2017-12-03T14:22:00Z,0.0,,4.0,4.0,265.0,37.0,49.0
2017-12-03T15:22:00Z,3.0,231.0,4.99,4.99,77.0,37.0,52.0
2017-12-03T16:22:00Z,2.01,221.0,5.99,5.99,227.0,41.0,50.0
2017-12-03T17:22:00Z,1.01,283.0,4.0,4.0,217.0,51.01,37.0
2017-12-03T18:22:00Z,4.0,268.0,11.01,11.01,265.0,57.99,32.0
2017-12-03T19:22:00Z,4.99,272.0,14.0,14.0,276.0,57.0,44.0
2017-12-03T20:22:00Z,4.99,268.0,14.99,14.99,289.0,55.0,53.0
2017-12-03T21:22:00Z,4.0,263.0,11.01,11.01,259.0,55.99,48.0
2017-12-03T22:22:00Z,4.99,264.0,14.0,14.0,282.0,55.0,50.0
2017-12-03T23:22:00Z,5.99,258.0,14.99,14.99,276.0,48.99,62.0
2017-12-04T00:22:00Z,4.0,265.0,17.0,17.0,277.0,42.01,75.0
2017-12-04T01:22:00Z,2.01,233.0,10.0,10.0,291.0,39.0,82.0
2017-12-04T02:22:00Z,2.01,96.0,4.99,4.99,70.0,39.0,81.0
2017-12-04T03:22:00Z,0.0,,4.99,4.99,29.0,37.99,85.0
2017-12-04T04:22:00Z,0.0,,2.01,2.01,288.0,32.0,90.0
2017-12-04T05:22:00Z,0.0,,3.0,3.0,25.0,32.0,95.0
2017-12-04T06:22:00Z,0.0,,2.01,2.01,212.0,30.99,98.0
2017-12-04T07:22:00Z,1.01,158.0,3.0,3.0,224.0,32.0,94.0
2017-12-04T08:22:00Z,1.01,100.0,3.0,3.0,174.0,35.01,84.0
2017-12-04T09:22:00Z,0.0,,3.0,3.0,165.0,34.0,84.0
2017-12-04T10:22:00Z,0.0,,2.01,2.01,3.0,34.0,85.0
2017-12-04T11:22:00Z,3.0,44.0,7.0,7.0,66.0,34.0,82.0
2017-12-04T12:22:00Z,4.0,138.0,5.99,5.99,123.0,33.01,80.0
2017-12-04T13:22:00Z,1.01,161.0,7.0,7.0,135.0,32.0,82.0
2017-12-04T14:22:00Z,1.01,232.0,4.0,4.0,145.0,27.0,89.0
2017-12-04T15:22:00Z,2.01,206.0,5.99,5.99,212.0,27.0,88.0
2017-12-04T16:22:00Z,1.01,228.0,4.99,4.99,231.0,30.99,81.0
2017-12-04T17:22:00Z,4.0,253.0,8.01,8.01,290.0,37.0,75.0
2017-12-04T18:22:00Z,1.01,275.0,8.99,8.99,276.0,46.0,54.0
2017-12-04T19:22:00Z,2.01,217.0,8.01,8.01,279.0,51.01,37.0
2017-12-04T20:22:00Z,10.0,54.0,20.0,20.0,60.0,54.0,15.0
2017-12-04T21:22:00Z,12.01,55.0,23.0,23.0,55.0,54.0,13.0
2017-12-04T22:22:00Z,14.99,62.0,27.0,27.0,73.0,52.0,13.0
2017-12-04T23:22:00Z,14.99,61.0,28.01,28.01,59.0,51.01,14.0
2017-12-05T00:22:00Z,8.99,60.0,23.0,23.0,48.0,46.99,14.0
2017-12-05T01:22:00Z,12.01,60.0,24.0,24.0,44.0,45.0,14.0
2017-12-05T02:22:00Z,12.01,55.0,24.99,24.99,65.0,44.01,15.0
2017-12-05T03:22:00Z,2.01,248.0,18.01,18.01,35.0,35.01,64.0
2017-12-05T04:22:00Z,11.01,59.0,24.0,24.0,64.0,43.0,17.0
