datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:56:00Z,10.0,231.0,23.0,23.0,224.0,64.99,36.0
2017-12-03T01:56:00Z,8.01,275.0,14.99,14.99,309.0,64.99,37.0
2017-12-03T02:56:00Z,4.0,255.0,13.0,13.0,272.0,63.0,41.0
2017-12-03T03:56:00Z,5.99,282.0,14.0,14.0,296.0,62.01,39.0
2017-12-03T04:56:00Z,8.01,304.0,14.99,14.99,306.0,57.99,41.0
2017-12-03T05:56:00Z,8.99,304.0,18.99,18.99,286.0,60.01,43.0
2017-12-03T06:56:00Z,10.0,302.0,18.01,18.01,289.0,59.0,46.0
2017-12-03T07:56:00Z,8.01,258.0,17.0,17.0,321.0,57.99,48.0
2017-12-03T08:56:00Z,11.01,238.0,20.0,20.0,234.0,57.99,48.0
2017-12-03T09:56:00Z,13.0,227.0,20.0,20.0,246.0,55.99,52.0
2017-12-03T10:56:00Z,13.0,225.0,23.0,23.0,228.0,55.0,59.0
2017-12-03T11:56:00Z,7.0,288.0,18.01,18.01,249.0,54.0,55.0
2017-12-03T12:56:00Z,8.01,253.0,14.99,14.99,290.0,53.01,60.0
2017-12-03T13:56:00Z,11.01,232.0,18.01,18.01,219.0,52.0,57.0
2017-12-03T14:56:00Z,11.01,248.0,18.99,18.99,247.0,54.0,34.0
2017-12-03T15:56:00Z,8.99,258.0,18.99,18.99,253.0,57.99,29.0
2017-12-03T16:56:00Z,21.0,270.0,30.0,30.0,279.0,57.99,33.0
2017-12-03T17:56:00Z,21.0,269.0,34.0,34.0,263.0,60.01,31.0
2017-12-03T18:56:00Z,18.01,264.0,35.99,35.99,276.0,57.99,38.0
2017-12-03T19:56:00Z,30.0,280.0,42.01,42.01,281.0,52.0,58.0
2017-12-03T20:56:00Z,30.0,285.0,42.01,42.01,293.0,50.0,67.0
2017-12-03T21:56:00Z,28.01,281.0,38.99,38.99,286.0,50.0,66.0
2017-12-03T22:56:00Z,27.0,287.0,38.01,38.01,281.0,50.0,64.0
2017-12-03T23:56:00Z,25.99,280.0,35.99,35.99,290.0,48.0,67.0
2017-12-04T00:56:00Z,24.0,289.0,35.99,35.99,279.0,46.0,66.0
2017-12-04T01:56:00Z,24.0,278.0,35.99,35.99,277.0,46.0,63.0
2017-12-04T02:56:00Z,14.0,258.0,32.99,32.99,276.0,46.0,62.0
2017-12-04T03:56:00Z,15.99,267.0,28.99,28.99,254.0,45.0,66.0
2017-12-04T04:56:00Z,22.01,275.0,34.0,34.0,288.0,45.0,66.0
2017-12-04T05:56:00Z,18.99,278.0,30.0,30.0,277.0,44.01,67.0
2017-12-04T06:56:00Z,20.0,281.0,38.01,38.01,274.0,44.01,69.0
2017-12-04T07:56:00Z,12.01,296.0,30.0,30.0,276.0,44.01,62.0
2017-12-04T08:56:00Z,11.01,317.0,18.01,18.01,288.0,39.99,68.0
2017-12-04T09:56:00Z,8.01,312.0,14.0,14.0,319.0,39.99,67.0
2017-12-04T10:56:00Z,0.0,,12.01,12.01,316.0,35.01,77.0
2017-12-04T11:56:00Z,4.99,277.0,4.99,4.99,285.0,33.01,78.0
2017-12-04T12:56:00Z,5.99,11.0,8.01,8.01,25.0,35.01,82.0
2017-12-04T13:56:00Z,2.01,282.0,7.0,7.0,11.0,30.0,87.0
2017-12-04T14:56:00Z,0.0,,5.99,5.99,322.0,27.0,89.0
2017-12-04T15:56:00Z,1.01,235.0,3.0,3.0,236.0,35.01,84.0
2017-12-04T16:56:00Z,4.99,99.0,8.01,8.01,82.0,41.0,67.0
2017-12-04T17:56:00Z,10.0,75.0,14.99,14.99,74.0,46.0,41.0
2017-12-04T18:56:00Z,18.01,74.0,27.0,27.0,81.0,50.0,20.0
2017-12-04T19:56:00Z,18.01,72.0,25.99,25.99,76.0,52.0,16.0
2017-12-04T20:56:00Z,22.01,74.0,32.01,32.01,76.0,54.0,13.0
2017-12-04T21:56:00Z,23.0,69.0,34.0,34.0,55.0,54.0,12.0
2017-12-04T22:56:00Z,21.0,62.0,34.0,34.0,64.0,53.01,12.0
2017-12-04T23:56:00Z,20.0,68.0,28.99,28.99,82.0,51.01,13.0
2017-12-05T00:56:00Z,12.01,71.0,28.99,28.99,67.0,46.0,17.0
2017-12-05T01:56:00Z,11.01,74.0,18.01,18.01,79.0,42.01,19.0
2017-12-05T02:56:00Z,7.0,68.0,14.99,14.99,71.0,37.0,22.0
2017-12-05T03:56:00Z,8.01,86.0,14.0,14.0,90.0,37.99,22.0
