datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:24:00Z,4.99,223.0,11.01,11.01,235.0,61.0,43.0
2017-12-03T01:24:00Z,3.0,164.0,4.0,4.0,163.0,53.01,48.0
2017-12-03T02:24:00Z,0.0,,4.0,4.0,179.0,45.0,51.0
2017-12-03T03:24:00Z,1.01,157.0,3.0,3.0,188.0,41.0,54.0
2017-12-03T04:24:00Z,0.0,,2.01,2.01,134.0,37.0,57.0
2017-12-03T05:24:00Z,0.0,,2.01,2.01,145.0,34.0,58.0
2017-12-03T06:24:00Z,0.0,,1.01,1.01,214.0,30.99,59.0
2017-12-03T07:24:00Z,1.01,131.0,2.01,2.01,121.0,28.99,62.0
2017-12-03T08:24:00Z,0.0,,3.0,3.0,172.0,28.0,62.0
2017-12-03T09:24:00Z,0.0,,2.01,2.01,3.0,26.01,62.0
2017-12-03T10:24:00Z,1.01,164.0,3.0,3.0,349.0,26.01,61.0
2017-12-03T11:24:00Z,0.0,,3.0,3.0,166.0,26.01,60.0
2017-12-03T12:24:00Z,1.01,207.0,3.0,3.0,217.0,27.0,59.0
2017-12-03T13:24:00Z,1.01,71.0,3.0,3.0,336.0,26.01,61.0
2017-12-03T14:24:00Z,2.01,182.0,4.0,4.0,144.0,27.0,61.0
2017-12-03T15:24:00Z,1.01,13.0,3.0,3.0,148.0,28.99,57.0
2017-12-03T16:24:00Z,0.0,,4.0,4.0,149.0,41.0,45.0
2017-12-03T17:24:00Z,1.01,168.0,4.0,4.0,157.0,57.0,28.0
2017-12-03T18:24:00Z,3.0,326.0,7.0,7.0,340.0,64.99,21.0
2017-12-03T19:24:00Z,4.0,218.0,10.0,10.0,228.0,66.0,23.0
2017-12-03T20:24:00Z,7.0,244.0,12.01,12.01,241.0,66.0,33.0
2017-12-03T21:24:00Z,8.01,250.0,14.99,14.99,251.0,64.99,35.0
2017-12-03T22:24:00Z,4.99,248.0,14.0,14.0,234.0,64.0,40.0
2017-12-03T23:24:00Z,10.0,240.0,13.0,13.0,242.0,61.0,46.0
2017-12-04T00:24:00Z,1.01,147.0,12.01,12.01,249.0,54.0,54.0
2017-12-04T01:24:00Z,3.0,165.0,4.0,4.0,172.0,43.0,51.0
2017-12-04T02:24:00Z,1.01,143.0,4.99,4.99,171.0,37.0,56.0
2017-12-04T03:24:00Z,0.0,,4.0,4.0,171.0,32.0,62.0
2017-12-04T04:24:00Z,0.0,,3.0,3.0,165.0,28.0,67.0
2017-12-04T05:24:00Z,0.0,,2.01,2.01,132.0,25.0,72.0
2017-12-04T06:24:00Z,0.0,,2.01,2.01,164.0,23.0,74.0
2017-12-04T07:24:00Z,0.0,,2.01,2.01,171.0,21.0,78.0
2017-12-04T08:24:00Z,0.0,,3.0,3.0,351.0,19.0,77.0
2017-12-04T09:24:00Z,0.0,,2.01,2.01,338.0,18.0,79.0
2017-12-04T10:24:00Z,0.0,,2.01,2.01,181.0,17.01,80.0
2017-12-04T11:24:00Z,0.0,,2.01,2.01,341.0,16.0,80.0
2017-12-04T12:24:00Z,0.0,,3.0,3.0,173.0,16.0,83.0
2017-12-04T13:24:00Z,1.01,318.0,2.01,2.01,344.0,15.01,82.0
2017-12-04T14:24:00Z,0.0,,2.01,2.01,26.0,15.01,83.0
2017-12-04T15:24:00Z,0.0,,5.99,5.99,142.0,16.0,83.0
2017-12-04T16:24:00Z,0.0,,4.0,4.0,354.0,30.0,67.0
2017-12-04T17:24:00Z,7.0,132.0,11.01,11.01,129.0,51.01,20.0
2017-12-04T18:24:00Z,3.0,22.0,11.01,11.01,12.0,54.0,17.0
2017-12-04T19:24:00Z,8.01,147.0,14.99,14.99,137.0,54.0,16.0
2017-12-04T20:24:00Z,7.0,128.0,18.99,18.99,150.0,55.0,15.0
2017-12-04T21:24:00Z,4.99,183.0,20.0,20.0,137.0,55.99,14.0
2017-12-04T22:24:00Z,4.0,54.0,17.0,17.0,130.0,55.0,13.0
2017-12-04T23:24:00Z,4.0,232.0,15.99,15.99,351.0,54.0,13.0
2017-12-05T00:24:00Z,4.99,149.0,14.99,14.99,28.0,48.99,13.0
2017-12-05T01:24:00Z,8.01,151.0,17.0,17.0,143.0,46.0,14.0
2017-12-05T02:24:00Z,8.01,143.0,18.01,18.01,148.0,46.0,13.0
2017-12-05T03:24:00Z,4.0,273.0,18.99,18.99,142.0,45.0,13.0
2017-12-05T04:24:00Z,4.0,319.0,17.0,17.0,6.0,45.0,14.0
2017-12-05T05:24:00Z,4.0,197.0,18.01,18.01,139.0,44.01,13.0
2017-12-05T06:24:00Z,8.01,354.0,18.99,18.99,13.0,44.01,13.0
2017-12-05T07:24:00Z,5.99,352.0,24.99,24.99,0.0,44.01,13.0
