datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:57:00Z,4.99,221.0,11.01,11.01,161.0,68.0,42.0
2017-12-03T01:57:00Z,4.99,225.0,7.0,7.0,183.0,64.0,52.0
2017-12-03T02:57:00Z,4.0,313.0,10.0,10.0,255.0,62.01,56.0
2017-12-03T03:57:00Z,3.0,284.0,5.99,5.99,267.0,60.01,60.0
2017-12-03T04:57:00Z,2.01,316.0,4.99,4.99,298.0,57.99,64.0
2017-12-03T05:57:00Z,1.01,216.0,3.0,3.0,0.0,57.0,66.0
2017-12-03T06:57:00Z,4.0,116.0,10.0,10.0,112.0,57.0,63.0
2017-12-03T07:57:00Z,4.0,160.0,7.0,7.0,160.0,55.99,63.0
2017-12-03T08:57:00Z,2.01,321.0,8.01,8.01,114.0,54.0,68.0
2017-12-03T09:57:00Z,2.01,313.0,5.99,5.99,241.0,54.0,70.0
2017-12-03T10:57:00Z,1.01,227.0,8.99,8.99,180.0,55.0,67.0
2017-12-03T11:57:00Z,4.0,241.0,8.01,8.01,199.0,54.0,71.0
2017-12-03T12:57:00Z,4.0,99.0,8.01,8.01,229.0,50.0,73.0
2017-12-03T13:57:00Z,1.01,46.0,10.0,10.0,116.0,52.0,76.0
2017-12-03T14:57:00Z,8.99,115.0,10.0,10.0,113.0,48.99,79.0
2017-12-03T15:57:00Z,2.01,92.0,8.01,8.01,95.0,53.01,74.0
2017-12-03T16:57:00Z,0.0,,8.01,8.01,111.0,57.99,63.0
2017-12-03T17:57:00Z,2.01,262.0,5.99,5.99,300.0,62.01,51.0
2017-12-03T18:57:00Z,4.99,222.0,8.99,8.99,207.0,66.0,36.0
2017-12-03T19:57:00Z,8.01,338.0,14.99,14.99,346.0,66.0,27.0
2017-12-03T20:57:00Z,7.0,310.0,13.0,13.0,276.0,68.0,29.0
2017-12-03T21:57:00Z,13.0,320.0,18.99,18.99,298.0,66.0,33.0
2017-12-03T22:57:00Z,13.0,334.0,20.0,20.0,317.0,64.0,39.0
2017-12-03T23:57:00Z,13.0,329.0,21.0,21.0,0.0,60.01,42.0
2017-12-04T00:57:00Z,12.01,346.0,23.0,23.0,317.0,55.99,45.0
2017-12-04T01:57:00Z,4.99,341.0,18.99,18.99,321.0,54.0,47.0
2017-12-04T02:57:00Z,8.99,340.0,14.99,14.99,359.0,53.01,45.0
2017-12-04T03:57:00Z,3.0,6.0,8.99,8.99,322.0,50.0,55.0
2017-12-04T04:57:00Z,4.99,40.0,8.01,8.01,43.0,48.99,56.0
2017-12-04T05:57:00Z,4.99,95.0,8.99,8.99,98.0,48.99,56.0
2017-12-04T06:57:00Z,7.0,25.0,8.99,8.99,33.0,46.99,59.0
2017-12-04T07:57:00Z,3.0,10.0,12.01,12.01,19.0,48.0,56.0
2017-12-04T08:57:00Z,5.99,3.0,8.99,8.99,20.0,46.0,51.0
2017-12-04T09:57:00Z,10.0,34.0,12.01,12.01,29.0,51.01,43.0
2017-12-04T10:57:00Z,4.0,358.0,13.0,13.0,33.0,48.99,45.0
2017-12-04T11:57:00Z,7.0,11.0,14.0,14.0,36.0,50.0,41.0
2017-12-04T12:57:00Z,11.01,17.0,18.99,18.99,56.0,50.0,34.0
2017-12-04T13:57:00Z,14.0,19.0,27.0,27.0,23.0,51.01,21.0
2017-12-04T14:57:00Z,12.01,17.0,32.99,32.99,27.0,51.01,19.0
2017-12-04T15:57:00Z,14.99,19.0,28.99,28.99,18.0,52.0,18.0
2017-12-04T16:57:00Z,18.99,22.0,34.0,34.0,34.0,53.01,16.0
2017-12-04T17:57:00Z,20.0,24.0,35.99,35.99,20.0,54.0,15.0
2017-12-04T18:57:00Z,21.0,30.0,41.0,41.0,41.0,55.0,13.0
2017-12-04T19:57:00Z,21.0,36.0,37.0,37.0,38.0,57.0,13.0
2017-12-04T20:57:00Z,18.99,36.0,41.0,41.0,34.0,57.99,12.0
2017-12-04T21:57:00Z,22.01,40.0,40.0,40.0,48.0,57.99,11.0
2017-12-04T22:57:00Z,22.01,45.0,38.01,38.01,41.0,59.0,11.0
2017-12-04T23:57:00Z,24.0,38.0,44.0,44.0,53.0,57.0,11.0
2017-12-05T00:57:00Z,18.99,25.0,41.0,41.0,44.0,55.0,10.0
2017-12-05T01:57:00Z,21.0,27.0,41.0,41.0,45.0,54.0,11.0
2017-12-05T02:57:00Z,25.99,29.0,44.0,44.0,42.0,53.01,11.0
