datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:24:00Z,2.01,223.0,10.0,10.0,247.0,64.0,55.0
2017-12-03T01:24:00Z,0.0,,3.0,3.0,214.0,60.01,69.0
2017-12-03T02:24:00Z,1.01,60.0,3.0,3.0,82.0,61.0,59.0
2017-12-03T03:24:00Z,0.0,,3.0,3.0,43.0,60.01,58.0
2017-12-03T04:24:00Z,0.0,,3.0,3.0,120.0,60.01,57.0
2017-12-03T05:24:00Z,0.0,,3.0,3.0,155.0,60.01,54.0
2017-12-03T06:24:00Z,4.99,66.0,8.99,8.99,79.0,61.0,53.0
2017-12-03T07:24:00Z,0.0,,4.99,4.99,69.0,60.01,48.0
2017-12-03T08:24:00Z,3.0,52.0,4.0,4.0,75.0,59.0,48.0
2017-12-03T09:24:00Z,8.01,76.0,11.01,11.01,77.0,57.99,59.0
2017-12-03T10:24:00Z,3.0,93.0,10.0,10.0,71.0,60.01,50.0
2017-12-03T11:24:00Z,5.99,76.0,11.01,11.01,73.0,57.0,57.0
2017-12-03T12:24:00Z,5.99,88.0,8.99,8.99,89.0,57.0,52.0
2017-12-03T13:24:00Z,2.01,312.0,7.0,7.0,79.0,57.0,53.0
2017-12-03T14:24:00Z,2.01,319.0,4.0,4.0,76.0,57.99,49.0
2017-12-03T15:24:00Z,3.0,86.0,5.99,5.99,244.0,55.0,78.0
2017-12-03T16:24:00Z,2.01,63.0,4.99,4.99,141.0,57.99,82.0
2017-12-03T17:24:00Z,4.0,197.0,7.0,7.0,82.0,63.0,70.0
2017-12-03T18:24:00Z,4.99,153.0,10.0,10.0,169.0,64.99,63.0
2017-12-03T19:24:00Z,5.99,157.0,10.0,10.0,148.0,66.0,59.0
2017-12-03T20:24:00Z,8.01,143.0,12.01,12.01,109.0,66.0,62.0
2017-12-03T21:24:00Z,5.99,143.0,10.0,10.0,162.0,66.0,59.0
2017-12-03T22:24:00Z,4.99,205.0,8.99,8.99,219.0,68.0,52.0
2017-12-03T23:24:00Z,4.0,157.0,8.99,8.99,226.0,66.0,59.0
2017-12-04T00:24:00Z,3.0,219.0,7.0,7.0,220.0,64.0,63.0
2017-12-04T01:24:00Z,1.01,343.0,4.99,4.99,328.0,59.0,72.0
2017-12-04T02:24:00Z,2.01,67.0,5.99,5.99,80.0,60.01,31.0
2017-12-04T03:24:00Z,5.99,14.0,13.0,13.0,341.0,62.01,23.0
2017-12-04T04:24:00Z,4.99,14.0,11.01,11.01,4.0,60.01,25.0
2017-12-04T05:24:00Z,3.0,193.0,11.01,11.01,3.0,59.0,32.0
2017-12-04T06:24:00Z,5.99,27.0,11.01,11.01,31.0,60.01,23.0
2017-12-04T07:24:00Z,5.99,18.0,10.0,10.0,21.0,59.0,24.0
2017-12-04T08:24:00Z,3.0,272.0,14.0,14.0,355.0,57.0,47.0
2017-12-04T09:24:00Z,4.0,298.0,8.01,8.01,276.0,55.0,57.0
2017-12-04T10:24:00Z,4.99,326.0,7.0,7.0,322.0,54.0,76.0
2017-12-04T11:24:00Z,5.99,321.0,10.0,10.0,328.0,54.0,62.0
2017-12-04T12:24:00Z,4.0,5.0,8.99,8.99,323.0,55.99,30.0
2017-12-04T13:24:00Z,3.0,318.0,8.01,8.01,296.0,54.0,60.0
2017-12-04T14:24:00Z,4.0,324.0,7.0,7.0,298.0,54.0,61.0
2017-12-04T15:24:00Z,7.0,317.0,10.0,10.0,324.0,55.0,56.0
2017-12-04T16:24:00Z,4.99,264.0,10.0,10.0,311.0,57.0,58.0
2017-12-04T17:24:00Z,5.99,244.0,12.01,12.01,257.0,59.0,60.0
2017-12-04T18:24:00Z,7.0,254.0,12.01,12.01,273.0,61.0,57.0
2017-12-04T19:24:00Z,5.99,214.0,11.01,11.01,287.0,63.0,52.0
2017-12-04T20:24:00Z,8.01,259.0,14.0,14.0,252.0,64.0,50.0
2017-12-04T21:24:00Z,8.01,254.0,14.0,14.0,255.0,64.0,51.0
2017-12-04T22:24:00Z,7.0,240.0,14.99,14.99,247.0,64.0,53.0
2017-12-04T23:24:00Z,7.0,252.0,13.0,13.0,255.0,63.0,46.0
2017-12-05T00:24:00Z,4.0,248.0,12.01,12.01,240.0,62.01,52.0
2017-12-05T01:24:00Z,3.0,339.0,7.0,7.0,353.0,57.0,52.0
2017-12-05T02:24:00Z,1.01,20.0,8.99,8.99,62.0,55.0,47.0
2017-12-05T03:24:00Z,4.99,15.0,14.99,14.99,29.0,57.99,12.0
2017-12-05T04:24:00Z,3.0,192.0,14.99,14.99,34.0,57.0,13.0
2017-12-05T05:24:00Z,5.99,21.0,12.01,12.01,19.0,57.0,10.0
2017-12-05T06:24:00Z,5.99,11.0,14.0,14.0,25.0,57.0,8.0
2017-12-05T07:24:00Z,2.01,122.0,13.0,13.0,71.0,55.0,15.0
2017-12-05T08:24:00Z,5.99,36.0,17.0,17.0,54.0,57.99,7.0
2017-12-05T09:24:00Z,8.01,55.0,22.01,22.01,36.0,59.0,6.0
2017-12-05T10:24:00Z,11.01,45.0,21.0,21.0,29.0,59.0,7.0
2017-12-05T11:24:00Z,8.01,36.0,18.99,18.99,60.0,57.99,7.0
2017-12-05T12:24:00Z,3.0,207.0,14.99,14.99,42.0,57.0,7.0
