datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:12:00Z,8.01,120.0,13.0,13.0,120.0,70.0,42.0
2017-12-03T01:12:00Z,2.01,172.0,13.0,13.0,123.0,64.99,49.0
2017-12-03T02:12:00Z,0.0,,10.0,10.0,123.0,61.0,58.0
2017-12-03T03:12:00Z,0.0,,4.0,4.0,253.0,57.0,64.0
2017-12-03T04:12:00Z,0.0,,2.01,2.01,246.0,55.0,65.0
2017-12-03T05:12:00Z,0.0,,2.01,2.01,250.0,54.0,64.0
2017-12-03T06:12:00Z,0.0,,2.01,2.01,252.0,50.0,69.0
2017-12-03T07:12:00Z,0.0,,2.01,2.01,125.0,48.99,68.0
2017-12-03T08:12:00Z,0.0,,2.01,2.01,127.0,48.0,70.0
2017-12-03T09:12:00Z,0.0,,3.0,3.0,119.0,46.99,70.0
2017-12-03T10:12:00Z,1.01,206.0,2.01,2.01,211.0,46.0,71.0
2017-12-03T11:12:00Z,0.0,,2.01,2.01,170.0,46.0,67.0
2017-12-03T12:12:00Z,0.0,,3.0,3.0,123.0,46.99,67.0
2017-12-03T13:12:00Z,1.01,64.0,4.0,4.0,58.0,45.0,71.0
2017-12-03T14:12:00Z,1.01,193.0,2.01,2.01,238.0,46.99,66.0
2017-12-03T15:12:00Z,0.0,,2.01,2.01,108.0,46.0,71.0
2017-12-03T16:12:00Z,0.0,,3.0,3.0,116.0,53.01,59.0
2017-12-03T17:12:00Z,1.01,51.0,3.0,3.0,30.0,57.99,53.0
2017-12-03T18:12:00Z,1.01,12.0,3.0,3.0,58.0,64.99,42.0
2017-12-03T19:12:00Z,4.99,78.0,8.99,8.99,68.0,69.01,36.0
2017-12-03T20:12:00Z,3.0,126.0,10.0,10.0,102.0,71.01,35.0
2017-12-03T21:12:00Z,4.0,119.0,11.01,11.01,48.0,71.01,39.0
2017-12-03T22:12:00Z,2.01,119.0,14.0,14.0,83.0,70.0,39.0
2017-12-03T23:12:00Z,5.99,342.0,12.01,12.01,341.0,66.0,38.0
2017-12-04T00:12:00Z,4.0,343.0,12.01,12.01,334.0,62.01,44.0
2017-12-04T01:12:00Z,3.0,22.0,8.99,8.99,11.0,57.99,49.0
2017-12-04T02:12:00Z,2.01,58.0,7.0,7.0,8.0,55.0,52.0
2017-12-04T03:12:00Z,3.0,83.0,7.0,7.0,83.0,53.01,53.0
2017-12-04T04:12:00Z,0.0,,4.99,4.99,76.0,50.0,57.0
2017-12-04T05:12:00Z,0.0,,4.99,4.99,83.0,48.99,58.0
2017-12-04T06:12:00Z,1.01,226.0,4.0,4.0,20.0,48.0,60.0
2017-12-04T07:12:00Z,2.01,112.0,4.99,4.99,109.0,46.0,63.0
2017-12-04T08:12:00Z,1.01,217.0,8.01,8.01,86.0,48.0,58.0
2017-12-04T09:12:00Z,1.01,142.0,5.99,5.99,175.0,46.99,53.0
2017-12-04T10:12:00Z,1.01,136.0,4.0,4.0,117.0,51.01,43.0
2017-12-04T11:12:00Z,1.01,284.0,4.99,4.99,14.0,51.01,41.0
2017-12-04T12:12:00Z,1.01,162.0,4.99,4.99,145.0,51.01,39.0
2017-12-04T13:12:00Z,1.01,99.0,7.0,7.0,337.0,51.01,36.0
2017-12-04T14:12:00Z,2.01,316.0,14.99,14.99,322.0,52.0,31.0
2017-12-04T15:12:00Z,3.0,313.0,14.99,14.99,325.0,52.0,30.0
2017-12-04T16:12:00Z,7.0,336.0,14.0,14.0,344.0,55.0,27.0
2017-12-04T17:12:00Z,7.0,342.0,17.0,17.0,351.0,57.99,20.0
2017-12-04T18:12:00Z,8.99,359.0,25.99,25.99,357.0,59.0,15.0
2017-12-04T19:12:00Z,8.99,34.0,18.99,18.99,30.0,61.0,16.0
2017-12-04T20:12:00Z,8.99,13.0,20.0,20.0,26.0,61.0,15.0
2017-12-04T21:12:00Z,10.0,12.0,20.0,20.0,354.0,62.01,12.0
2017-12-04T22:12:00Z,8.01,6.0,21.0,21.0,28.0,62.01,11.0
2017-12-04T23:12:00Z,8.99,355.0,22.01,22.01,33.0,60.01,11.0
2017-12-05T00:12:00Z,8.01,349.0,22.01,22.01,343.0,59.0,11.0
2017-12-05T01:12:00Z,5.99,5.0,22.01,22.01,47.0,57.0,13.0
2017-12-05T02:12:00Z,4.99,359.0,17.0,17.0,24.0,55.99,14.0
2017-12-05T03:12:00Z,4.99,354.0,18.01,18.01,350.0,55.0,14.0
2017-12-05T04:12:00Z,4.99,358.0,17.0,17.0,345.0,55.0,13.0
2017-12-05T05:12:00Z,4.99,350.0,18.01,18.01,7.0,55.0,13.0
2017-12-05T06:12:00Z,5.99,324.0,15.99,15.99,346.0,55.0,12.0
