datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:57:00Z,3.0,189.0,12.01,12.01,184.0,63.0,61.0
2017-12-03T01:57:00Z,5.99,312.0,8.01,8.01,305.0,62.01,57.0
2017-12-03T02:57:00Z,2.01,317.0,7.0,7.0,298.0,63.0,55.0
2017-12-03T03:57:00Z,3.0,333.0,5.99,5.99,321.0,62.01,56.0
2017-12-03T04:57:00Z,1.01,86.0,4.0,4.0,325.0,62.01,57.0
2017-12-03T05:57:00Z,1.01,165.0,3.0,3.0,79.0,60.01,62.0
2017-12-03T06:57:00Z,8.99,179.0,8.99,8.99,175.0,57.99,64.0
2017-12-03T07:57:00Z,7.0,192.0,10.0,10.0,184.0,57.99,66.0
2017-12-03T08:57:00Z,8.01,190.0,10.0,10.0,187.0,57.0,70.0
2017-12-03T09:57:00Z,1.01,44.0,8.99,8.99,180.0,55.99,69.0
2017-12-03T10:57:00Z,8.01,175.0,8.99,8.99,176.0,54.0,73.0
2017-12-03T11:57:00Z,3.0,127.0,8.99,8.99,172.0,55.0,64.0
2017-12-03T12:57:00Z,3.0,154.0,4.0,4.0,351.0,55.0,75.0
2017-12-03T13:57:00Z,4.0,233.0,4.99,4.99,232.0,55.99,56.0
2017-12-03T14:57:00Z,1.01,299.0,5.99,5.99,202.0,54.0,65.0
2017-12-03T15:57:00Z,4.0,119.0,8.01,8.01,29.0,57.0,58.0
2017-12-03T16:57:00Z,4.99,156.0,10.0,10.0,177.0,62.01,51.0
2017-12-03T17:57:00Z,2.01,9.0,7.0,7.0,159.0,63.0,48.0
2017-12-03T18:57:00Z,3.0,356.0,8.01,8.01,350.0,64.0,46.0
2017-12-03T19:57:00Z,2.01,355.0,7.0,7.0,272.0,69.01,41.0
2017-12-03T20:57:00Z,10.0,183.0,14.99,14.99,185.0,68.0,49.0
2017-12-03T21:57:00Z,8.99,183.0,14.99,14.99,177.0,66.99,52.0
2017-12-03T22:57:00Z,12.01,182.0,17.0,17.0,188.0,63.0,64.0
2017-12-03T23:57:00Z,4.99,184.0,14.0,14.0,185.0,60.01,75.0
2017-12-04T00:57:00Z,1.01,334.0,4.0,4.0,293.0,57.99,79.0
2017-12-04T01:57:00Z,2.01,277.0,8.01,8.01,330.0,55.99,79.0
2017-12-04T02:57:00Z,4.99,120.0,7.0,7.0,108.0,57.0,64.0
2017-12-04T03:57:00Z,4.0,128.0,7.0,7.0,110.0,54.0,63.0
2017-12-04T04:57:00Z,4.0,178.0,8.01,8.01,82.0,53.01,62.0
2017-12-04T05:57:00Z,4.99,89.0,5.99,5.99,81.0,54.0,68.0
2017-12-04T06:57:00Z,4.99,104.0,7.0,7.0,99.0,53.01,61.0
2017-12-04T07:57:00Z,7.0,64.0,10.0,10.0,74.0,52.0,52.0
2017-12-04T08:57:00Z,4.0,67.0,12.01,12.01,50.0,53.01,47.0
2017-12-04T09:57:00Z,7.0,44.0,18.01,18.01,43.0,54.0,42.0
2017-12-04T10:57:00Z,8.01,41.0,18.01,18.01,9.0,52.0,42.0
2017-12-04T11:57:00Z,11.01,55.0,15.99,15.99,48.0,52.0,42.0
2017-12-04T12:57:00Z,10.0,55.0,17.0,17.0,61.0,52.0,34.0
2017-12-04T13:57:00Z,10.0,55.0,14.99,14.99,64.0,52.0,25.0
2017-12-04T14:57:00Z,8.01,16.0,14.99,14.99,35.0,51.01,22.0
2017-12-04T15:57:00Z,11.01,7.0,20.0,20.0,25.0,53.01,18.0
2017-12-04T16:57:00Z,15.99,3.0,27.0,27.0,353.0,55.0,16.0
2017-12-04T17:57:00Z,17.0,3.0,28.99,28.99,24.0,55.99,15.0
2017-12-04T18:57:00Z,20.0,3.0,32.99,32.99,349.0,57.99,13.0
2017-12-04T19:57:00Z,20.0,3.0,34.99,34.99,0.0,59.0,13.0
2017-12-04T20:57:00Z,18.01,3.0,34.0,34.0,17.0,60.01,12.0
2017-12-04T21:57:00Z,20.0,6.0,32.99,32.99,28.0,60.01,12.0
2017-12-04T22:57:00Z,18.01,5.0,31.0,31.0,24.0,60.01,11.0
2017-12-04T23:57:00Z,12.01,10.0,31.0,31.0,350.0,59.0,12.0
2017-12-05T00:57:00Z,11.01,13.0,28.01,28.01,6.0,55.99,12.0
2017-12-05T01:57:00Z,8.99,45.0,24.0,24.0,2.0,54.0,12.0
2017-12-05T02:57:00Z,8.01,7.0,18.01,18.01,11.0,53.01,11.0
2017-12-05T03:57:00Z,10.0,29.0,31.0,31.0,60.0,53.01,12.0
2017-12-05T04:57:00Z,8.99,34.0,27.0,27.0,49.0,53.01,13.0
2017-12-05T05:57:00Z,17.0,55.0,32.99,32.99,55.0,54.0,12.0
2017-12-05T06:57:00Z,12.01,23.0,32.01,32.01,67.0,53.01,12.0
2017-12-05T07:57:00Z,13.0,47.0,25.99,25.99,65.0,53.01,13.0
2017-12-05T08:57:00Z,11.01,11.0,24.99,24.99,6.0,52.0,13.0
2017-12-05T09:57:00Z,11.01,19.0,27.0,27.0,24.0,52.0,14.0
2017-12-05T10:57:00Z,10.0,19.0,30.0,30.0,91.0,51.01,14.0
2017-12-05T11:57:00Z,10.0,13.0,28.99,28.99,28.0,50.0,15.0
2017-12-05T12:57:00Z,12.01,26.0,28.01,28.01,6.0,50.0,15.0
2017-12-05T13:57:00Z,14.0,22.0,34.0,34.0,2.0,50.0,15.0
2017-12-05T14:57:00Z,13.0,11.0,32.99,32.99,350.0,50.0,15.0
2017-12-05T15:57:00Z,13.0,14.0,32.01,32.01,21.0,51.01,14.0
2017-12-05T16:57:00Z,15.99,5.0,32.01,32.01,20.0,52.0,14.0
2017-12-05T17:57:00Z,17.0,6.0,30.0,30.0,340.0,54.0,13.0
2017-12-05T18:57:00Z,17.0,7.0,30.0,30.0,17.0,55.99,12.0
2017-12-05T19:57:00Z,21.0,2.0,35.99,35.99,10.0,57.0,11.0
2017-12-05T20:57:00Z,18.01,5.0,35.99,35.99,18.0,57.99,12.0
2017-12-05T21:57:00Z,10.0,27.0,25.99,25.99,340.0,59.0,10.0
2017-12-05T22:57:00Z,18.01,57.0,37.0,37.0,0.0,59.0,10.0
2017-12-05T23:57:00Z,20.0,52.0,41.0,41.0,58.0,59.0,9.0
2017-12-06T00:57:00Z,20.0,69.0,37.0,37.0,52.0,57.99,9.0
2017-12-06T01:57:00Z,18.99,84.0,41.0,41.0,43.0,57.99,8.0
2017-12-06T02:57:00Z,8.99,86.0,40.0,40.0,87.0,57.0,8.0
2017-12-06T03:57:00Z,7.0,83.0,18.01,18.01,69.0,57.0,8.0
2017-12-06T04:57:00Z,10.0,49.0,18.01,18.01,60.0,57.99,7.0
2017-12-06T05:57:00Z,11.01,56.0,23.0,23.0,63.0,57.99,8.0
2017-12-06T06:57:00Z,8.99,57.0,18.01,18.01,58.0,57.99,8.0
2017-12-06T07:57:00Z,12.01,59.0,17.0,17.0,59.0,57.0,10.0
2017-12-06T08:57:00Z,7.0,31.0,18.01,18.01,54.0,57.0,9.0
2017-12-06T09:57:00Z,7.0,357.0,15.99,15.99,347.0,55.99,10.0
2017-12-06T10:57:00Z,8.01,12.0,15.99,15.99,64.0,55.99,11.0
