datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:46:00Z,2.01,343.0,4.99,4.99,106.0,45.0,31.0
2017-12-03T01:46:00Z,4.0,11.0,7.0,7.0,1.0,44.01,32.0
2017-12-03T02:46:00Z,4.0,356.0,8.99,8.99,349.0,45.0,29.0
2017-12-03T03:46:00Z,4.0,1.0,8.01,8.01,340.0,44.01,29.0
2017-12-03T04:46:00Z,4.0,2.0,8.99,8.99,51.0,43.0,27.0
2017-12-03T05:46:00Z,4.0,12.0,10.0,10.0,26.0,43.0,30.0
2017-12-03T06:46:00Z,4.0,13.0,10.0,10.0,22.0,43.0,25.0
2017-12-03T07:46:00Z,4.99,9.0,10.0,10.0,335.0,43.0,23.0
2017-12-03T08:46:00Z,4.99,18.0,12.01,12.01,285.0,42.01,24.0
2017-12-03T09:46:00Z,4.0,16.0,11.01,11.01,9.0,41.0,23.0
2017-12-03T10:46:00Z,5.99,6.0,11.01,11.01,8.0,39.99,15.0
2017-12-03T11:46:00Z,4.99,6.0,11.01,11.01,4.0,39.99,19.0
2017-12-03T12:46:00Z,4.0,1.0,11.01,11.01,7.0,39.99,14.0
2017-12-03T13:46:00Z,4.99,355.0,12.01,12.01,4.0,39.0,14.0
2017-12-03T14:46:00Z,4.99,313.0,10.0,10.0,5.0,33.01,47.0
2017-12-03T15:46:00Z,5.99,307.0,8.99,8.99,298.0,35.01,45.0
2017-12-03T16:46:00Z,5.99,329.0,11.01,11.01,353.0,37.0,47.0
2017-12-03T17:46:00Z,7.0,330.0,14.0,14.0,330.0,43.0,35.0
2017-12-03T18:46:00Z,3.0,354.0,11.01,11.01,303.0,48.99,29.0
2017-12-03T19:46:00Z,4.99,350.0,14.99,14.99,24.0,52.0,16.0
2017-12-03T20:46:00Z,5.99,335.0,15.99,15.99,328.0,53.01,9.0
