datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:49:00Z,8.01,259.0,11.01,11.01,248.0,60.01,54.0
2017-12-03T01:49:00Z,5.99,245.0,11.01,11.01,243.0,61.0,57.0
2017-12-03T02:49:00Z,7.0,244.0,8.99,8.99,248.0,61.0,57.0
2017-12-03T03:49:00Z,2.01,269.0,8.01,8.01,237.0,60.01,59.0
2017-12-03T04:49:00Z,2.01,189.0,4.0,4.0,245.0,61.0,58.0
2017-12-03T05:49:00Z,0.0,,3.0,3.0,229.0,60.01,52.0
2017-12-03T06:49:00Z,2.01,180.0,4.0,4.0,235.0,61.0,46.0
2017-12-03T07:49:00Z,2.01,70.0,4.99,4.99,178.0,59.0,50.0
2017-12-03T08:49:00Z,3.0,222.0,7.0,7.0,156.0,59.0,55.0
2017-12-03T09:49:00Z,4.0,210.0,4.99,4.99,230.0,60.01,59.0
2017-12-03T10:49:00Z,3.0,277.0,10.0,10.0,154.0,57.0,59.0
2017-12-03T11:49:00Z,5.99,168.0,8.01,8.01,152.0,57.99,60.0
2017-12-03T12:49:00Z,2.01,163.0,7.0,7.0,176.0,55.99,60.0
2017-12-03T13:49:00Z,0.0,,3.0,3.0,110.0,55.0,60.0
2017-12-03T14:49:00Z,1.01,247.0,4.99,4.99,149.0,55.0,60.0
2017-12-03T15:49:00Z,4.99,93.0,7.0,7.0,88.0,54.0,60.0
2017-12-03T16:49:00Z,8.99,94.0,13.0,13.0,100.0,57.0,54.0
2017-12-03T17:49:00Z,4.0,91.0,12.01,12.01,92.0,60.01,53.0
2017-12-03T18:49:00Z,3.0,259.0,8.01,8.01,57.0,62.01,46.0
2017-12-03T19:49:00Z,8.01,273.0,11.01,11.01,269.0,64.0,44.0
2017-12-03T20:49:00Z,8.99,273.0,14.0,14.0,271.0,66.0,38.0
2017-12-03T21:49:00Z,8.99,281.0,14.99,14.99,283.0,66.99,43.0
2017-12-03T22:49:00Z,8.99,248.0,14.99,14.99,281.0,64.0,51.0
2017-12-03T23:49:00Z,8.01,273.0,14.0,14.0,262.0,62.01,50.0
2017-12-04T00:49:00Z,2.01,229.0,8.99,8.99,272.0,57.0,60.0
2017-12-04T01:49:00Z,13.0,89.0,18.01,18.01,99.0,55.99,60.0
2017-12-04T02:49:00Z,14.99,89.0,18.99,18.99,99.0,55.0,47.0
2017-12-04T03:49:00Z,18.01,89.0,22.01,22.01,101.0,55.0,45.0
2017-12-04T04:49:00Z,18.01,87.0,22.01,22.01,87.0,54.0,43.0
2017-12-04T05:49:00Z,20.0,86.0,24.99,24.99,88.0,54.0,41.0
2017-12-04T06:49:00Z,18.99,86.0,25.99,25.99,82.0,53.01,39.0
2017-12-04T07:49:00Z,20.0,97.0,25.99,25.99,87.0,51.01,44.0
2017-12-04T08:49:00Z,24.0,89.0,32.99,32.99,72.0,52.0,37.0
2017-12-04T09:49:00Z,28.01,78.0,37.0,37.0,81.0,52.0,35.0
2017-12-04T10:49:00Z,30.0,76.0,38.01,38.01,76.0,53.01,31.0
2017-12-04T11:49:00Z,31.0,71.0,42.01,42.01,73.0,53.01,31.0
2017-12-04T12:49:00Z,34.0,71.0,47.0,47.0,57.0,53.01,29.0
2017-12-04T13:49:00Z,32.99,69.0,47.0,47.0,70.0,52.0,28.0
2017-12-04T14:49:00Z,35.99,65.0,49.01,49.01,67.0,51.01,26.0
2017-12-04T15:49:00Z,37.0,67.0,51.0,51.0,73.0,51.01,23.0
2017-12-04T16:49:00Z,38.01,67.0,61.0,61.0,56.0,52.0,21.0
2017-12-04T17:49:00Z,40.0,68.0,61.0,61.0,73.0,53.01,18.0
2017-12-04T18:49:00Z,38.01,65.0,57.0,57.0,72.0,54.0,15.0
2017-12-04T19:49:00Z,35.99,61.0,59.99,59.99,67.0,55.0,14.0
2017-12-04T20:49:00Z,28.01,51.0,55.01,55.01,52.0,55.99,13.0
2017-12-04T21:49:00Z,28.01,55.0,51.0,51.0,56.0,57.0,11.0
2017-12-04T22:49:00Z,31.0,68.0,44.0,44.0,76.0,57.0,11.0
2017-12-04T23:49:00Z,31.0,62.0,44.98,44.98,69.0,57.0,11.0
2017-12-05T00:49:00Z,35.99,65.0,58.0,58.0,58.0,55.99,10.0
2017-12-05T01:49:00Z,34.0,66.0,51.0,51.0,66.0,54.0,11.0
2017-12-05T02:49:00Z,34.0,67.0,54.0,54.0,56.0,54.0,12.0
2017-12-05T03:49:00Z,31.0,61.0,51.0,51.0,67.0,53.01,12.0
2017-12-05T04:49:00Z,37.0,65.0,55.01,55.01,68.0,53.01,12.0
2017-12-05T05:49:00Z,32.99,64.0,52.01,52.01,43.0,52.0,12.0
2017-12-05T06:49:00Z,34.0,64.0,51.0,51.0,72.0,53.01,11.0
2017-12-05T07:49:00Z,37.0,63.0,54.0,54.0,60.0,52.0,11.0
2017-12-05T08:49:00Z,38.01,63.0,52.01,52.01,66.0,52.0,12.0
2017-12-05T09:49:00Z,40.0,68.0,57.0,57.0,72.0,51.01,12.0
2017-12-05T10:49:00Z,38.99,68.0,53.02,53.02,76.0,51.01,13.0
2017-12-05T11:49:00Z,42.99,66.0,59.01,59.01,66.0,51.01,13.0
2017-12-05T12:49:00Z,50.0,68.0,65.01,65.01,67.0,50.0,13.0
2017-12-05T13:49:00Z,41.0,66.0,67.0,67.0,62.0,50.0,13.0
2017-12-05T14:49:00Z,42.01,65.0,64.0,64.0,79.0,48.99,13.0
2017-12-05T15:49:00Z,42.99,64.0,59.99,59.99,68.0,50.0,13.0
2017-12-05T16:49:00Z,41.0,65.0,57.0,57.0,73.0,51.01,13.0
2017-12-05T17:49:00Z,35.99,55.0,55.01,55.01,59.0,54.0,12.0
2017-12-05T18:49:00Z,32.99,67.0,57.0,57.0,39.0,55.0,11.0
2017-12-05T19:49:00Z,24.99,33.0,51.0,51.0,26.0,55.0,11.0
2017-12-05T20:49:00Z,28.01,61.0,47.0,47.0,74.0,57.0,10.0
2017-12-05T21:49:00Z,27.0,66.0,59.01,59.01,70.0,57.99,10.0
2017-12-05T22:49:00Z,35.99,70.0,58.0,58.0,61.0,59.0,8.0
2017-12-05T23:49:00Z,32.99,85.0,49.01,49.01,97.0,59.0,8.0
2017-12-06T00:49:00Z,28.99,86.0,41.0,41.0,100.0,57.99,8.0
2017-12-06T01:49:00Z,27.0,73.0,42.99,42.99,54.0,57.0,8.0
2017-12-06T02:49:00Z,24.0,81.0,42.01,42.01,73.0,55.99,8.0
2017-12-06T03:49:00Z,21.0,74.0,34.99,34.99,73.0,55.0,9.0
2017-12-06T04:49:00Z,21.0,88.0,31.0,31.0,93.0,54.0,9.0
2017-12-06T05:49:00Z,21.0,72.0,31.0,31.0,63.0,53.01,9.0
2017-12-06T06:49:00Z,17.0,39.0,37.0,37.0,46.0,54.0,10.0
2017-12-06T07:49:00Z,22.01,71.0,38.01,38.01,75.0,54.0,10.0
2017-12-06T08:49:00Z,22.01,70.0,37.0,37.0,39.0,55.0,10.0
2017-12-06T09:49:00Z,22.01,67.0,42.01,42.01,87.0,55.0,10.0
2017-12-06T10:49:00Z,25.99,69.0,40.0,40.0,79.0,55.0,10.0
2017-12-06T11:49:00Z,28.99,39.0,42.01,42.01,22.0,55.0,10.0
2017-12-06T12:49:00Z,38.01,65.0,54.0,54.0,73.0,55.0,10.0
2017-12-06T13:49:00Z,40.0,65.0,54.0,54.0,73.0,55.0,11.0
2017-12-06T14:49:00Z,38.01,71.0,57.0,57.0,70.0,55.0,10.0
2017-12-06T15:49:00Z,32.01,71.0,45.99,45.99,70.0,55.99,10.0
2017-12-06T16:49:00Z,30.0,78.0,42.01,42.01,78.0,59.0,10.0
