datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:53:00Z,4.99,227.0,8.99,8.99,246.0,57.99,46.0
2017-12-03T01:53:00Z,4.99,214.0,10.0,10.0,200.0,57.0,50.0
2017-12-03T02:53:00Z,4.0,224.0,8.01,8.01,206.0,55.99,55.0
2017-12-03T03:53:00Z,5.99,226.0,10.0,10.0,230.0,55.0,57.0
2017-12-03T04:53:00Z,5.99,235.0,10.0,10.0,221.0,53.01,60.0
2017-12-03T05:53:00Z,5.99,236.0,10.0,10.0,236.0,53.01,62.0
2017-12-03T06:53:00Z,8.01,233.0,12.01,12.01,228.0,52.0,61.0
2017-12-03T07:53:00Z,4.0,229.0,11.01,11.01,231.0,51.01,61.0
2017-12-03T08:53:00Z,4.99,208.0,10.0,10.0,186.0,50.0,67.0
2017-12-03T09:53:00Z,4.99,219.0,8.99,8.99,196.0,48.99,72.0
2017-12-03T10:53:00Z,5.99,233.0,10.0,10.0,222.0,48.0,71.0
2017-12-03T11:53:00Z,4.99,213.0,10.0,10.0,237.0,48.0,76.0
2017-12-03T12:53:00Z,5.99,253.0,8.99,8.99,273.0,46.99,82.0
2017-12-03T13:53:00Z,8.01,240.0,12.01,12.01,239.0,46.99,87.0
2017-12-03T14:53:00Z,11.01,292.0,14.99,14.99,287.0,48.99,50.0
2017-12-03T15:53:00Z,12.01,293.0,17.0,17.0,294.0,52.0,38.0
2017-12-03T16:53:00Z,15.99,289.0,23.0,23.0,286.0,52.0,40.0
2017-12-03T17:53:00Z,7.0,277.0,24.99,24.99,290.0,57.0,34.0
2017-12-03T18:53:00Z,11.01,276.0,24.0,24.0,296.0,57.0,32.0
2017-12-03T19:53:00Z,11.01,266.0,21.0,21.0,286.0,57.99,35.0
2017-12-03T20:53:00Z,8.01,250.0,18.99,18.99,257.0,57.0,41.0
2017-12-03T21:53:00Z,13.0,276.0,21.0,21.0,275.0,53.01,49.0
2017-12-03T22:53:00Z,12.01,279.0,21.0,21.0,289.0,53.01,50.0
2017-12-03T23:53:00Z,17.0,282.0,24.99,24.99,287.0,48.99,51.0
2017-12-04T00:53:00Z,15.99,282.0,23.0,23.0,281.0,45.0,55.0
2017-12-04T01:53:00Z,22.01,280.0,28.99,28.99,284.0,43.0,56.0
2017-12-04T02:53:00Z,23.0,281.0,32.99,32.99,285.0,44.01,51.0
2017-12-04T03:53:00Z,24.99,282.0,34.0,34.0,275.0,43.0,52.0
2017-12-04T04:53:00Z,24.0,283.0,34.0,34.0,285.0,44.01,47.0
2017-12-04T05:53:00Z,17.0,301.0,34.99,34.99,281.0,44.01,46.0
2017-12-04T06:53:00Z,14.99,317.0,32.01,32.01,293.0,42.01,52.0
2017-12-04T07:53:00Z,4.0,30.0,17.0,17.0,330.0,44.01,43.0
2017-12-04T08:53:00Z,15.99,37.0,21.0,21.0,36.0,45.0,39.0
2017-12-04T09:53:00Z,24.0,50.0,34.0,34.0,41.0,44.01,42.0
2017-12-04T10:53:00Z,24.99,52.0,37.0,37.0,48.0,43.0,47.0
2017-12-04T11:53:00Z,27.0,49.0,40.0,40.0,47.0,41.0,51.0
2017-12-04T12:53:00Z,24.99,44.0,41.0,41.0,45.0,39.0,48.0
2017-12-04T13:53:00Z,24.99,50.0,38.01,38.01,42.0,37.0,62.0
2017-12-04T14:53:00Z,28.99,49.0,41.0,41.0,49.0,36.0,52.0
2017-12-04T15:53:00Z,24.0,43.0,41.0,41.0,23.0,39.0,44.0
2017-12-04T16:53:00Z,27.0,54.0,45.99,45.99,34.0,41.0,38.0
2017-12-04T17:53:00Z,28.01,64.0,44.98,44.98,56.0,43.0,28.0
2017-12-04T18:53:00Z,32.01,62.0,54.0,54.0,71.0,43.0,24.0
2017-12-04T19:53:00Z,28.99,69.0,52.01,52.01,51.0,46.99,21.0
2017-12-04T20:53:00Z,34.0,66.0,54.0,54.0,60.0,46.0,18.0
2017-12-04T21:53:00Z,32.99,67.0,52.01,52.01,56.0,46.0,16.0
2017-12-04T22:53:00Z,28.99,56.0,58.0,58.0,66.0,45.0,17.0
2017-12-04T23:53:00Z,32.99,70.0,52.01,52.01,62.0,44.01,17.0
2017-12-05T00:53:00Z,34.99,63.0,54.0,54.0,53.0,42.01,18.0
2017-12-05T01:53:00Z,34.99,73.0,47.0,47.0,65.0,41.0,19.0
2017-12-05T02:53:00Z,41.0,70.0,54.0,54.0,62.0,39.99,19.0
2017-12-05T03:53:00Z,41.0,70.0,63.01,63.01,65.0,39.99,19.0
2017-12-05T04:53:00Z,44.0,74.0,65.99,65.99,61.0,39.99,19.0
2017-12-05T05:53:00Z,42.99,68.0,61.0,61.0,57.0,39.99,19.0
2017-12-05T06:53:00Z,32.99,62.0,61.0,61.0,58.0,39.0,20.0
2017-12-05T07:53:00Z,28.01,59.0,50.0,50.0,56.0,37.99,20.0
2017-12-05T08:53:00Z,35.99,54.0,59.01,59.01,53.0,37.99,21.0
2017-12-05T09:53:00Z,35.99,55.0,62.01,62.01,59.0,37.0,22.0
2017-12-05T10:53:00Z,37.0,56.0,65.99,65.99,60.0,36.0,23.0
2017-12-05T11:53:00Z,40.0,54.0,61.0,61.0,50.0,35.01,26.0
2017-12-05T12:53:00Z,37.0,41.0,55.01,55.01,51.0,35.01,26.0
2017-12-05T13:53:00Z,42.01,38.0,68.0,68.0,35.0,35.01,27.0
2017-12-05T14:53:00Z,38.01,51.0,59.01,59.01,47.0,35.01,25.0
2017-12-05T15:53:00Z,37.0,50.0,63.01,63.01,46.0,37.99,22.0
2017-12-05T16:53:00Z,34.99,56.0,62.01,62.01,35.0,39.99,21.0
