datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-12-03T00:57:00Z,12.01,154.0,15.99,15.99,146.0,57.0,37.0
2017-12-03T01:57:00Z,10.0,170.0,14.0,14.0,164.0,57.0,49.0
2017-12-03T02:57:00Z,12.01,156.0,14.99,14.99,154.0,55.99,51.0
2017-12-03T03:57:00Z,10.0,158.0,14.0,14.0,161.0,55.0,53.0
2017-12-03T04:57:00Z,8.99,151.0,14.0,14.0,146.0,54.0,56.0
2017-12-03T05:57:00Z,8.99,143.0,12.01,12.01,160.0,53.01,57.0
2017-12-03T06:57:00Z,11.01,154.0,13.0,13.0,152.0,52.0,55.0
2017-12-03T07:57:00Z,10.0,145.0,14.0,14.0,161.0,51.01,57.0
2017-12-03T08:57:00Z,13.0,149.0,14.99,14.99,152.0,50.0,63.0
2017-12-03T09:57:00Z,13.0,147.0,15.99,15.99,154.0,48.99,71.0
2017-12-03T10:57:00Z,8.01,143.0,18.01,18.01,144.0,48.0,77.0
2017-12-03T11:57:00Z,5.99,168.0,8.99,8.99,173.0,48.99,74.0
2017-12-03T12:57:00Z,3.0,249.0,8.01,8.01,183.0,50.0,55.0
2017-12-03T13:57:00Z,10.0,316.0,14.0,14.0,326.0,48.99,46.0
2017-12-03T14:57:00Z,4.0,320.0,14.0,14.0,330.0,48.99,42.0
2017-12-03T15:57:00Z,4.99,339.0,7.0,7.0,340.0,51.01,35.0
2017-12-03T16:57:00Z,10.0,313.0,15.99,15.99,342.0,53.01,34.0
2017-12-03T17:57:00Z,12.01,324.0,21.0,21.0,332.0,54.0,35.0
2017-12-03T18:57:00Z,10.0,322.0,18.99,18.99,329.0,54.0,39.0
2017-12-03T19:57:00Z,10.0,336.0,17.0,17.0,340.0,51.01,51.0
2017-12-03T20:57:00Z,11.01,335.0,17.0,17.0,345.0,50.0,55.0
2017-12-03T21:57:00Z,11.01,340.0,18.01,18.01,344.0,51.01,57.0
2017-12-03T22:57:00Z,14.0,338.0,20.0,20.0,343.0,48.0,64.0
2017-12-03T23:57:00Z,14.0,348.0,22.01,22.01,355.0,46.0,68.0
2017-12-04T00:57:00Z,11.01,343.0,18.01,18.01,0.0,43.0,73.0
