datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-10-08T00:29:00Z,14.0,217.0,20.0,20.0,194.0,80.01,19.0
2017-10-08T01:29:00Z,14.99,237.0,21.0,21.0,193.0,75.99,24.0
2017-10-08T02:29:00Z,10.0,255.0,15.99,15.99,242.0,72.0,28.0
2017-10-08T03:29:00Z,5.99,262.0,10.0,10.0,253.0,71.01,31.0
2017-10-08T04:29:00Z,8.01,262.0,10.0,10.0,251.0,66.99,35.0
2017-10-08T05:29:00Z,7.0,262.0,12.01,12.01,260.0,64.99,44.0
2017-10-08T06:29:00Z,5.99,265.0,10.0,10.0,272.0,63.0,46.0
2017-10-08T07:29:00Z,5.99,352.0,8.99,8.99,336.0,66.99,36.0
2017-10-08T08:29:00Z,4.0,323.0,13.0,13.0,326.0,64.99,39.0
2017-10-08T09:29:00Z,4.0,32.0,10.0,10.0,342.0,63.0,43.0
2017-10-08T10:29:00Z,4.99,26.0,8.01,8.01,32.0,63.0,45.0
2017-10-08T11:29:00Z,5.99,34.0,12.01,12.01,21.0,62.01,43.0
2017-10-08T12:29:00Z,4.0,68.0,13.0,13.0,48.0,61.0,39.0
2017-10-08T13:29:00Z,4.99,48.0,15.99,15.99,12.0,61.0,36.0
2017-10-08T14:29:00Z,5.99,49.0,13.0,13.0,23.0,62.01,35.0
2017-10-08T15:29:00Z,4.99,4.0,12.01,12.01,345.0,64.99,29.0
2017-10-08T16:29:00Z,8.01,359.0,14.0,14.0,21.0,64.99,29.0
2017-10-08T17:29:00Z,7.0,18.0,20.0,20.0,1.0,69.01,23.0
2017-10-08T18:29:00Z,10.0,12.0,21.0,21.0,9.0,71.01,21.0
2017-10-08T19:29:00Z,8.99,28.0,21.0,21.0,0.0,73.99,14.0
2017-10-08T20:29:00Z,10.0,20.0,23.0,23.0,353.0,73.99,13.0
2017-10-08T21:29:00Z,10.0,31.0,18.99,18.99,6.0,73.99,13.0
2017-10-08T22:29:00Z,10.0,30.0,21.0,21.0,50.0,73.99,14.0
2017-10-08T23:29:00Z,8.01,11.0,20.0,20.0,336.0,73.0,14.0
2017-10-09T00:29:00Z,4.99,5.0,18.01,18.01,36.0,71.01,15.0
2017-10-09T01:29:00Z,8.01,344.0,15.99,15.99,347.0,66.99,16.0
2017-10-09T02:29:00Z,8.99,0.0,18.99,18.99,347.0,64.0,16.0
2017-10-09T03:29:00Z,13.0,1.0,25.99,25.99,336.0,64.99,16.0
2017-10-09T04:29:00Z,11.01,29.0,32.01,32.01,25.0,64.0,15.0
2017-10-09T05:29:00Z,13.0,21.0,30.0,30.0,26.0,62.01,17.0
2017-10-09T06:29:00Z,13.0,14.0,28.01,28.01,8.0,62.01,16.0
2017-10-09T07:29:00Z,17.0,7.0,31.0,31.0,19.0,61.0,15.0
2017-10-09T08:29:00Z,14.0,18.0,32.01,32.01,349.0,60.01,16.0
2017-10-09T09:29:00Z,14.0,15.0,28.99,28.99,353.0,60.01,16.0
2017-10-09T10:29:00Z,14.0,29.0,30.0,30.0,10.0,60.01,16.0
2017-10-09T11:29:00Z,14.99,27.0,34.0,34.0,24.0,59.0,16.0
2017-10-09T12:29:00Z,13.0,4.0,32.01,32.01,15.0,59.0,16.0
2017-10-09T13:29:00Z,8.99,20.0,24.99,24.99,26.0,57.99,17.0
2017-10-09T14:29:00Z,7.0,27.0,18.99,18.99,2.0,57.0,17.0
2017-10-09T15:29:00Z,8.01,46.0,20.0,20.0,23.0,61.0,16.0
2017-10-09T16:29:00Z,7.0,54.0,18.99,18.99,9.0,64.99,15.0
2017-10-09T17:29:00Z,8.01,62.0,21.0,21.0,24.0,68.0,14.0
2017-10-09T18:29:00Z,5.99,43.0,15.99,15.99,15.0,70.0,13.0
2017-10-09T19:29:00Z,4.99,10.0,12.01,12.01,28.0,73.99,12.0
2017-10-09T20:29:00Z,4.99,72.0,12.01,12.01,6.0,75.0,11.0
2017-10-09T21:29:00Z,4.0,56.0,10.0,10.0,32.0,77.0,11.0
2017-10-09T22:29:00Z,4.99,70.0,11.01,11.01,91.0,73.99,12.0
2017-10-09T23:29:00Z,4.0,92.0,7.0,7.0,312.0,72.0,15.0
2017-10-10T00:29:00Z,4.99,180.0,11.01,11.01,198.0,69.01,18.0
2017-10-10T01:29:00Z,11.01,210.0,14.0,14.0,213.0,66.99,17.0
2017-10-10T02:29:00Z,10.0,230.0,18.99,18.99,215.0,64.99,18.0
2017-10-10T03:29:00Z,13.0,226.0,15.99,15.99,215.0,64.0,21.0
2017-10-10T04:29:00Z,13.0,223.0,15.99,15.99,222.0,63.0,21.0
2017-10-10T05:29:00Z,11.01,222.0,15.99,15.99,219.0,62.01,24.0
2017-10-10T06:29:00Z,5.99,248.0,10.0,10.0,223.0,63.0,28.0
2017-10-10T07:29:00Z,4.99,320.0,7.0,7.0,250.0,63.0,26.0
2017-10-10T08:29:00Z,3.0,333.0,5.99,5.99,24.0,62.01,24.0
2017-10-10T09:29:00Z,4.0,271.0,7.0,7.0,286.0,62.01,30.0
2017-10-10T10:29:00Z,2.01,344.0,5.99,5.99,274.0,62.01,33.0
2017-10-10T11:29:00Z,4.0,46.0,5.99,5.99,31.0,60.01,32.0
2017-10-10T12:29:00Z,4.0,48.0,5.99,5.99,43.0,57.99,28.0
2017-10-10T13:29:00Z,7.0,42.0,10.0,10.0,33.0,57.99,31.0
2017-10-10T14:29:00Z,5.99,48.0,8.99,8.99,40.0,59.0,31.0
2017-10-10T15:29:00Z,5.99,68.0,8.01,8.01,53.0,62.01,30.0
2017-10-10T16:29:00Z,3.0,36.0,8.99,8.99,73.0,64.99,26.0
2017-10-10T17:29:00Z,4.0,37.0,8.99,8.99,79.0,69.01,24.0
2017-10-10T18:29:00Z,8.99,113.0,14.0,14.0,127.0,68.0,25.0
2017-10-10T19:29:00Z,4.0,80.0,12.01,12.01,132.0,71.01,24.0
2017-10-10T20:29:00Z,11.01,228.0,20.0,20.0,254.0,73.0,15.0
2017-10-10T21:29:00Z,18.99,222.0,31.0,31.0,241.0,73.0,16.0
2017-10-10T22:29:00Z,20.0,232.0,34.99,34.99,252.0,72.0,15.0
2017-10-10T23:29:00Z,22.01,237.0,35.99,35.99,231.0,71.01,19.0
