datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-10-08T00:57:00Z,8.01,274.0,22.01,22.01,296.0,77.0,22.0
2017-10-08T01:57:00Z,8.99,288.0,17.0,17.0,290.0,71.01,30.0
2017-10-08T02:57:00Z,8.99,293.0,15.99,15.99,282.0,66.99,37.0
2017-10-08T03:57:00Z,12.01,297.0,18.99,18.99,301.0,66.99,40.0
2017-10-08T04:57:00Z,13.0,290.0,21.0,21.0,299.0,63.0,47.0
2017-10-08T05:57:00Z,14.0,295.0,21.0,21.0,282.0,63.0,49.0
2017-10-08T06:57:00Z,11.01,298.0,24.99,24.99,297.0,61.0,55.0
2017-10-08T07:57:00Z,8.99,305.0,17.0,17.0,306.0,60.01,56.0
2017-10-08T08:57:00Z,8.01,291.0,13.0,13.0,312.0,59.0,55.0
2017-10-08T09:57:00Z,2.01,251.0,11.01,11.01,290.0,55.0,63.0
2017-10-08T10:57:00Z,3.0,138.0,5.99,5.99,252.0,62.01,39.0
2017-10-08T11:57:00Z,2.01,149.0,8.01,8.01,89.0,61.0,36.0
2017-10-08T12:57:00Z,2.01,156.0,4.0,4.0,162.0,59.0,36.0
2017-10-08T13:57:00Z,3.0,146.0,5.99,5.99,86.0,55.0,52.0
2017-10-08T14:57:00Z,4.0,121.0,8.99,8.99,144.0,57.99,39.0
2017-10-08T15:57:00Z,8.99,104.0,14.99,14.99,110.0,59.0,38.0
2017-10-08T16:57:00Z,8.01,106.0,14.99,14.99,93.0,63.0,34.0
2017-10-08T17:57:00Z,8.99,111.0,20.0,20.0,104.0,66.99,26.0
2017-10-08T18:57:00Z,11.01,104.0,23.0,23.0,107.0,69.01,22.0
2017-10-08T19:57:00Z,7.0,106.0,20.0,20.0,104.0,73.99,15.0
2017-10-08T20:57:00Z,8.99,98.0,21.0,21.0,119.0,73.99,7.0
2017-10-08T21:57:00Z,5.99,89.0,22.01,22.01,52.0,73.99,7.0
2017-10-08T22:57:00Z,7.0,106.0,18.99,18.99,88.0,73.0,9.0
2017-10-08T23:57:00Z,5.99,87.0,18.99,18.99,39.0,71.01,10.0
2017-10-09T00:57:00Z,4.99,46.0,17.0,17.0,38.0,69.01,14.0
2017-10-09T01:57:00Z,7.0,33.0,17.0,17.0,56.0,64.99,16.0
2017-10-09T02:57:00Z,10.0,53.0,23.0,23.0,359.0,64.99,16.0
2017-10-09T03:57:00Z,5.99,33.0,24.99,24.99,30.0,64.0,16.0
2017-10-09T04:57:00Z,4.0,160.0,27.0,27.0,21.0,63.0,14.0
2017-10-09T05:57:00Z,8.01,95.0,24.0,24.0,34.0,62.01,15.0
2017-10-09T06:57:00Z,7.0,74.0,32.99,32.99,68.0,62.01,15.0
