datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-10-08T00:09:00Z,5.99,298.0,13.0,13.0,277.0,84.0,20.0
2017-10-08T01:09:00Z,4.99,301.0,13.0,13.0,310.0,79.0,21.0
2017-10-08T02:09:00Z,1.01,43.0,10.0,10.0,276.0,71.01,28.0
2017-10-08T03:09:00Z,7.0,8.0,11.01,11.01,359.0,69.01,34.0
2017-10-08T04:09:00Z,1.01,340.0,11.01,11.01,6.0,66.0,37.0
2017-10-08T05:09:00Z,4.0,27.0,4.99,4.99,28.0,60.01,47.0
2017-10-08T06:09:00Z,2.01,32.0,4.99,4.99,0.0,57.99,50.0
2017-10-08T07:09:00Z,3.0,14.0,8.99,8.99,349.0,57.99,52.0
2017-10-08T08:09:00Z,4.0,4.0,8.01,8.01,11.0,59.0,52.0
2017-10-08T09:09:00Z,3.0,336.0,8.99,8.99,0.0,64.0,38.0
2017-10-08T10:09:00Z,10.0,23.0,17.0,17.0,43.0,64.99,34.0
2017-10-08T11:09:00Z,11.01,25.0,24.0,24.0,37.0,64.99,29.0
2017-10-08T12:09:00Z,10.0,23.0,24.99,24.99,10.0,64.0,29.0
2017-10-08T13:09:00Z,14.0,25.0,24.99,24.99,21.0,63.0,28.0
2017-10-08T14:09:00Z,20.0,27.0,32.99,32.99,17.0,61.0,29.0
2017-10-08T15:09:00Z,21.0,24.0,38.99,38.99,12.0,60.01,32.0
2017-10-08T16:09:00Z,21.0,24.0,41.0,41.0,11.0,60.01,31.0
2017-10-08T17:09:00Z,21.0,24.0,41.0,41.0,24.0,63.0,28.0
2017-10-08T18:09:00Z,18.01,25.0,41.0,41.0,11.0,66.99,18.0
2017-10-08T19:09:00Z,21.0,23.0,42.01,42.01,21.0,70.0,14.0
2017-10-08T20:09:00Z,18.99,21.0,38.01,38.01,359.0,71.01,10.0
2017-10-08T21:09:00Z,24.0,13.0,41.0,41.0,18.0,71.01,10.0
2017-10-08T22:09:00Z,22.01,22.0,42.01,42.01,0.0,72.0,11.0
2017-10-08T23:09:00Z,23.0,22.0,40.0,40.0,24.0,70.0,13.0
2017-10-09T00:09:00Z,23.0,16.0,41.0,41.0,13.0,68.0,16.0
2017-10-09T01:09:00Z,21.0,15.0,38.99,38.99,3.0,66.0,16.0
2017-10-09T02:09:00Z,21.0,17.0,38.99,38.99,9.0,64.99,17.0
2017-10-09T03:09:00Z,20.0,21.0,40.0,40.0,2.0,64.0,18.0
2017-10-09T04:09:00Z,24.0,24.0,49.01,49.01,34.0,64.0,16.0
2017-10-09T05:09:00Z,24.0,27.0,50.0,50.0,33.0,63.0,15.0
2017-10-09T06:09:00Z,22.01,32.0,50.0,50.0,21.0,62.01,16.0
2017-10-09T07:09:00Z,31.0,32.0,55.99,55.99,20.0,61.0,16.0
