datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-10-08T00:31:00Z,7.0,266.0,18.99,18.99,270.0,75.0,35.0
2017-10-08T01:31:00Z,8.99,248.0,20.0,20.0,254.0,66.99,47.0
2017-10-08T02:31:00Z,7.0,252.0,18.01,18.01,247.0,64.0,53.0
2017-10-08T03:31:00Z,5.99,261.0,17.0,17.0,252.0,62.01,58.0
2017-10-08T04:31:00Z,4.99,257.0,14.0,14.0,258.0,61.0,62.0
2017-10-08T05:31:00Z,4.0,250.0,12.01,12.01,252.0,59.0,67.0
2017-10-08T06:31:00Z,4.99,247.0,11.01,11.01,248.0,57.0,72.0
2017-10-08T07:31:00Z,4.99,250.0,10.0,10.0,259.0,55.99,75.0
2017-10-08T08:31:00Z,4.99,248.0,10.0,10.0,259.0,55.0,76.0
2017-10-08T09:31:00Z,4.99,248.0,11.01,11.01,255.0,55.0,76.0
2017-10-08T10:31:00Z,4.99,261.0,8.99,8.99,254.0,54.0,78.0
2017-10-08T11:31:00Z,3.0,251.0,8.01,8.01,269.0,54.0,77.0
2017-10-08T12:31:00Z,3.0,257.0,7.0,7.0,261.0,55.0,70.0
2017-10-08T13:31:00Z,3.0,278.0,5.99,5.99,282.0,54.0,69.0
2017-10-08T14:31:00Z,1.01,179.0,4.0,4.0,262.0,55.0,71.0
2017-10-08T15:31:00Z,1.01,271.0,5.99,5.99,264.0,62.01,53.0
2017-10-08T16:31:00Z,2.01,185.0,4.99,4.99,160.0,64.99,52.0
2017-10-08T17:31:00Z,2.01,313.0,4.0,4.0,288.0,71.01,41.0
2017-10-08T18:31:00Z,2.01,192.0,4.99,4.99,191.0,75.99,33.0
2017-10-08T19:31:00Z,3.0,163.0,8.01,8.01,26.0,77.0,32.0
2017-10-08T20:31:00Z,2.01,138.0,8.01,8.01,180.0,82.99,24.0
2017-10-08T21:31:00Z,3.0,126.0,8.99,8.99,36.0,84.0,22.0
2017-10-08T22:31:00Z,4.99,50.0,11.01,11.01,25.0,84.0,17.0
2017-10-08T23:31:00Z,5.99,39.0,15.99,15.99,28.0,82.99,12.0
2017-10-09T00:31:00Z,11.01,24.0,21.0,21.0,25.0,80.01,10.0
2017-10-09T01:31:00Z,8.01,8.0,17.0,17.0,48.0,75.0,12.0
2017-10-09T02:31:00Z,2.01,360.0,13.0,13.0,17.0,72.0,16.0
2017-10-09T03:31:00Z,4.0,329.0,13.0,13.0,22.0,70.0,17.0
2017-10-09T04:31:00Z,8.99,4.0,20.0,20.0,13.0,71.01,16.0
2017-10-09T05:31:00Z,12.01,5.0,25.99,25.99,1.0,71.01,13.0
2017-10-09T06:31:00Z,7.0,14.0,18.99,18.99,25.0,69.01,13.0
2017-10-09T07:31:00Z,8.99,12.0,15.99,15.99,354.0,68.0,13.0
2017-10-09T08:31:00Z,8.99,14.0,21.0,21.0,43.0,68.0,12.0
2017-10-09T09:31:00Z,13.0,18.0,25.99,25.99,19.0,68.0,13.0
2017-10-09T10:31:00Z,12.01,21.0,24.0,24.0,20.0,68.0,12.0
2017-10-09T11:31:00Z,14.0,14.0,28.01,28.01,17.0,66.99,13.0
2017-10-09T12:31:00Z,8.01,5.0,27.0,27.0,11.0,64.99,14.0
2017-10-09T13:31:00Z,3.0,32.0,12.01,12.01,18.0,64.0,14.0
2017-10-09T14:31:00Z,4.0,100.0,7.0,7.0,39.0,66.0,13.0
2017-10-09T15:31:00Z,3.0,81.0,8.01,8.01,111.0,66.0,16.0
2017-10-09T16:31:00Z,4.0,116.0,8.01,8.01,107.0,64.0,19.0
2017-10-09T17:31:00Z,4.0,147.0,10.0,10.0,110.0,66.99,28.0
2017-10-09T18:31:00Z,5.99,146.0,12.01,12.01,148.0,72.0,16.0
2017-10-09T19:31:00Z,4.0,148.0,11.01,11.01,138.0,75.99,13.0
2017-10-09T20:31:00Z,4.99,137.0,12.01,12.01,132.0,80.01,12.0
2017-10-09T21:31:00Z,7.0,138.0,14.99,14.99,139.0,79.0,11.0
2017-10-09T22:31:00Z,5.99,148.0,14.99,14.99,144.0,80.01,11.0
2017-10-09T23:31:00Z,4.0,123.0,11.01,11.01,138.0,79.0,12.0
2017-10-10T00:31:00Z,3.0,153.0,7.0,7.0,124.0,75.99,14.0
2017-10-10T01:31:00Z,2.01,246.0,8.01,8.01,178.0,71.01,20.0
2017-10-10T02:31:00Z,4.0,258.0,8.01,8.01,261.0,66.99,24.0
2017-10-10T03:31:00Z,2.01,158.0,7.0,7.0,258.0,69.01,28.0
2017-10-10T04:31:00Z,0.0,,5.99,5.99,20.0,66.0,27.0
2017-10-10T05:31:00Z,0.0,,3.0,3.0,17.0,66.99,30.0
2017-10-10T06:31:00Z,1.01,224.0,3.0,3.0,261.0,64.99,37.0
2017-10-10T07:31:00Z,2.01,142.0,4.0,4.0,151.0,63.0,39.0
2017-10-10T08:31:00Z,3.0,69.0,5.99,5.99,88.0,62.01,43.0
