datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-10-08T00:29:00Z,7.0,216.0,13.0,13.0,203.0,82.0,29.0
2017-10-08T01:29:00Z,5.99,218.0,10.0,10.0,201.0,75.0,36.0
2017-10-08T02:29:00Z,2.01,320.0,5.99,5.99,206.0,70.0,43.0
2017-10-08T03:29:00Z,7.0,321.0,13.0,13.0,347.0,70.0,39.0
2017-10-08T04:29:00Z,10.0,340.0,15.99,15.99,335.0,68.0,45.0
2017-10-08T05:29:00Z,5.99,341.0,18.01,18.01,340.0,64.99,52.0
2017-10-08T06:29:00Z,4.99,341.0,14.0,14.0,327.0,62.01,59.0
2017-10-08T07:29:00Z,2.01,21.0,11.01,11.01,323.0,60.01,63.0
2017-10-08T08:29:00Z,2.01,44.0,11.01,11.01,317.0,57.99,64.0
2017-10-08T09:29:00Z,3.0,12.0,10.0,10.0,346.0,57.99,64.0
2017-10-08T10:29:00Z,4.99,355.0,13.0,13.0,344.0,57.0,62.0
2017-10-08T11:29:00Z,4.0,12.0,14.0,14.0,342.0,55.99,61.0
2017-10-08T12:29:00Z,2.01,39.0,11.01,11.01,325.0,55.0,61.0
2017-10-08T13:29:00Z,5.99,4.0,14.0,14.0,336.0,55.99,58.0
2017-10-08T14:29:00Z,4.99,358.0,10.0,10.0,340.0,55.0,59.0
2017-10-08T15:29:00Z,2.01,303.0,11.01,11.01,343.0,59.0,52.0
2017-10-08T16:29:00Z,2.01,236.0,8.01,8.01,301.0,64.0,47.0
2017-10-08T17:29:00Z,3.0,286.0,8.99,8.99,343.0,69.01,36.0
2017-10-08T18:29:00Z,4.0,256.0,7.0,7.0,261.0,73.0,31.0
2017-10-08T19:29:00Z,4.0,233.0,8.99,8.99,214.0,77.0,27.0
2017-10-08T20:29:00Z,14.0,68.0,24.0,24.0,64.0,82.0,9.0
2017-10-08T21:29:00Z,8.01,65.0,18.99,18.99,63.0,84.0,6.0
2017-10-08T22:29:00Z,8.01,52.0,22.01,22.01,75.0,84.0,4.0
2017-10-08T23:29:00Z,7.0,47.0,15.99,15.99,17.0,82.99,5.0
2017-10-09T00:29:00Z,11.01,62.0,24.0,24.0,68.0,79.0,9.0
2017-10-09T01:29:00Z,10.0,55.0,27.0,27.0,67.0,75.0,12.0
2017-10-09T02:29:00Z,5.99,55.0,23.0,23.0,57.0,72.0,13.0
2017-10-09T03:29:00Z,4.99,37.0,21.0,21.0,64.0,72.0,14.0
2017-10-09T04:29:00Z,11.01,48.0,30.0,30.0,50.0,72.0,12.0
2017-10-09T05:29:00Z,14.99,52.0,41.0,41.0,80.0,71.01,11.0
2017-10-09T06:29:00Z,14.0,41.0,40.0,40.0,102.0,71.01,11.0
2017-10-09T07:29:00Z,24.0,58.0,51.0,51.0,69.0,70.0,11.0
2017-10-09T08:29:00Z,24.0,59.0,53.02,53.02,75.0,70.0,11.0
2017-10-09T09:29:00Z,25.99,64.0,58.0,58.0,89.0,70.0,11.0
2017-10-09T10:29:00Z,18.01,58.0,48.0,48.0,75.0,73.99,10.0
2017-10-09T11:29:00Z,25.99,80.0,61.0,61.0,95.0,91.0,7.0
2017-10-09T12:29:00Z,8.01,218.0,68.0,68.0,74.0,70.0,12.0
2017-10-09T13:29:00Z,4.99,277.0,20.0,20.0,300.0,71.01,12.0
2017-10-09T14:29:00Z,14.99,57.0,28.99,28.99,59.0,71.01,11.0
2017-10-09T15:29:00Z,13.0,48.0,38.99,38.99,65.0,70.0,11.0
2017-10-09T16:29:00Z,13.0,66.0,30.0,30.0,51.0,71.01,11.0
2017-10-09T17:29:00Z,4.0,201.0,24.0,24.0,78.0,71.01,12.0
2017-10-09T18:29:00Z,8.99,200.0,13.0,13.0,197.0,70.0,15.0
2017-10-09T19:29:00Z,8.99,215.0,14.99,14.99,217.0,71.01,13.0
2017-10-09T20:29:00Z,10.0,216.0,14.99,14.99,234.0,72.0,14.0
2017-10-09T21:29:00Z,8.01,212.0,14.0,14.0,199.0,73.99,14.0
2017-10-09T22:29:00Z,4.99,222.0,14.0,14.0,227.0,75.0,14.0
2017-10-09T23:29:00Z,5.99,282.0,14.0,14.0,242.0,73.99,16.0
2017-10-10T00:29:00Z,8.01,241.0,12.01,12.01,257.0,71.01,17.0
2017-10-10T01:29:00Z,5.99,250.0,12.01,12.01,250.0,69.01,18.0
2017-10-10T02:29:00Z,4.0,331.0,8.01,8.01,244.0,66.0,23.0
2017-10-10T03:29:00Z,3.0,212.0,7.0,7.0,201.0,64.99,25.0
2017-10-10T04:29:00Z,3.0,60.0,7.0,7.0,204.0,64.99,26.0
2017-10-10T05:29:00Z,3.0,116.0,4.0,4.0,77.0,66.99,28.0
2017-10-10T06:29:00Z,3.0,87.0,4.0,4.0,167.0,64.0,30.0
2017-10-10T07:29:00Z,2.01,99.0,4.99,4.99,94.0,64.99,33.0
2017-10-10T08:29:00Z,3.0,92.0,4.99,4.99,90.0,59.0,39.0
2017-10-10T09:29:00Z,2.01,84.0,7.0,7.0,87.0,64.0,35.0
2017-10-10T10:29:00Z,1.01,92.0,4.99,4.99,88.0,62.01,40.0
2017-10-10T11:29:00Z,2.01,59.0,4.0,4.0,67.0,63.0,39.0
2017-10-10T12:29:00Z,2.01,234.0,3.0,3.0,222.0,57.99,43.0
2017-10-10T13:29:00Z,1.01,206.0,4.0,4.0,240.0,57.99,42.0
2017-10-10T14:29:00Z,2.01,233.0,2.01,2.01,233.0,57.99,43.0
2017-10-10T15:29:00Z,0.0,,3.0,3.0,73.0,57.99,45.0
2017-10-10T16:29:00Z,2.01,206.0,4.0,4.0,44.0,57.0,49.0
2017-10-10T17:29:00Z,2.01,82.0,3.0,3.0,75.0,61.0,44.0
2017-10-10T18:29:00Z,3.0,244.0,4.99,4.99,253.0,63.0,40.0
2017-10-10T19:29:00Z,3.0,190.0,5.99,5.99,208.0,70.0,28.0
