datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2017-10-08T00:36:00Z,14.0,240.0,20.0,20.0,237.0,82.99,19.0
2017-10-08T01:36:00Z,12.01,246.0,18.01,18.01,244.0,79.0,22.0
2017-10-08T02:36:00Z,7.0,274.0,4.99,4.99,322.0,73.99,27.0
2017-10-08T03:36:00Z,4.99,303.0,5.99,5.99,298.0,71.01,26.0
2017-10-08T04:36:00Z,4.99,250.0,8.01,8.01,249.0,68.0,36.0
2017-10-08T05:36:00Z,5.99,238.0,11.01,11.01,253.0,64.99,43.0
2017-10-08T06:36:00Z,8.01,243.0,11.01,11.01,251.0,64.0,49.0
2017-10-08T07:36:00Z,7.0,235.0,8.99,8.99,238.0,61.0,53.0
2017-10-08T08:36:00Z,4.99,243.0,5.99,5.99,247.0,60.01,54.0
2017-10-08T09:36:00Z,3.0,237.0,4.0,4.0,249.0,59.0,57.0
2017-10-08T10:36:00Z,7.0,352.0,12.01,12.01,346.0,59.0,47.0
2017-10-08T11:36:00Z,5.99,353.0,8.01,8.01,353.0,60.01,40.0
2017-10-08T12:36:00Z,5.99,346.0,11.01,11.01,359.0,61.0,32.0
2017-10-08T13:36:00Z,10.0,352.0,24.0,24.0,353.0,59.0,34.0
2017-10-08T14:36:00Z,14.0,3.0,25.99,25.99,12.0,55.99,36.0
2017-10-08T15:36:00Z,17.0,4.0,30.0,30.0,2.0,57.0,37.0
2017-10-08T16:36:00Z,18.01,359.0,38.01,38.01,13.0,57.99,36.0
2017-10-08T17:36:00Z,18.99,3.0,37.0,37.0,351.0,61.0,31.0
2017-10-08T18:36:00Z,24.99,358.0,41.0,41.0,350.0,64.0,22.0
2017-10-08T19:36:00Z,25.99,359.0,44.0,44.0,350.0,66.99,17.0
2017-10-08T20:36:00Z,23.0,358.0,42.01,42.01,6.0,70.0,11.0
2017-10-08T21:36:00Z,22.01,13.0,41.0,41.0,5.0,70.0,11.0
2017-10-08T22:36:00Z,23.0,8.0,38.01,38.01,352.0,70.0,12.0
2017-10-08T23:36:00Z,24.99,7.0,41.0,41.0,0.0,69.01,14.0
2017-10-09T00:36:00Z,25.99,360.0,48.0,48.0,4.0,68.0,16.0
