datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:23:00Z,4.0,254.0,10.0,10.0,287.0,64.0,83.0
2018-11-08T01:23:00Z,4.0,270.0,5.99,5.99,270.0,61.0,90.0
2018-11-08T02:23:00Z,2.01,325.0,4.99,4.99,268.0,62.01,92.0
2018-11-08T03:23:00Z,2.01,9.0,7.0,7.0,335.0,63.0,88.0
2018-11-08T04:23:00Z,2.01,33.0,5.99,5.99,30.0,62.01,91.0
2018-11-08T05:23:00Z,1.01,247.0,5.99,5.99,37.0,62.01,92.0
2018-11-08T06:23:00Z,2.01,59.0,5.99,5.99,59.0,61.0,93.0
2018-11-08T07:23:00Z,1.01,57.0,5.99,5.99,61.0,62.01,93.0
2018-11-08T08:23:00Z,2.01,66.0,5.99,5.99,51.0,62.01,93.0
2018-11-08T09:23:00Z,3.0,49.0,8.01,8.01,32.0,62.01,93.0
2018-11-08T10:23:00Z,3.0,45.0,7.0,7.0,61.0,62.01,91.0
2018-11-08T11:23:00Z,4.99,67.0,10.0,10.0,60.0,62.01,92.0
2018-11-08T12:23:00Z,2.01,34.0,10.0,10.0,41.0,62.01,93.0
2018-11-08T13:23:00Z,4.0,43.0,14.0,14.0,23.0,62.01,91.0
2018-11-08T14:23:00Z,4.0,41.0,12.01,12.01,57.0,62.01,89.0
2018-11-08T15:23:00Z,7.0,69.0,11.01,11.01,72.0,62.01,94.0
2018-11-08T16:23:00Z,8.01,53.0,12.01,12.01,71.0,62.01,94.0
2018-11-08T17:23:00Z,7.0,66.0,11.01,11.01,67.0,63.0,89.0
2018-11-08T18:23:00Z,4.0,0.0,11.01,11.01,46.0,64.99,84.0
2018-11-08T19:23:00Z,2.01,48.0,7.0,7.0,341.0,66.0,80.0
2018-11-08T20:23:00Z,2.01,308.0,5.99,5.99,358.0,66.0,77.0
2018-11-08T21:23:00Z,4.0,281.0,8.01,8.01,287.0,66.99,76.0
2018-11-08T22:23:00Z,5.99,307.0,11.01,11.01,285.0,66.99,78.0
2018-11-08T23:23:00Z,8.01,330.0,12.01,12.01,328.0,66.0,81.0
2018-11-09T00:23:00Z,10.0,333.0,15.99,15.99,328.0,64.99,86.0
2018-11-09T01:23:00Z,13.0,344.0,18.01,18.01,349.0,66.0,78.0
2018-11-09T02:23:00Z,14.0,8.0,30.0,30.0,34.0,68.0,59.0
2018-11-09T03:23:00Z,32.01,51.0,44.98,44.98,52.0,72.0,22.0
2018-11-09T04:23:00Z,32.01,49.0,48.0,48.0,49.0,71.01,22.0
2018-11-09T05:23:00Z,28.99,49.0,44.0,44.0,49.0,70.0,24.0
2018-11-09T06:23:00Z,28.01,54.0,42.99,42.99,57.0,70.0,23.0
2018-11-09T07:23:00Z,28.01,56.0,41.0,41.0,65.0,70.0,22.0
2018-11-09T08:23:00Z,28.99,53.0,42.99,42.99,47.0,69.01,24.0
2018-11-09T09:23:00Z,28.01,53.0,44.0,44.0,51.0,68.0,25.0
2018-11-09T10:23:00Z,28.01,51.0,42.01,42.01,51.0,68.0,25.0
2018-11-09T11:23:00Z,28.99,51.0,42.01,42.01,56.0,66.99,25.0
2018-11-09T12:23:00Z,28.01,50.0,41.0,41.0,46.0,66.99,25.0
2018-11-09T13:23:00Z,25.99,51.0,38.01,38.01,53.0,66.0,27.0
2018-11-09T14:23:00Z,24.0,56.0,34.99,34.99,49.0,64.99,26.0
2018-11-09T15:23:00Z,24.99,57.0,35.99,35.99,61.0,64.99,25.0
2018-11-09T16:23:00Z,25.99,49.0,35.99,35.99,54.0,66.0,24.0
2018-11-09T17:23:00Z,24.99,51.0,34.0,34.0,51.0,66.99,25.0
2018-11-09T18:23:00Z,21.0,56.0,37.0,37.0,46.0,68.0,24.0
2018-11-09T19:23:00Z,20.0,59.0,35.99,35.99,60.0,69.01,23.0
2018-11-09T20:23:00Z,21.0,63.0,32.99,32.99,64.0,71.01,22.0
2018-11-09T21:23:00Z,18.99,55.0,31.0,31.0,64.0,71.01,26.0
2018-11-09T22:23:00Z,14.0,27.0,24.99,24.99,44.0,70.0,35.0
2018-11-09T23:23:00Z,8.01,334.0,21.0,21.0,29.0,64.0,76.0
2018-11-10T00:23:00Z,8.99,356.0,13.0,13.0,358.0,64.0,69.0
2018-11-10T01:23:00Z,8.01,329.0,13.0,13.0,353.0,64.0,69.0
2018-11-10T02:23:00Z,10.0,356.0,15.99,15.99,350.0,64.0,74.0
2018-11-10T03:23:00Z,8.99,356.0,14.99,14.99,343.0,63.0,70.0
2018-11-10T04:23:00Z,7.0,327.0,14.0,14.0,323.0,63.0,76.0
2018-11-10T05:23:00Z,8.01,351.0,14.0,14.0,346.0,63.0,77.0
2018-11-10T06:23:00Z,8.99,356.0,17.0,17.0,350.0,62.01,91.0
2018-11-10T07:23:00Z,7.0,357.0,17.0,17.0,348.0,61.0,100.0
2018-11-10T08:23:00Z,8.99,331.0,15.99,15.99,343.0,61.0,100.0
2018-11-10T09:23:00Z,7.0,356.0,12.01,12.01,344.0,61.0,100.0
2018-11-10T10:23:00Z,8.99,344.0,12.01,12.01,350.0,62.01,55.0
2018-11-10T11:23:00Z,8.01,12.0,13.0,13.0,12.0,63.0,42.0
2018-11-10T12:23:00Z,8.01,16.0,13.0,13.0,15.0,62.01,45.0
2018-11-10T13:23:00Z,8.01,26.0,13.0,13.0,32.0,63.0,51.0
2018-11-10T14:23:00Z,7.0,30.0,14.0,14.0,14.0,62.01,40.0
2018-11-10T15:23:00Z,5.99,29.0,12.01,12.01,34.0,61.0,46.0
2018-11-10T16:23:00Z,4.0,24.0,8.99,8.99,31.0,63.0,43.0
2018-11-10T17:23:00Z,5.99,29.0,8.99,8.99,29.0,64.99,38.0
2018-11-10T18:23:00Z,5.99,358.0,8.99,8.99,37.0,66.99,37.0
2018-11-10T19:23:00Z,4.99,320.0,8.01,8.01,342.0,66.99,45.0
2018-11-10T20:23:00Z,4.99,225.0,7.0,7.0,210.0,70.0,43.0
2018-11-10T21:23:00Z,4.99,237.0,8.01,8.01,237.0,69.01,54.0
2018-11-10T22:23:00Z,5.99,251.0,10.0,10.0,238.0,68.0,61.0
2018-11-10T23:23:00Z,7.0,236.0,11.01,11.01,220.0,66.0,66.0
2018-11-11T00:23:00Z,5.99,268.0,8.99,8.99,269.0,64.99,53.0
2018-11-11T01:23:00Z,4.0,316.0,11.01,11.01,310.0,63.0,81.0
2018-11-11T02:23:00Z,2.01,328.0,8.01,8.01,314.0,61.0,89.0
2018-11-11T03:23:00Z,0.0,,4.0,4.0,1.0,61.0,88.0
2018-11-11T04:23:00Z,3.0,75.0,4.0,4.0,58.0,62.01,89.0
2018-11-11T05:23:00Z,3.0,79.0,4.99,4.99,72.0,61.0,86.0
2018-11-11T06:23:00Z,4.0,71.0,7.0,7.0,44.0,61.0,85.0
2018-11-11T07:23:00Z,4.0,53.0,8.01,8.01,48.0,60.01,73.0
2018-11-11T08:23:00Z,4.99,65.0,7.0,7.0,55.0,59.0,59.0
2018-11-11T09:23:00Z,4.0,53.0,8.99,8.99,41.0,59.0,55.0
2018-11-11T10:23:00Z,4.0,50.0,5.99,5.99,56.0,59.0,62.0
2018-11-11T11:23:00Z,4.99,66.0,7.0,7.0,64.0,59.0,78.0
2018-11-11T12:23:00Z,5.99,74.0,8.99,8.99,79.0,59.0,73.0
2018-11-11T13:23:00Z,7.0,70.0,10.0,10.0,67.0,59.0,71.0
2018-11-11T14:23:00Z,4.99,71.0,10.0,10.0,98.0,57.99,72.0
2018-11-11T15:23:00Z,4.99,80.0,8.01,8.01,72.0,59.0,73.0
2018-11-11T16:23:00Z,5.99,87.0,12.01,12.01,94.0,61.0,76.0
2018-11-11T17:23:00Z,4.99,30.0,12.01,12.01,65.0,64.99,56.0
2018-11-11T18:23:00Z,3.0,37.0,11.01,11.01,36.0,66.99,50.0
2018-11-11T19:23:00Z,3.0,40.0,7.0,7.0,41.0,68.0,55.0
2018-11-11T20:23:00Z,4.0,281.0,8.01,8.01,274.0,66.99,57.0
2018-11-11T21:23:00Z,4.99,239.0,10.0,10.0,271.0,68.0,58.0
2018-11-11T22:23:00Z,4.99,272.0,11.01,11.01,225.0,68.0,63.0
2018-11-11T23:23:00Z,4.99,232.0,10.0,10.0,234.0,66.99,59.0
2018-11-12T00:23:00Z,5.99,239.0,11.01,11.01,232.0,66.0,59.0
2018-11-12T01:23:00Z,2.01,230.0,10.0,10.0,219.0,64.99,56.0
2018-11-12T02:23:00Z,7.0,85.0,17.0,17.0,82.0,69.01,22.0
2018-11-12T03:23:00Z,14.0,80.0,23.0,23.0,74.0,69.01,20.0
2018-11-12T04:23:00Z,13.0,70.0,22.01,22.01,79.0,66.99,23.0
2018-11-12T05:23:00Z,14.0,57.0,22.01,22.01,70.0,66.99,29.0
2018-11-12T06:23:00Z,14.99,56.0,23.0,23.0,62.0,66.99,29.0
2018-11-12T07:23:00Z,20.0,59.0,27.0,27.0,63.0,66.0,25.0
