datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:55:00Z,7.0,192.0,13.0,13.0,224.0,60.01,83.0
2018-11-08T01:55:00Z,5.99,176.0,10.0,10.0,195.0,55.99,92.0
2018-11-08T02:55:00Z,4.0,180.0,8.99,8.99,190.0,55.99,96.0
2018-11-08T03:55:00Z,4.0,162.0,4.99,4.99,158.0,55.0,97.0
2018-11-08T04:55:00Z,5.99,189.0,8.01,8.01,189.0,55.0,98.0
2018-11-08T05:55:00Z,3.0,179.0,8.01,8.01,185.0,55.0,99.0
2018-11-08T06:55:00Z,3.0,209.0,4.0,4.0,167.0,55.0,99.0
2018-11-08T07:55:00Z,0.0,,3.0,3.0,191.0,55.99,100.0
2018-11-08T08:55:00Z,4.0,1.0,7.0,7.0,344.0,55.0,100.0
2018-11-08T09:55:00Z,4.0,180.0,5.99,5.99,185.0,55.0,100.0
2018-11-08T10:55:00Z,2.01,188.0,4.99,4.99,176.0,55.0,100.0
2018-11-08T11:55:00Z,2.01,162.0,8.01,8.01,141.0,55.0,100.0
2018-11-08T12:55:00Z,1.01,110.0,4.99,4.99,152.0,55.0,100.0
2018-11-08T13:55:00Z,2.01,59.0,4.0,4.0,107.0,55.0,100.0
2018-11-08T14:55:00Z,3.0,358.0,4.99,4.99,80.0,54.0,100.0
2018-11-08T15:55:00Z,2.01,11.0,5.99,5.99,320.0,55.99,100.0
2018-11-08T16:55:00Z,3.0,101.0,5.99,5.99,86.0,64.0,83.0
2018-11-08T17:55:00Z,3.0,170.0,7.0,7.0,108.0,68.0,64.0
2018-11-08T18:55:00Z,4.99,150.0,8.01,8.01,150.0,72.0,55.0
2018-11-08T19:55:00Z,4.0,206.0,8.01,8.01,194.0,73.99,49.0
2018-11-08T20:55:00Z,4.0,212.0,8.99,8.99,178.0,78.01,44.0
2018-11-08T21:55:00Z,2.01,186.0,10.0,10.0,184.0,80.01,40.0
2018-11-08T22:55:00Z,1.01,8.0,5.99,5.99,212.0,80.01,20.0
2018-11-08T23:55:00Z,4.99,17.0,12.01,12.01,29.0,75.99,12.0
2018-11-09T00:55:00Z,8.01,28.0,14.99,14.99,36.0,70.0,9.0
2018-11-09T01:55:00Z,11.01,355.0,17.0,17.0,5.0,68.0,6.0
2018-11-09T02:55:00Z,12.01,346.0,22.01,22.01,355.0,68.0,4.0
