datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:38:00Z,8.01,259.0,13.0,13.0,247.0,62.01,75.0
2018-11-08T01:38:00Z,4.99,292.0,10.0,10.0,280.0,57.99,88.0
2018-11-08T02:38:00Z,2.01,55.0,5.99,5.99,292.0,57.0,92.0
2018-11-08T03:38:00Z,1.01,320.0,4.0,4.0,24.0,55.99,94.0
2018-11-08T04:38:00Z,4.0,59.0,5.99,5.99,64.0,55.99,95.0
2018-11-08T05:38:00Z,5.99,67.0,7.0,7.0,63.0,55.99,98.0
2018-11-08T06:38:00Z,8.01,58.0,8.99,8.99,47.0,55.0,99.0
2018-11-08T07:38:00Z,7.0,67.0,8.99,8.99,63.0,55.0,100.0
2018-11-08T08:38:00Z,5.99,48.0,7.0,7.0,66.0,55.0,100.0
2018-11-08T09:38:00Z,4.99,53.0,7.0,7.0,59.0,55.99,99.0
2018-11-08T10:38:00Z,3.0,78.0,5.99,5.99,58.0,54.0,100.0
2018-11-08T11:38:00Z,5.99,84.0,10.0,10.0,79.0,53.01,100.0
2018-11-08T12:38:00Z,7.0,67.0,12.01,12.01,61.0,53.01,100.0
2018-11-08T13:38:00Z,5.99,91.0,8.99,8.99,72.0,53.01,100.0
2018-11-08T14:38:00Z,7.0,71.0,14.0,14.0,82.0,52.0,100.0
2018-11-08T15:38:00Z,3.0,71.0,8.99,8.99,53.0,52.0,100.0
2018-11-08T16:38:00Z,4.99,51.0,17.0,17.0,13.0,61.0,68.0
2018-11-08T17:38:00Z,21.0,37.0,32.99,32.99,59.0,71.01,13.0
2018-11-08T18:38:00Z,20.0,38.0,38.99,38.99,39.0,72.0,9.0
2018-11-08T19:38:00Z,27.0,46.0,40.0,40.0,18.0,73.0,7.0
2018-11-08T20:38:00Z,22.01,39.0,42.99,42.99,42.0,73.99,7.0
2018-11-08T21:38:00Z,17.0,42.0,38.01,38.01,23.0,73.0,7.0
2018-11-08T22:38:00Z,23.0,38.0,37.0,37.0,42.0,72.0,7.0
2018-11-08T23:38:00Z,23.0,49.0,38.01,38.01,38.0,71.01,8.0
2018-11-09T00:38:00Z,25.99,51.0,44.0,44.0,44.0,69.01,7.0
2018-11-09T01:38:00Z,28.01,53.0,45.99,45.99,41.0,66.99,7.0
2018-11-09T02:38:00Z,28.01,58.0,44.0,44.0,47.0,66.0,5.0
2018-11-09T03:38:00Z,28.99,59.0,44.98,44.98,61.0,64.99,6.0
2018-11-09T04:38:00Z,31.0,54.0,52.01,52.01,40.0,64.99,6.0
2018-11-09T05:38:00Z,28.99,53.0,48.0,48.0,44.0,64.99,6.0
2018-11-09T06:38:00Z,21.0,51.0,49.01,49.01,50.0,64.0,6.0
2018-11-09T07:38:00Z,27.0,56.0,47.0,47.0,42.0,64.0,6.0
2018-11-09T08:38:00Z,25.99,48.0,42.99,42.99,49.0,64.0,6.0
2018-11-09T09:38:00Z,31.0,59.0,47.0,47.0,48.0,63.0,7.0
2018-11-09T10:38:00Z,31.0,59.0,51.0,51.0,49.0,64.99,7.0
2018-11-09T11:38:00Z,30.0,57.0,51.0,51.0,54.0,64.0,7.0
2018-11-09T12:38:00Z,30.0,50.0,47.0,47.0,56.0,63.0,7.0
2018-11-09T13:38:00Z,30.0,55.0,47.0,47.0,53.0,63.0,7.0
2018-11-09T14:38:00Z,30.0,55.0,52.01,52.01,50.0,63.0,6.0
2018-11-09T15:38:00Z,28.99,55.0,44.98,44.98,52.0,64.99,6.0
2018-11-09T16:38:00Z,24.0,55.0,49.01,49.01,43.0,66.99,5.0
2018-11-09T17:38:00Z,25.99,52.0,40.0,40.0,60.0,69.01,5.0
2018-11-09T18:38:00Z,24.0,42.0,40.0,40.0,35.0,69.01,4.0
2018-11-09T19:38:00Z,28.99,42.0,45.99,45.99,24.0,69.01,4.0
2018-11-09T20:38:00Z,24.0,35.0,45.99,45.99,21.0,69.01,4.0
2018-11-09T21:38:00Z,28.01,33.0,42.99,42.99,30.0,70.0,4.0
2018-11-09T22:38:00Z,21.0,30.0,38.99,38.99,23.0,71.01,4.0
2018-11-09T23:38:00Z,18.99,28.0,32.01,32.01,25.0,70.0,4.0
2018-11-10T00:38:00Z,15.99,33.0,30.0,30.0,0.0,68.0,4.0
2018-11-10T01:38:00Z,20.0,42.0,34.99,34.99,48.0,66.99,4.0
2018-11-10T02:38:00Z,22.01,51.0,35.99,35.99,43.0,68.0,4.0
2018-11-10T03:38:00Z,18.01,43.0,32.99,32.99,34.0,66.99,4.0
2018-11-10T04:38:00Z,13.0,15.0,24.99,24.99,21.0,66.0,4.0
2018-11-10T05:38:00Z,7.0,351.0,22.01,22.01,359.0,64.0,5.0
2018-11-10T06:38:00Z,10.0,353.0,14.0,14.0,359.0,63.0,5.0
2018-11-10T07:38:00Z,11.01,15.0,17.0,17.0,358.0,62.01,5.0
2018-11-10T08:38:00Z,10.0,347.0,14.99,14.99,0.0,61.0,5.0
2018-11-10T09:38:00Z,7.0,28.0,13.0,13.0,348.0,62.01,5.0
2018-11-10T10:38:00Z,1.01,317.0,5.99,5.99,43.0,61.0,5.0
2018-11-10T11:38:00Z,8.99,328.0,10.0,10.0,290.0,60.01,6.0
2018-11-10T12:38:00Z,0.0,,8.01,8.01,340.0,60.01,5.0
2018-11-10T13:38:00Z,3.0,178.0,4.0,4.0,164.0,60.01,5.0
2018-11-10T14:38:00Z,0.0,,4.0,4.0,158.0,60.01,5.0
2018-11-10T15:38:00Z,0.0,,1.01,1.01,82.0,64.99,5.0
2018-11-10T16:38:00Z,0.0,,3.0,3.0,240.0,68.0,4.0
2018-11-10T17:38:00Z,4.0,90.0,7.0,7.0,104.0,70.0,4.0
2018-11-10T18:38:00Z,4.99,106.0,8.99,8.99,96.0,73.0,4.0
2018-11-10T19:38:00Z,14.99,249.0,21.0,21.0,255.0,73.0,5.0
2018-11-10T20:38:00Z,15.99,256.0,23.0,23.0,264.0,73.0,7.0
2018-11-10T21:38:00Z,14.99,251.0,25.99,25.99,251.0,71.01,8.0
2018-11-10T22:38:00Z,17.0,267.0,24.99,24.99,250.0,70.0,8.0
2018-11-10T23:38:00Z,15.99,269.0,23.0,23.0,259.0,69.01,9.0
2018-11-11T00:38:00Z,13.0,276.0,22.01,22.01,260.0,66.99,10.0
2018-11-11T01:38:00Z,8.99,265.0,17.0,17.0,270.0,64.0,13.0
2018-11-11T02:38:00Z,4.99,298.0,10.0,10.0,272.0,63.0,13.0
2018-11-11T03:38:00Z,1.01,256.0,4.0,4.0,297.0,62.01,11.0
2018-11-11T04:38:00Z,3.0,82.0,4.0,4.0,80.0,62.01,11.0
2018-11-11T05:38:00Z,5.99,76.0,7.0,7.0,75.0,61.0,14.0
2018-11-11T06:38:00Z,5.99,73.0,7.0,7.0,79.0,60.01,14.0
2018-11-11T07:38:00Z,8.01,45.0,10.0,10.0,42.0,59.0,17.0
2018-11-11T08:38:00Z,10.0,53.0,12.01,12.01,54.0,57.99,21.0
2018-11-11T09:38:00Z,12.01,58.0,13.0,13.0,57.0,57.0,25.0
2018-11-11T10:38:00Z,11.01,62.0,13.0,13.0,59.0,55.99,23.0
2018-11-11T11:38:00Z,12.01,62.0,15.99,15.99,67.0,55.99,21.0
2018-11-11T12:38:00Z,11.01,50.0,15.99,15.99,60.0,55.99,18.0
2018-11-11T13:38:00Z,5.99,35.0,13.0,13.0,58.0,57.99,17.0
2018-11-11T14:38:00Z,10.0,81.0,15.99,15.99,39.0,57.0,19.0
2018-11-11T15:38:00Z,12.01,74.0,17.0,17.0,70.0,59.0,13.0
