datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-08T00:55:00Z,14.99,352.0,18.99,18.99,339.0,63.0,42.0
2018-11-08T01:55:00Z,18.99,350.0,24.99,24.99,355.0,61.0,50.0
2018-11-08T02:55:00Z,21.0,351.0,24.99,24.99,355.0,61.0,41.0
2018-11-08T03:55:00Z,18.99,352.0,24.0,24.0,359.0,61.0,30.0
2018-11-08T04:55:00Z,15.99,345.0,21.0,21.0,354.0,61.0,29.0
2018-11-08T05:55:00Z,17.0,344.0,23.0,23.0,325.0,60.01,29.0
2018-11-08T06:55:00Z,18.01,353.0,25.99,25.99,337.0,59.0,33.0
2018-11-08T07:55:00Z,22.01,347.0,28.99,28.99,340.0,60.01,29.0
2018-11-08T08:55:00Z,18.99,348.0,28.99,28.99,359.0,60.01,23.0
2018-11-08T09:55:00Z,20.0,342.0,27.0,27.0,355.0,60.01,21.0
2018-11-08T10:55:00Z,18.99,346.0,25.99,25.99,342.0,59.0,20.0
2018-11-08T11:55:00Z,14.99,352.0,21.0,21.0,355.0,59.0,22.0
2018-11-08T12:55:00Z,14.99,0.0,20.0,20.0,349.0,57.0,24.0
2018-11-08T13:55:00Z,17.0,355.0,22.01,22.01,8.0,55.99,25.0
2018-11-08T14:55:00Z,24.99,352.0,34.99,34.99,355.0,55.0,32.0
2018-11-08T15:55:00Z,23.0,351.0,37.0,37.0,350.0,53.01,36.0
2018-11-08T16:55:00Z,21.0,359.0,42.01,42.01,347.0,55.0,23.0
2018-11-08T17:55:00Z,20.0,355.0,50.0,50.0,354.0,57.99,12.0
2018-11-08T18:55:00Z,23.0,360.0,42.99,42.99,1.0,57.0,11.0
2018-11-08T19:55:00Z,24.0,1.0,48.0,48.0,9.0,57.99,11.0
2018-11-08T20:55:00Z,21.0,358.0,45.99,45.99,11.0,59.0,11.0
2018-11-08T21:55:00Z,18.99,5.0,41.0,41.0,13.0,59.0,11.0
2018-11-08T22:55:00Z,18.99,356.0,38.01,38.01,22.0,59.0,11.0
2018-11-08T23:55:00Z,28.01,354.0,47.0,47.0,7.0,57.0,9.0
2018-11-09T00:55:00Z,24.99,358.0,53.02,53.02,0.0,55.99,8.0
2018-11-09T01:55:00Z,21.0,7.0,49.01,49.01,16.0,54.0,8.0
2018-11-09T02:55:00Z,25.99,2.0,53.02,53.02,359.0,53.01,10.0
2018-11-09T03:55:00Z,28.99,354.0,54.0,54.0,14.0,53.01,9.0
2018-11-09T04:55:00Z,32.99,348.0,55.99,55.99,15.0,53.01,9.0
2018-11-09T05:55:00Z,28.01,1.0,64.0,64.0,0.0,53.01,8.0
2018-11-09T06:55:00Z,35.99,355.0,63.01,63.01,0.0,52.0,9.0
2018-11-09T07:55:00Z,41.0,356.0,69.99,69.99,5.0,52.0,9.0
2018-11-09T08:55:00Z,32.99,352.0,61.0,61.0,355.0,51.01,10.0
2018-11-09T09:55:00Z,41.0,348.0,58.0,58.0,347.0,51.01,10.0
2018-11-09T10:55:00Z,25.99,2.0,77.0,77.0,7.0,51.01,10.0
2018-11-09T11:55:00Z,32.01,358.0,59.01,59.01,23.0,51.01,10.0
2018-11-09T12:55:00Z,32.01,1.0,62.01,62.01,15.0,50.0,10.0
2018-11-09T13:55:00Z,30.0,348.0,61.0,61.0,10.0,48.99,10.0
2018-11-09T14:55:00Z,34.0,13.0,65.99,65.99,8.0,51.01,9.0
2018-11-09T15:55:00Z,28.01,356.0,63.01,63.01,355.0,52.0,7.0
2018-11-09T16:55:00Z,25.99,354.0,61.0,61.0,346.0,52.0,8.0
2018-11-09T17:55:00Z,28.01,356.0,48.0,48.0,353.0,54.0,7.0
2018-11-09T18:55:00Z,28.01,354.0,64.0,64.0,0.0,55.0,7.0
2018-11-09T19:55:00Z,28.01,351.0,49.01,49.01,339.0,55.0,7.0
2018-11-09T20:55:00Z,30.0,349.0,50.0,50.0,340.0,55.0,7.0
2018-11-09T21:55:00Z,28.99,348.0,57.0,57.0,355.0,55.99,7.0
2018-11-09T22:55:00Z,32.01,353.0,50.0,50.0,4.0,55.99,6.0
2018-11-09T23:55:00Z,31.0,354.0,50.0,50.0,21.0,55.99,6.0
2018-11-10T00:55:00Z,24.99,355.0,45.99,45.99,349.0,55.0,5.0
2018-11-10T01:55:00Z,28.99,353.0,42.01,42.01,352.0,55.99,5.0
2018-11-10T02:55:00Z,28.01,351.0,42.99,42.99,350.0,55.99,5.0
2018-11-10T03:55:00Z,20.0,351.0,37.0,37.0,0.0,55.99,4.0
2018-11-10T04:55:00Z,17.0,351.0,24.99,24.99,20.0,54.0,5.0
2018-11-10T05:55:00Z,15.99,356.0,27.0,27.0,352.0,55.0,5.0
2018-11-10T06:55:00Z,10.0,3.0,22.01,22.01,45.0,57.0,4.0
2018-11-10T07:55:00Z,13.0,9.0,18.99,18.99,18.0,54.0,5.0
2018-11-10T08:55:00Z,11.01,30.0,20.0,20.0,36.0,55.0,4.0
2018-11-10T09:55:00Z,5.99,77.0,18.01,18.01,29.0,57.0,3.0
2018-11-10T10:55:00Z,4.99,141.0,7.0,7.0,126.0,57.0,3.0
2018-11-10T11:55:00Z,2.01,1.0,5.99,5.99,159.0,57.0,3.0
2018-11-10T12:55:00Z,3.0,182.0,4.0,4.0,185.0,57.99,3.0
2018-11-10T13:55:00Z,4.0,170.0,4.99,4.99,168.0,57.0,4.0
2018-11-10T14:55:00Z,4.0,202.0,4.99,4.99,199.0,57.99,4.0
2018-11-10T15:55:00Z,3.0,175.0,4.99,4.99,169.0,59.0,5.0
2018-11-10T16:55:00Z,3.0,174.0,5.99,5.99,142.0,63.0,6.0
2018-11-10T17:55:00Z,4.99,173.0,10.0,10.0,164.0,64.99,6.0
2018-11-10T18:55:00Z,2.01,254.0,8.01,8.01,157.0,66.0,5.0
2018-11-10T19:55:00Z,5.99,172.0,14.0,14.0,154.0,66.99,7.0
2018-11-10T20:55:00Z,11.01,156.0,18.01,18.01,169.0,66.99,7.0
2018-11-10T21:55:00Z,12.01,163.0,18.01,18.01,168.0,66.0,7.0
2018-11-10T22:55:00Z,10.0,152.0,18.01,18.01,153.0,64.0,9.0
2018-11-10T23:55:00Z,14.99,154.0,21.0,21.0,160.0,61.0,13.0
2018-11-11T00:55:00Z,13.0,152.0,20.0,20.0,144.0,55.0,18.0
2018-11-11T01:55:00Z,18.01,149.0,23.0,23.0,157.0,53.01,16.0
2018-11-11T02:55:00Z,15.99,164.0,22.01,22.01,144.0,53.01,12.0
2018-11-11T03:55:00Z,13.0,155.0,20.0,20.0,154.0,52.0,15.0
2018-11-11T04:55:00Z,13.0,146.0,18.01,18.01,148.0,52.0,13.0
2018-11-11T05:55:00Z,12.01,152.0,15.99,15.99,158.0,52.0,12.0
2018-11-11T06:55:00Z,10.0,144.0,15.99,15.99,156.0,53.01,13.0
2018-11-11T07:55:00Z,11.01,142.0,12.01,12.01,144.0,53.01,13.0
2018-11-11T08:55:00Z,8.01,137.0,14.0,14.0,141.0,55.0,11.0
2018-11-11T09:55:00Z,2.01,289.0,10.0,10.0,143.0,55.0,10.0
